N° Client,Nom Client,Date facture,Date d'échéance,Echu/Non échu,Libellé Facture non réglée,Facturé TTC,Règlement/Avoir ,Action,Date de régularisation,Motif rejet ,COMMENTAIRE,,
258701,ATOL - ANGELICA OPTIQUE,6/1/2020,6/1/2020,ECHU,1612065-41-258701,180.00,180.00,avoir,,,,,
263901,BOUM,4/1/2020,4/1/2020,ECHU,1703080-29-263901,360.00,0.00,Mail fait au client - 09/04 + relance 07/05 + messages vocaux les 12 et 14/05 + nouvelle relance 03/06 et 08/06 + message vocale le 18/06 // LRAR envoyé le 01/07,,SUR ORDRE,,,
263901,BOUM,5/1/2020,5/1/2020,ECHU,1703080-30-263901,360.00,0.00,Mail fait au client - 09/04 + relance 07/05 + messages vocaux les 12 et 14/05 + nouvelle relance 03/06 et 08/06 + message vocale le 18/06 // LRAR envoyé le 01/07,,SUR ORDRE,,,
263901,BOUM,6/1/2020,6/1/2020,ECHU,1703080-31-263901,360.00,0.00,Mail fait au client - 09/04 + relance 07/05 + messages vocaux les 12 et 14/05 + nouvelle relance 03/06 et 08/06 + message vocale le 18/06 // LRAR envoyé le 01/07,,SUR ORDRE,,,
263901,BOUM,7/1/2020,7/1/2020,ECHU,1703080-32-263901,360.00,0.00,Mail fait au client - 09/04 + relance 07/05 + messages vocaux les 12 et 14/05 + nouvelle relance 03/06 et 08/06 + message vocale le 18/06 // LRAR envoyé le 01/07,,SUR ORDRE,,,
264601,DE VISU,6/3/2020,6/3/2020,ECHU,1611240-39-264601,360.00,0.00,Appel client le 03/07 : ne comprend pas le rejet // annonce un virement pour régulariser,,SUR ORDRE,Fact intermédiaire,,
264601,DE VISU,7/3/2020,7/3/2020,ECHU,1611240-40-264601,360.00,0.00,Appel client le 03/07 : ne comprend pas le rejet // annonce un virement pour régulariser,,SUR ORDRE,Fact intermédiaire,,
264901,ATOL - CVEG,6/1/2020,6/1/2020,ECHU,1704034-38-264901,180.00,180.00,AVOIR,,,,,
269501,ATOL - OPTIQUE DES VALLEES,4/1/2020,4/1/2020,ECHU,1611075-40-269501,360.00,360.00,Mail fait au client - 02/04,,SUR ORDRE,,,
269502,ATOL - OPTIQUE DES VALLEES 2,4/1/2020,4/1/2020,ECHU,1611077-41-269502,360.00,360.00,Matériel en restitution mais bloqué depuis le 16/03- En attente d' avoir suite restitution,,SUR ORDRE,,,
273501,ARNOPTIQUE,5/1/2020,5/1/2020,ECHU,1706059-31-273501,180.00,180.00,Mail fait au client - 07/05,6/3/2020,PROV INSUFF,,,
273501,ARNOPTIQUE,6/1/2020,6/1/2020,ECHU,1706059-32-273501,180.00,180.00,Message vocal + mail le 05/06,6/12/2020,PROV INSUFF,,,
275501,ATOL - KR OPTIQUE,4/1/2020,4/1/2020,ECHU,1706064-30-275501,180.00,180.00,Mail fait au client - 02/04,,SUR ORDRE,,,
276801,ATOL - LES OPTICIENS PETITE FORET,6/1/2020,6/1/2020,ECHU,1611247-41-276801,180.00,180.00,AVOIR,,,,,
277201,OPTIQUE DU CONNETABLE,6/1/2020,6/1/2020,ECHU,1611089-42-277201,180.00,180.00,AVOIR,,,,,
281301,ATOL - LES OPTICIENS HAZEBROUCK,6/1/2020,6/1/2020,ECHU,1611251-42-281301,180.00,180.00,AVOIR,,,,,
282201,MER'REGISOA,5/1/2020,6/3/2020,ECHU,1703003-39-282201,180.00,180.00,,avoir,,Fact intermédiaire,,
288001,ATOL - L'OPTICIEN DE SAINT GERMAIN,1/1/2020,1/1/2020,ECHU,1707009-26-288001,180.00,180.00,mail fait au client avec proposition amiable + à ATOL Quelle est la proposition? : suspension jusqu'à mai + échelonnement des 600e restant en paiement 300e au 01/06 et 300e au 01/07 // le 05/06 réception avis de virement de 450 euros pour règlement des 50% dû // rappel le 07/07 pour le virement - s'engage à le faire dans la journée,6/5/2020,SUR ORDRE,,,
288001,ATOL - L'OPTICIEN DE SAINT GERMAIN,2/1/2020,2/1/2020,ECHU,1707009-27-288001,180.00,180.00,mail fait au client avec proposition amiable + à ATOL Quelle est la proposition? : suspension jusqu'à mai + échelonnement des 600e restant en paiement 300e au 01/06 et 300e au 01/07 // le 05/06 réception avis de virement de 450 euros pour règlement des 50% dû // rappel le 07/07 pour le virement - s'engage à le faire dans la journée,6/5/2020,SUR ORDRE,,,
288001,ATOL - L'OPTICIEN DE SAINT GERMAIN,3/1/2020,3/1/2020,ECHU,1707009-28-288001,180.00,180.00,mail fait au client avec proposition amiable + à ATOL Quelle est la proposition? : suspension jusqu'à mai + échelonnement des 600e restant en paiement 300e au 01/06 et 300e au 01/07 // le 05/06 réception avis de virement de 450 euros pour règlement des 50% dû // rappel le 07/07 pour le virement - s'engage à le faire dans la journée,7/9/2020,SUR ORDRE,,,
288001,ATOL - L'OPTICIEN DE SAINT GERMAIN,4/1/2020,4/1/2020,ECHU,1707009-29-288001,180.00,180.00,mail fait au client avec proposition amiable + à ATOL Quelle est la proposition? : suspension jusqu'à mai + échelonnement des 600e restant en paiement 300e au 01/06 et 300e au 01/07 // le 05/06 réception avis de virement de 450 euros pour règlement des 50% dû // rappel le 07/07 pour le virement - s'engage à le faire dans la journée,7/9/2020,SUR ORDRE,,,
288001,ATOL - L'OPTICIEN DE SAINT GERMAIN,5/1/2020,5/1/2020,ECHU,1707009-30-288001,180.00,180.00,mail fait au client avec proposition amiable + à ATOL Quelle est la proposition? : suspension jusqu'à mai + échelonnement des 600e restant en paiement 300e au 01/06 et 300e au 01/07 // le 05/06 réception avis de virement de 450 euros pour règlement des 50% dû // rappel le 07/07 pour le virement - s'engage à le faire dans la journée,7/9/2020,SUR ORDRE,,,
288001,ATOL - L'OPTICIEN DE SAINT GERMAIN,6/1/2020,6/1/2020,ECHU,1707009-31-288001,180.00,180.00,mail fait au client avec proposition amiable + à ATOL Quelle est la proposition? : suspension jusqu'à mai + échelonnement des 600e restant en paiement 300e au 01/06 et 300e au 01/07 // le 05/06 réception avis de virement de 450 euros pour règlement des 50% dû // rappel le 07/07 pour le virement - s'engage à le faire dans la journée,7/9/2020,SUR ORDRE,,,
288001,ATOL - L'OPTICIEN DE SAINT GERMAIN,7/1/2020,7/1/2020,ECHU,1707009-32-288001,180.00,180.00,mail fait au client avec proposition amiable + à ATOL Quelle est la proposition? : suspension jusqu'à mai + échelonnement des 600e restant en paiement 300e au 01/06 et 300e au 01/07 // le 05/06 réception avis de virement de 450 euros pour règlement des 50% dû // rappel le 07/07 pour le virement - s'engage à le faire dans la journée,7/9/2020,SUR ORDRE,,,
295901,ATOL - KAJUFIOPTIMAX,6/1/2020,6/1/2020,ECHU,1702025-39-295901,180.00,180.00,,6/30/2020,,,,
298601,ATOL - LOA SAINT ANDRE DE CUBZAC,6/1/2020,6/1/2020,ECHU,1611258-41-298601,180.00,180.00,,6/30/2020,,,,
298701,ATOL - LOA AMBARES,6/1/2020,6/1/2020,ECHU,1611259-41-298701,180.00,180.00,,6/30/2020,,,,
502001,GYNS'OPTIC,6/1/2020,6/1/2020,ECHU,1612001-42-502001,360.00,360.00,AVOIR,,,,,
502501,OPTIQUE DE L'ILL,6/15/2020,6/15/2020,ECHU,2001277-1-LI-502501,147.84,147.84,,7/3/2020,,Fact intermédiaire,,
502801,ATOL - COURET OPTIQUE,6/1/2020,6/1/2020,ECHU,1611087-43-502801,180.00,180.00,AVOIR,,,,,
506001,OPTIQUE LVMA,4/1/2020,4/1/2020,ECHU,1801034-28-506001,180.00,180.00,,4/10/2020,SERVICE SPECIFIQUE,,,
507001,ATOL - SELOPTIK,4/1/2020,4/1/2020,ECHU,1803090-24-507001,118.80,0.00,Mail fait au client - 03/04 + relance 07/05 + interrogation sur la situation envoyée sur optima à Térence,,SUR ORDRE,,,
507001,ATOL - SELOPTIK,5/1/2020,5/1/2020,ECHU,1803090-25-507001,118.80,0.00,Mail fait au client - 03/04 + relance 07/05 + interrogation sur la situation envoyée sur optima à Térence,,SUR ORDRE,,,
507001,ATOL - SELOPTIK,6/1/2020,6/1/2020,ECHU,1803090-26-507001,118.80,0.00,Mail fait au client - 03/04 + relance 07/05 + interrogation sur la situation envoyée sur optima à Térence,,SUR ORDRE,,,
507001,ATOL - SELOPTIK,6/9/2020,6/9/2020,ECHU,1807109-8-LI-507001,21.76,0.00,Mail fait au client - 03/04 + relance 07/05 + interrogation sur la situation envoyée sur optima à Térence,,,Fact intermédiaire,,
508401,FACB,6/24/2020,6/24/2020,ECHU,2002186-1-LI-508401,5.12,5.12,,6/26/2020,,,,
508401,FACB,7/1/2020,7/1/2020,ECHU,2002186-2-LI-508401,9.60,9.60,,6/26/2020,,,,
B00016,THI FACTORY,1/1/2020,1/1/2020,ECHU,1504047-4-B00016,284.88,284.88,Mail fait au client - 14/05,,PAS DE MOTIF,,,
B00016,THI FACTORY,5/1/2020,5/1/2020,ECHU,1504047-8-B00016,284.88,284.88,Mail fait au client - 14/05,,PAS DE MOTIF,,,
B00023,ECOLE FONDAMENTALE AUTONOME D'EGHEZEE,11/1/2019,1/31/2020,ECHU,1509004-17-B00023,341.22,341.22,Mail fait au client - 15/05,5/8/2020,PAS DE MOTIF,,,
B00026,SECA BENELUX,6/1/2020,6/1/2020,ECHU,1509002-55-B00026,252.89,0.00,Interrogation Térence le 08/07 via optima suite demande de résiliation jamais reçu mais envoyée en janvier,,SUR ORDRE,,,
B00026,SECA BENELUX,7/1/2020,7/1/2020,ECHU,1509002-56-B00026,252.89,0.00,Interrogation Térence le 08/07 via optima suite demande de résiliation jamais reçu mais envoyée en janvier,,SUR ORDRE,,,
B00028,DECOR HEYTENS,4/1/2020,4/1/2020,ECHU,1803013-24-B00028,72.00,72.00,Mail fait au client - 03/04 + relance le 16/04,4/17/2020,PAS DE MOTIF,,,
B00028,DECOR HEYTENS,4/1/2020,4/1/2020,ECHU,1602005-50-B00028,105.03,105.03,Mail fait au client - 03/04 + relance le 16/04,4/17/2020,PAS DE MOTIF,,,
B00018,CPAS'd'AISEAUX,6/1/2020,6/1/2020,ECHU,1505001-1-B00018,399.18,0.00,,,PAS DE MOTIF,,,
B00028,DECOR HEYTENS,5/1/2020,5/1/2020,ECHU,1803013-25-B00028,72.00,72.00,Mail fait au client - 15/05 + appel client le 04/06 m'indique faire le règlement à réception d'un point + mail avec point des factures impayées,6/8/2020,PAS DE MOTIF,,,
B00028,DECOR HEYTENS,5/1/2020,5/1/2020,ECHU,1602005-51-B00028,105.03,105.03,Mail fait au client - 15/05 + appel client le 04/06 m'indique faire le règlement à réception d'un point + mail avec point des factures impayées,6/8/2020,PAS DE MOTIF,,,
B00028,DECOR HEYTENS,6/1/2020,6/1/2020,ECHU,1803012-9-B00028,133.95,133.95,Mail fait au client - 15/05 + appel client le 04/06 m'indique faire le règlement à réception d'un point + mail avec point des factures impayées,6/8/2020,PAS DE MOTIF,,,
B00028,DECOR HEYTENS,6/1/2020,6/1/2020,ECHU,1803013-26-B00028,72.00,72.00,Mail fait au client - 15/05 + appel client le 04/06 m'indique faire le règlement à réception d'un point + mail avec point des factures impayées,6/8/2020,PAS DE MOTIF,,,
B00028,DECOR HEYTENS,6/1/2020,6/1/2020,ECHU,1602005-52-B00028,105.03,105.03,Mail fait au client - 15/05 + appel client le 04/06 m'indique faire le règlement à réception d'un point + mail avec point des factures impayées,6/8/2020,PAS DE MOTIF,,,
B00028,DECOR HEYTENS,6/1/2020,6/1/2020,ECHU,1612012-14-B00028,252.29,252.29,Mail fait au client - 15/05 + appel client le 04/06 m'indique faire le règlement à réception d'un point + mail avec point des factures impayées,6/8/2020,PAS DE MOTIF,,,
B00028,DECOR HEYTENS,6/1/2020,6/1/2020,ECHU,1612011-14-B00028,252.29,252.29,Mail fait au client - 15/05 + appel client le 04/06 m'indique faire le règlement à réception d'un point + mail avec point des factures impayées,6/8/2020,PAS DE MOTIF,,,
B00034,COMMUNE DE COLFONTAINE,4/1/2020,4/1/2020,ECHU,1605003-44-B00034,76.85,76.85,Mail fait au client - 15/05,5/15/2020,PAS DE MOTIF,,,
B00034,COMMUNE DE COLFONTAINE,5/1/2020,5/1/2020,ECHU,1605003-45-B00034,76.85,76.85,Mail fait au client - 15/05,6/8/2020,PAS DE MOTIF,,,
B00034,COMMUNE DE COLFONTAINE,6/1/2020,6/1/2020,ECHU,1605003-46-B00034,76.85,0.00,Virement attendu,,,,,
B00034,COMMUNE DE COLFONTAINE,7/1/2020,7/1/2020,ECHU,1605003-47-B00034,76.85,0.00,Virement attendu,,,,,
B00040,POINT CARRE,4/1/2020,4/1/2020,ECHU,1607001-43,376.49,376.49,,4/6/2020,,,,
B00040,POINT CARRE,4/1/2020,4/1/2020,ECHU,1607001avt1-43,128.26,128.26,,4/6/2020,,,,
B00040,POINT CARRE,4/1/2020,4/1/2020,ECHU,1802016-23,291.61,291.61,,4/6/2020,,,,
B00040,POINT CARRE,4/1/2020,4/1/2020,ECHU,1904006-8,229.9,229.90,,4/6/2020,,,,
B00040,POINT CARRE,4/1/2020,4/1/2020,ECHU,1703007-36,302.50,302.50,,4/6/2020,,,,
B00040,POINT CARRE,4/1/2020,4/1/2020,ECHU,1703006-35,151.25,151.25,,4/6/2020,,,,
B00040,POINT CARRE,5/1/2020,5/1/2020,ECHU,1703006-36-B00040,84.70,84.70,RELANCE 04/06,7/6/2020,PAS DE MOTIF,,,
B00040,POINT CARRE,5/1/2020,5/1/2020,ECHU,1703007-37-B00040,119.79,119.79,RELANCE 04/06,7/6/2020,PAS DE MOTIF,,,
B00040,POINT CARRE,5/1/2020,5/1/2020,ECHU,1607001-44-B00040,376.49,376.49,RELANCE 04/06,7/6/2020,PAS DE MOTIF,,,
B00040,POINT CARRE,5/1/2020,5/1/2020,ECHU,1607001AVT1-44-B00040,128.26,128.26,RELANCE 04/06,7/6/2020,PAS DE MOTIF,,,
B00040,POINT CARRE,5/1/2020,5/1/2020,ECHU,1802016-24-B00040,291.61,291.61,RELANCE 04/06,7/6/2020,PAS DE MOTIF,,,
B00040,POINT CARRE,5/1/2020,5/1/2020,ECHU,1904006-9-B00040,229.90,229.90,RELANCE 04/06,7/6/2020,PAS DE MOTIF,,,
B00040,POINT CARRE,6/1/2020,6/1/2020,ECHU,1607001-45-B00040,376.49,376.49,RELANCE 04/06,7/6/2020,PAS DE MOTIF,,,
B00040,POINT CARRE,6/1/2020,6/1/2020,ECHU,1607001AVT1-45-B00040,128.26,128.26,RELANCE 04/06,7/6/2020,PAS DE MOTIF,,,
B00040,POINT CARRE,6/1/2020,6/1/2020,ECHU,1802016-25-B00040,291.61,291.61,RELANCE 04/06,7/6/2020,PAS DE MOTIF,,,
B00040,POINT CARRE,6/1/2020,6/1/2020,ECHU,1904006-10-B00040,229.9,229.9,RELANCE 04/06,7/6/2020,PAS DE MOTIF,,,
B00040,POINT CARRE,6/1/2020,6/1/2020,ECHU,1703007-38-B00040,119.79,119.79,RELANCE 04/06,7/6/2020,PAS DE MOTIF,,,
B00040,POINT CARRE,6/1/2020,6/1/2020,ECHU,1703006-37-B00040,84.70,84.70,RELANCE 04/06,7/6/2020,PAS DE MOTIF,,,
B00053,APPROACH BELGIUM,7/1/2020,7/1/2020,ECHU,1610004-1-B00053,350.90,0.00,,,,,,
B00062,BELGORAIL,1/1/2020,1/1/2020,ECHU,1612001-1-B00062,164.56,164.56,Mail fait au client - 15/05,5/25/2020,PAS DE MOTIF,,,
B00062,BELGORAIL,4/1/2020,4/1/2020,ECHU,1612001-4-B00062,164.56,164.56,Mail fait au client - 15/05,5/25/2020,PAS DE MOTIF,,,
B00062,BELGORAIL,5/1/2020,5/1/2020,ECHU,1612001-5-B00062,164.56,164.56,Mail fait au client - 15/05,6/22/2020,PAS DE MOTIF,,,
B00062,BELGORAIL,6/1/2020,6/1/2020,ECHU,1612001-6-B00062,164.56,0.00,Virement attendu,,,,,
B00072,POINT FOSSES ,6/1/2020,6/1/2020,ECHU,1703001-2-B00072,347.88,347.88,,7/6/2020,,,,
B00073,POINT NEUPRE,5/1/2020,5/1/2020,ECHU,1703002-1-B00073,347.88,347.88,Pas de coordonnées tél / mail - aucune relance possible le 04/06,7/6/2020,PAS DE MOTIF,,,
B00073,POINT NEUPRE,6/1/2020,6/1/2020,ECHU,1703002-2-B00073,347.88,0.00,Pas de coordonnées tél / mail - aucune relance possible le 04/06,,PAS DE MOTIF,,,
B00089,HOTEL IBIS DINANT,6/1/2020,6/1/2020,ECHU,1708002-34-B00089,108.90,0.00,Mail fait au client 04/06,,PAS DE MOTIF,,,
B00096,ERIC VOGHT,4/1/2020,4/1/2020,ECHU,1710004-30-B00096,72.60,72.60,Mail fait au client - 16/04 + relance 12/05,,PAS DE MOTIF,,,
B00096,ERIC VOGHT,5/1/2020,5/1/2020,ECHU,1710004-31-B00096,72.60,72.60,Mail fait au client - 16/04 + relance 12/05,,PAS DE MOTIF,,,
B00135,WAVROTEL,4/1/2020,4/1/2020,ECHU,1805004-21-B00135,297.66,297.66,Mail fait au client - 03/04 + relance le 16/04,5/7/2020,PAS DE MOTIF,,,
B00135,WAVROTEL,5/1/2020,5/1/2020,ECHU,1805004-22-B00135,297.66,297.66,Mail fait au client - 03/04 + relance le 16/04,7/6/2020,PAS DE MOTIF,,,
B00135,WAVROTEL,6/1/2020,6/1/2020,ECHU,1805004-23-B00135,297.66,297.66,Mail fait au client - 03/04 + relance le 16/04,7/6/2020,,,,
B00149,SAMBROTEL,4/1/2020,4/1/2020,ECHU,1807008-18-B00149,127.05,127.05,Mail fait au client - 03/04 + relance le 16/04,,PAS DE MOTIF,,,
B00177,ZONE DE POLICE DE HERSTAL,6/2/2020,2/1/2020,ECHU,1902008-1-LI-B00177,"1,876.67",0.00,relance mail le 03/07,,,Fact intermédiaire,,
B00177,ZONE DE POLICE DE HERSTAL,6/2/2020,3/1/2020,ECHU,1902008-2-LI-B00177,"1,876.67",0.00,relance mail le 03/07,,,Fact intermédiaire,,
B00177,ZONE DE POLICE DE HERSTAL,6/2/2020,4/1/2020,ECHU,1902008-3-LI-B00177,"1,876.67",0.00,relance mail le 03/07,,,Fact intermédiaire,,
B00177,ZONE DE POLICE DE HERSTAL,6/2/2020,5/1/2020,ECHU,1902008-4-LI-B00177,"1,876.67",0.00,relance mail le 03/07,,,Fact intermédiaire,,
B00180,COMMUNE DE FLOBECQ,4/1/2020,4/1/2020,ECHU,1904002-9-B00180,33.88,33.88,Mail fait au client - 15/05,,PAS DE MOTIF,,,
B00180,COMMUNE DE FLOBECQ,5/1/2020,5/1/2020,ECHU,1904002-10-B00180,33.88,33.88,Mail fait au client - 15/05,,PAS DE MOTIF,,,
BC0001,SELAS BIO CLINIC,2/26/2020,2/26/2020,ECHU,1904111-6-LI-BC0001,471.60,471.60,"Annonce d' un virement pour solder les impayes, ils veulent garder une bonne relation commerciale // relance 05/05",6/9/2020,CONTESTATION DEBITEUR,,,
BC0001,SELAS BIO CLINIC,2/26/2020,2/26/2020,ECHU,1904111-7-LI-BC0001,471.60,471.60,"Annonce d' un virement pour solder les impayes, ils veulent garder une bonne relation commerciale // relance 05/05",6/9/2020,CONTESTATION DEBITEUR,,,
BC0001,SELAS BIO CLINIC,3/23/2020,3/23/2020,ECHU,1904111-8-LI-BC0001,471.60,471.60,"Annonce d' un virement pour solder les impayes, ils veulent garder une bonne relation commerciale // relance 05/05",6/9/2020,CONTESTATION DEBITEUR,,,
BC0001,SELAS BIO CLINIC,5/1/2020,5/1/2020,ECHU,1904111-1-BC0001,628.80,0.00,Relance mail le 16/06 + appel infructueux le 26/06 donc nouveau mail // le 03/07 appel + mail de relance - s'engage à régulariser par virement dans les meilleurs délais et à rétablir les prlv,,,,,
BC0001,SELAS BIO CLINIC,5/1/2020,5/1/2020,ECHU,1904111-9-LI-BC0001,628.80,0.00,Relance mail le 16/06 + appel infructueux le 26/06 donc nouveau mail // le 03/07 appel + mail de relance - s'engage à régulariser par virement dans les meilleurs délais et à rétablir les prlv,,,,,
BC0001,SELAS BIO CLINIC,5/1/2020,5/1/2020,ECHU,1904111AVT1-1-LI-BC0001,-157.20,0.00,Relance mail le 16/06 + appel infructueux le 26/06 donc nouveau mail // le 03/07 appel + mail de relance - s'engage à régulariser par virement dans les meilleurs délais et à rétablir les prlv,,,,,
BC0001,SELAS BIO CLINIC,5/1/2020,5/1/2020,ECHU,1904111AVT1-2-BC0001,-157.20,0.00,Relance mail le 16/06 + appel infructueux le 26/06 donc nouveau mail // le 03/07 appel + mail de relance - s'engage à régulariser par virement dans les meilleurs délais et à rétablir les prlv,,,,,
BC0002,GUEVALT,2/26/2020,2/26/2020,ECHU,1904122-6-LI-BC0002,2200.80,2200.80,"Annonce d' un virement pour solder les impayes, ils veulent garder une bonne relation commerciale // relance 05/05",6/3/2020,CONTESTATION DEBITEUR,,,
BC0002,GUEVALT,2/26/2020,2/26/2020,ECHU,1904122-7-LI-BC0002,2200.80,2200.80,"Annonce d' un virement pour solder les impayes, ils veulent garder une bonne relation commerciale // relance 05/05",6/3/2020,CONTESTATION DEBITEUR,,,
BC0002,GUEVALT,3/23/2020,3/23/2020,ECHU,1904122-8-LI-BC0002,2200.80,2200.80,"Annonce d' un virement pour solder les impayes, ils veulent garder une bonne relation commerciale // relance 05/05",6/3/2020,CONTESTATION DEBITEUR,,,
BC0002,GUEVALT,5/1/2020,5/1/2020,ECHU,1904122AVT1-1-LI-BC0002,-157.20,-157.20,Relance mail le 16/06 + appel infructueux le 26/06 donc nouveau mail // le 03/07 appel + mail de relance - s'engage à régulariser par virement dans les meilleurs délais et à rétablir les prlv,7/10/2020,,,,
BC0002,GUEVALT,5/1/2020,5/1/2020,ECHU,1904122-9-LI-BC0002,2358.00,2358.00,Relance mail le 16/06 + appel infructueux le 26/06 donc nouveau mail // le 03/07 appel + mail de relance - s'engage à régulariser par virement dans les meilleurs délais et à rétablir les prlv,7/10/2020,,,,
BC0002,GUEVALT,5/1/2020,5/1/2020,ECHU,1904122-1-BC0002,2358.00,2358.00,Relance mail le 16/06 + appel infructueux le 26/06 donc nouveau mail // le 03/07 appel + mail de relance - s'engage à régulariser par virement dans les meilleurs délais et à rétablir les prlv,7/10/2020,,,,
BC0002,GUEVALT,5/1/2020,5/1/2020,ECHU,1904122AVT1-2-BC0002,-157.20,-157.20,Relance mail le 16/06 + appel infructueux le 26/06 donc nouveau mail // le 03/07 appel + mail de relance - s'engage à régulariser par virement dans les meilleurs délais et à rétablir les prlv,7/10/2020,,,,
BC0002,GUEVALT,7/1/2020,7/1/2020,ECHU,1904122-10-BC0002,2358.00,0.00,le 03/07 appel + mail de relance - s'engage à régulariser par virement dans les meilleurs délais et à rétablir les prlv // le 10/07 a régularisé l'antériorité mais pas facture de juillet - revoir le 15/07 si régularisation sinon nouvelle relance,,,,,
BT0013,JEAN YVES FOURNIER,2/10/2020,2/10/2020,ECHU,1807014-19-BT0013,13.00,13.00,,4/10/2020,PROV INSUFF,,,
BT0013,JEAN YVES FOURNIER,3/10/2020,3/10/2020,ECHU,1807014-20-BT0013,13.00,13.00,,4/10/2020,PROV INSUFF,,,
