"TYPE";"N°";"Ref Produit";"Produit principal";"Quantité";"Min";"Max";"option_incluse";"option_incluse_obligatoire";"Afficher sur le site";"Ordre";"Lignes de produits visible";"visible_sur_pdf";"Prix d'achat dont ecotaxe"
"GARANTIE";12;"Garantie_Axa_60";"non";1;1;1;"non";"non";"oui";20;"oui";"oui";0
"GARANTIE";13;"Garantie_Axa_36";"non";1;1;1;"non";"non";"oui";20;"oui";"oui";0
"GARANTIE";14;"Garantie_Axa_48";"non";1;1;1;"non";"non";"oui";20;"oui";"oui";0
"GARANTIE";15;"Garantie_Axa_60";"non";1;1;1;"non";"non";"oui";20;"oui";"oui";0
"GARANTIE";16;"Garantie_Axa_36";"non";1;1;1;"non";"non";"oui";20;"oui";"oui";0
"GARANTIE";17;"Garantie_Axa_48";"non";1;1;1;"non";"non";"oui";20;"oui";"oui";0
"GARANTIE";18;"Garantie_Axa_60";"non";1;1;1;"non";"non";"oui";20;"oui";"oui";0
"LIVRAISON";1;"Livraison_Axa_36";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";2;"Livraison_Axa_48";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";3;"Livraison_Axa_60";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";4;"Livraison_Axa_36";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";5;"Livraison_Axa_48";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";6;"Livraison_Axa_60";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";7;"Livraison_Axa_36";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";8;"Livraison_Axa_48";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";9;"Livraison_Axa_60";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";10;"Livraison_Axa_36";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";11;"Livraison_Axa_48";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";12;"Livraison_Axa_60";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";13;"Livraison_Axa_36";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";14;"Livraison_Axa_48";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";15;"Livraison_Axa_60";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";16;"Livraison_Axa_36";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";17;"Livraison_Axa_48";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
"LIVRAISON";18;"Livraison_Axa_60";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";0
