cial,Raison sociale 1,relation,Code postal,Ville,ID SECTEUR,N° Téléphone,Libellé fonction dirigeant principal,Nom ou raison sociale dirigeant principal,Code civilité dirigeant principal,Prenom dirigeant principal,Nom représentant dirigeant principal,Siren,Siret,Adresse,Code NAF entreprise,Libellé NAF entreprise,N° Fax,Dernier chiffre d'affaires connu,Effectif Entreprise,Date de création Entreprise,Libellé forme juridique,Capital social
AED,ASSOCIATION REGIONALE ESPOIR ET VIE,,62000,ARRAS,1,321514325,,,,,,784047938,78404793800021,70 RUE FREDERIC DEGEORGE,8610Z,Activités hospitalières,321234158,,20,1983-07-01,Association déclarée,
AED,ASSOCIATION SAINT CAMILLE,,62000,ARRAS,1,321227014,,,,,,783909773,78390977300013,17 RUE DU MARCHE AU FILE,8710A,Hébergement médicalisé pour personnes âgées,,,20,1900-01-01,Association déclarée,
AED,AUDIT EXPERTISE COMPTABLE FORT & ASS,,62000,ARRAS,1,321599900,Président,FORT,M,Pierre Emmanuel,,671920288,67192028800022,32 RUE DE LA REPUBLIQUE,6920Z,Activités comptables,321714721,1236240,49,1967-01-01,Société par actions simplifiée,300000
AED,BAIL ACTEA,,62000,ARRAS,1,321714411,Président du conseil d'administration,CHABROL,M,Francois Marie Gabriel,,342468600,34246860000081,7 RUE FREDERIC DEGEORGE,6491Z,Crédit-bail,321714422,,50,1987-10-01,SA à conseil d'administration,52000000
AED,BON BON BUDDIES,,62000,ARRAS,1,321730325,Gérant,CARR,,Timothy James,,448790188,44879018800024,7 RUE WILLY BRANDT,4636Z,"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie",,15070754,12,2003-05-20,SARL unipersonnelle,7500
AED,CENTRE ACTION EDUCATIVE ET SOCIALE,,62000,ARRAS,1,321213371,,,,,,309395424,30939542400018,10 RUE DES TEINTURIERS,8790A,Hébergement social pour enfants en difficultés,,,20,1900-01-01,Association déclarée,
AED,CHAUSSURES PAUL,,62000,ARRAS,1,321234024,Gérant,BRICOUT,M,Emmanuel,,611920166,61192016600018,2 PL DES HEROS,4772A,Commerce de détail de la chaussure,,2171928,12,1961-01-01,Société à responsabilité limitée,368400
AED,CITE NATURE,,62000,ARRAS,1,321215959,,,,,,392292983,39229298300021,25 BD ROBERT SCHUMAN,9499Z,Autres organisations fonctionnant par adhésion volontaire,321215958,,20,1993-04-15,Association déclarée,
AED,CTRE COM ACTION SOCIALE D'ARRAS,,62000,ARRAS,1,321591841,,,,,,266200419,26620041900015,4 PL GUY MOLLET,8899B,Action sociale sans hébergement n.c.a.,,,20,1978-01-01,Centre communal d'action sociale,
AED,CULTURE ET LIBERTE,,62000,ARRAS,1,321710350,,,,,,340825645,34082564500021,3 RUE HOFFBAUER,9499Z,Autres organisations fonctionnant par adhésion volontaire,321714616,,10,1970-06-01,Association déclarée,
AED,DIRECT,,62000,ARRAS,1,321213666,Gérant,DEMORY,M,Philippe,,391071685,39107168500062,14 RUE DES BALANCES,6622Z,Activités des agents et courtiers d'assurances,,3100036,11,1993-01-01,Société à responsabilité limitée,552000
AED,ENTREPRISE PARALU MENUISERIE EPM,,62000,ARRAS,1,321711991,Gérant,COURAU,M,Jean-Marc Francois Marie,,435287800,43528780000013,1 AV JOHN F KENNEDY,4332B,Travaux de menuiserie métallique et serrurerie,321713845,3329721,23,2001-03-09,Société à responsabilité limitée,38000
AED,ETABLISSEMENTS BOYAVAL,,62000,ARRAS,1,321213232,Gérant,LHERBIER,M,Loic,,381756055,38175605500012,30 RUE EMILE LEGRELLE,4754Z,Commerce de détail d'appareils électroménagers en magasin spécialisé,,2501361,19,1990-09-01,Société à responsabilité limitée,610000
AED,ETNAP BET,,62000,ARRAS,1,321242400,Président,CARBONNIER,M,Jean Maurice,,382251395,38225139500028,2 VOIE BOSSUET,7112B,"Ingénierie, études techniques",321249115,3577010,28,1991-06-14,Société par actions simplifiée,250000
AED,EUROP'TOURING,,62000,ARRAS,1,321509870,Président,DUBOIS,M,Patrice,,440907525,44090752500032,255 AV JOHN F KENNEDY,4540Z,Commerce et réparation de motocycles,,6024115,13,2002-02-15,Société par actions simplifiée,100000
AED,EVECHE D ARRAS,,62000,ARRAS,1,321214000,,,,,,775630148,77563014800036,103 RUE D AMIENS,9491Z,Activités des organisations religieuses,,,20,1900-01-01,Association déclarée,
AED,FERMETURES DELAPLACE,,62000,ARRAS,1,321732636,Co-gérant,DEGROOTE,M,Michel,,447864125,44786412500045,112 B RUE DE CAMBRAI,4332A,Travaux de menuiserie bois et PVC,321222434,,10,2003-03-11,Société à responsabilité limitée,10000
AED,FLANDRES ARTOIS TOURISME,,62000,ARRAS,1,321714314,Gérant,NOCLERCQ,M,Lucien,,701920555,70192055500037,3 RUE GAMBETTA,7911Z,Activités des agences de voyage,,564470,11,1970-01-01,Société à responsabilité limitée,80000
AED,GROUPEMENT D'IMAGERIE MEDICALE ARTOIS,,62000,ARRAS,1,321168585,Administrateur,ARTHEMIS,M,Stephane,BRASSENS,432983450,43298345000011,57 AV WINSTON CHURCHILL,8622A,Activités de radiodiagnostic et de radiothérapie,321168589,,10,2000-09-14,Groupement d'intérêt économique,30489
AED,LA VIE ACTIVE LOISIRS,,62000,ARRAS,1,321241286,,,,,,350336731,35033673100079,3 RUE BEFFARA,5520Z,Hébergement touristique et autre hébergement de courte durée,,,10,1989-01-01,Association déclarée,
AED,LIGUE ENSEIGNEMENT PAS CALAIS,,62000,ARRAS,1,321244860,,,,,,775630601,77563060100208,55 RUE MICHELET,9499Z,Autres organisations fonctionnant par adhésion volontaire,,,50,1900-01-01,Association déclarée,
AED,MISSION LOCALE EN PAYS D'ARTOIS,,62000,ARRAS,1,321718393,,,,,,353737315,35373731500021,LA RESIDENCE SAINT POL,9499Z,Autres organisations fonctionnant par adhésion volontaire,,,50,1990-02-08,Association déclarée,
AED,MULTICITE CONSULTANTS,,62000,ARRAS,1,321234971,Gérant,WATTIER,MME,"Emmanuelle, Emilie, Marie",,438557597,43855759700012,9 RUE DES AGACHES,7022Z,Conseil pour les affaires et autres conseils de gestion,321234972,968016,10,2001-07-01,Société coopérative exploitée sous forme de SARL,61500
AED,MUTUALITE FRANCAISE  PAS DE CALAIS,,62000,ARRAS,1,321228444,,,,,,417669975,41766997500225,3 RUE ERNEST DELANNOY,6512Z,Autres assurances,,,200,1998-01-01,Mutuelle,
AED,NCS,,62000,ARRAS,1,321237676,Président,LIGNIER,M,Didier,,498953124,49895312400019,RUE DE LA SYMPHORINE,6420Z,Activités des sociétés holding,321514240,1674009,14,2007-06-29,Société par actions simplifiée,2770000
AED,NCS NORD DE FRANCE,,62000,ARRAS,1,321237676,Président,LIGNIER,M,Didier,,451534333,45153433300013,RUE DE LA SYMPHORINE,6203Z,Gestion d'installations informatiques,321514240,11654869,48,2004-01-01,Société par actions simplifiée,1000000
AED,NICOLE CHENE PIERRE MARGOLLE SYLVAIN,,62000,ARRAS,1,321212927,Co-gérant,BERTOUX,M,Stephane,,783910128,78391012800017,1 RUE ARISTIDE BRIAND,6910Z,Activités juridiques,,,20,1900-01-01,Société civile professionnelle,199206
AED,NORMAND-INFO,,62000,ARRAS,1,321217575,Président,POITAU,M,Jean Luc,,327850970,32785097000077,57 GRAND PLACE,6201Z,Programmation informatique,,7097620,46,1983-07-01,Société par actions simplifiée,522000
AED,NOVESCIA NORD ARTOIS,,62000,ARRAS,1,321604200,Président,MESSEANT,MME,Lucie,,492538178,49253817800012,3 PL GUY MOLLET,8690B,Laboratoires d'analyses médicales,,6039850,53,2006-09-28,Société d'exercice libéral par action simplifiée,8544
AED,OFFICE DE TOURISME D'ARRAS,,62000,ARRAS,1,321483963,,,,,,500830963,50083096300012,RUE JACQUES LE CARON,7990Z,Autres services de réservation et activités connexes,321517649,,20,2008-03-01,Etablissement public local à caractère industriel ou commercial,
AED,OXIALIVE,,62000,ARRAS,1,960457393,Gérant,PAWLETTA,M,Christophe,,498110121,49811012100023,11 T BD ROBERT SCHUMAN,7312Z,Régie publicitaire de médias,,1435386,13,2007-02-01,Société à responsabilité limitée,1400000
AED,PARMENTIER  SINGER...,,62000,ARRAS,1,321242525,Co-gérant,PARMENTIER,M,Jean Marc,,382273134,38227313400017,13 RUE ROGER SALENGRO,6910Z,Activités juridiques,,,10,1991-07-01,Société civile professionnelle de greffiers de tribunal de commerce,548820
AED,"PHILIPPE MEILLIER, MARJORIE THUILLIEZ",,62000,ARRAS,1,321213201,Co-gérant,MEILLIER,M,Philippe Emilien Joseph,,783910110,78391011000023,1 PL DE LA MADELEINE,6910Z,Activités juridiques,321714699,,10,1900-01-01,Société civile professionnelle,33538
AED,PLASTIENVASE FRANCIA,,62000,ARRAS,1,321236811,Gérant,BERNAL MARMOL,M,Francisco,,509779963,50977996300016,1 RUE CLAUDE BERNARD,2221Z,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques",321239160,36750120,159,2009-01-05,Société à responsabilité limitée,1000000
AED,RESTAURANT PIZZERIA GRILL LE PALERME,,62000,ARRAS,1,321585384,Gérant,EVELETTE,MME,Evelyne,,387929219,38792921900013,50 GRAND PLACE,5610A,Restauration traditionnelle,321585384,880548,12,1992-05-01,Société à responsabilité limitée,7622
AED,SARL MARCHE FLORAL ARRAGEOIS,,62000,ARRAS,1,321237644,Gérant,DEKONINCK,M,Pierre Gaston,,350979712,35097971200022,52 BD CARNOT,4776Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",321237535,905856,11,1989-04-01,Société à responsabilité limitée,7622
AED,SAS FG AUTOMOBILES,,62000,ARRAS,1,321242052,Président,GROSSO,M,Frederic Pierre,,441029337,44102933700025,19 RUE LEON FOUCAULT,4511Z,Commerce de voitures et de véhicules automobiles légers,,9529324,12,2002-03-01,Société par actions simplifiée,500000
AED,SCM BBRAM,,62000,ARRAS,1,321513208,Gérant,ANDRE,M,Alain,,381846799,38184679900017,7 BD DE STRASBOURG,8219Z,"Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau",321515160,,10,1991-01-01,Société civile de moyens,209387
AED,SCP DRS DELEPLACE MERCIER DIEVAL ...,,62000,ARRAS,1,321235555,Gérant,BRASSENS,M,Stephane,,320461866,32046186600016,2 RUE CHANZY,8622A,Activités de radiodiagnostic et de radiothérapie,,,50,1980-01-27,Société civile professionnelle,13392
AED,SCP GERARD BAILLET & ANNE BELLOY PAREN,,62000,ARRAS,1,321516600,Co-gérant,BAILLET,M,Gerard,,783910144,78391014400063,16 RUE DU COLLEGE,6910Z,Activités juridiques,321519750,,10,1900-01-01,Société civile,266785
AED,SECOFINORD,,62000,ARRAS,1,321713030,Président du conseil d'administration,CHAPART,M,Laurent Andre,,331566869,33156686900037,41 RUE ROGER SALENGRO,6920Z,Activités comptables,321517848,3143297,39,1985-01-01,SA à conseil d'administration,607400
AED,SOC ARRAGEOISE DE COMMERCE AUTOMOBILE,,62000,ARRAS,1,327728728,Président,LA BRIQUE PICARDE,M,Luc,GUIDEZ,422792770,42279277000014,75 RUE DE CAMBRAI,4511Z,Commerce de voitures et de véhicules automobiles légers,,36806816,68,1999-05-03,Société par actions simplifiée,160000
AED,SONADIA SOC NLLE ARRAGEOISE DISTRIB AU,,62000,ARRAS,1,321506666,Président,MARISCAL,M,Gerard  Marcel  Frederic,,389498965,38949896500034,RUE LEON FOUCAULT,4511Z,Commerce de voitures et de véhicules automobiles légers,,26930678,49,1992-12-14,Société par actions simplifiée,160000
AED,SPECIAL FACADE,,62000,ARRAS,1,321557275,Gérant,BAYART,M,David,,397570417,39757041700022,4 RUE GEORGES CLEMENCEAU,4339Z,Autres travaux de finition,,928730,15,1994-07-01,Société à responsabilité limitée,7625
AED,SALESKY NORD,,62223,ATHIES,1,321156542,Président,SOCIETE KALYSSE,M,Jerome,HERVE,501685390,50168539000012,,4941A,Transports routiers de fret interurbains,,4066024,41,2007-12-14,Société par actions simplifiée,200000
AED,VARIATION DESIGN,,62223,ATHIES,1,321222122,Gérant,VARLET,M,Dominique,,451078711,45107871100020,18 RUE ARTHUR DELOBELLE,4649Z,Commerce de gros (commerce interentreprises) d'autres biens domestiques,,3194165,14,2003-12-01,Société à responsabilité limitée,7500
AED,ASS LOCALE AIDE A DOMICILE MILIEU RURA,,62690,AUBIGNY EN ARTOIS,1,321599239,,,,,,313956294,31395629400042,120 RUE GEORGES LAMIOT,8810A,Aide à domicile,321598943,,100,1978-01-01,Association déclarée,
AED,FERMETURES MENUISERIES BATIMENT A.LAMP,,62690,AUBIGNY EN ARTOIS,1,321214333,Président du conseil de surveillance,LAMPIN,M,Andre,,339587545,33958754500023,RUE DE MINGOVAL,4332A,Travaux de menuiserie bois et PVC,,7667418,38,1986-10-10,SA à directoire,266447
AED,MAISON DE RETRAITE,,62690,AUBIGNY EN ARTOIS,1,321730740,,,,,,266209501,26620950100011,RUE DE MINGOVAL,8710A,Hébergement médicalisé pour personnes âgées,321224977,,20,1982-01-01,Etablissement public local social et médico-social,
AED,MODULA,,62690,AUBIGNY EN ARTOIS,1,321214330,Gérant,DUTOUQUET,M,Didier,,353698095,35369809500018,RUE DE MONGOVAL,2223Z,Fabrication d'éléments en matières plastiques pour la construction,321739765,4267099,22,1909-02-12,Société à responsabilité limitée,150000
AED,AIDE DOMICILE MILIEU RURAL,,62770,AUCHY LES HESDIN,1,321047818,,,,,,783915705,78391570500033,33 RUE DE WAMIN,8810A,Aide à domicile,321418955,,20,1900-01-01,Association déclarée,
AED,MAISON DE RETRAITE ST ALBERT,,62770,AUCHY LES HESDIN,1,321048453,,,,,,775624125,77562412500024,26 RUE DU HUIT MAI 1945,8710A,Hébergement médicalisé pour personnes âgées,,,50,1986-02-01,Association déclarée,
AED,ADMR AUXI-BUIRE-WILLEMAN,,62390,AUXI LE CHATEAU,1,321040868,,,,,,415389485,41538948500020,31 PL DE L HOTEL DE VILLE,8810A,Aide à domicile,,,50,1998-01-01,Association déclarée,
AED,AMBULANCES ET POMPES FUNEBRES BRASSEUR,,62390,AUXI LE CHATEAU,1,321410138,Co-gérant,BRASSEUR,MME,Carole,,345014013,34501401300022,7 RUE DU PONT NEUF,8690A,Ambulances,,1026311,17,1988-02-01,Société à responsabilité limitée,8000
AED,CTRE PERMANENT INITIATION ENVIRONNEMEN,,62390,AUXI LE CHATEAU,1,321040579,,,,,,316830744,31683074400025,RUE VERMAELEN,9499Z,Autres organisations fonctionnant par adhésion volontaire,,,20,1979-01-01,Association déclarée,
AED,F P CONSTRUCTION,,62390,AUXI LE CHATEAU,1,321411008,Gérant,FLIPPE,M,Didier,,323635342,32363534200021,RUE DE LA BELLE INUTILE,4120B,Construction d'autres bâtiments,321046812,2218041,29,1982-01-01,Société à responsabilité limitée,15300
AED,SA KERUZORE,,62390,AUXI LE CHATEAU,1,321040398,Président,KERUZORE,M,Herve,,309528735,30952873500017,5 RUE DU GENERAL DESPLANQUES,4942Z,Services de déménagement,321413977,1607114,18,1977-01-01,Société par actions simplifiée,40000
AED,SARL COMPT CONSEIL AUXI SOC EXPERT COM,,62390,AUXI LE CHATEAU,1,321045899,Gérant,HUBLE,M,Marc Marcel Gaston,,392804647,39280464700015,9 RUE DU PONT NEUF,6920Z,Activités comptables,,1021020,11,1993-09-01,Société à responsabilité limitée,15244
AED,SOCIETE COURCY,,62390,AUXI LE CHATEAU,1,321411327,Gérant,COURCY,M,Philippe Roland Rene,,731920393,73192039300014,5 PL DE L HOTEL DE VILLE,4754Z,Commerce de détail d'appareils électroménagers en magasin spécialisé,,1234398,10,1964-01-01,Société à responsabilité limitée,39600
AED,V DERAMECOURT J PARCEVAUX-DERAMECOURT,,62390,AUXI LE CHATEAU,1,321041451,Co-gérant,DE PARCEVAUX,,Juliette,,411259005,41125900500030,6 RUE VERMAELEN,6910Z,Activités juridiques,,,10,1996-11-08,Société civile professionnelle,914694
AED,ASSOCIATION ACTION FAMILIALE RURALE,,62810,AVESNES LE COMTE,1,321732860,,,,,,305838484,30583848400056,57 GRAND'RUE,8810A,Aide à domicile,,,50,1984-01-01,Association déclarée,
AED,BALESTRA TP,,62810,AVESNES LE COMTE,1,321489060,Gérant,BALESTRA,M,Lorenzo,,451383491,45138349100011,124 RUE DE LA POSTE,4312A,Travaux de terrassement courants et travaux préparatoires,321585504,12164270,40,2004-01-01,Société à responsabilité limitée,100000
AED,ENTREPRISE BALESTRA,,62810,AVESNES LE COMTE,1,321487788,Président du conseil de surveillance,BALESTRA,M,Rocco,,305837767,30583776700030,124 RUE DE LA POSTE,4299Z,Construction d'autres ouvrages de génie civil n.c.a.,321585504,24244097,117,1976-01-01,Société par actions simplifiée,907200
AED,ETABLISSEMENTS GOSSET,,62810,AVESNES LE COMTE,1,321484008,Gérant,GOSSET,MME,Nathalie,,711920348,71192034800028,1050 RTE DE FREVENT,4673A,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,321596132,7667991,19,1958-05-01,Société à responsabilité limitée,215000
AED,SCP JEAN PIERRE BUNEAU  RODOLPHE CADET,,62810,AVESNES LE COMTE,1,321604400,Co-gérant,CADET,M,Rodolphe,,322031634,32203163400015,40 RUE DERBECOURT,6910Z,Activités juridiques,,,10,1981-04-01,Société civile professionnelle de notaires,415174
AED,ADAC - AVION AMBULANCES,,62210,AVION,1,321557622,Co-gérant,KOWALKOWSKI,MME,Angelina,,422306605,42230660500037,21 AV OCTAVE DELCOURT,8690A,Ambulances,,667510,15,1999-04-06,Société à responsabilité limitée,7622
AED,AUTO EXPO,CLI,62210,AVION,1,321281816,Président,CORTEEL,M,Marc Jacques Roger,,432125763,43212576300016,267 BD HENRI MARTEL,4511Z,Commerce de voitures et de véhicules automobiles légers,321430583,33592530,48,2000-06-10,Société par actions simplifiée,680000
AED,BISIAUX FRERES ENTR CONST ARTESIENNES,,62210,AVION,1,321422912,Gérant,BISIAUX,,Gilbert,,316754902,31675490200021,21 RUE JEAN JACQUES ROUSSEAU,4391B,Travaux de couverture par éléments,,1130342,11,1976-01-01,Société à responsabilité limitée,18293
AED,CENTRE COMMUNAL D ACTION SOCIALE,,62210,AVION,1,321081062,,,,,,266200658,26620065800018,19 RUE PASTEUR,8899B,Action sociale sans hébergement n.c.a.,321081063,,20,1978-01-01,Centre communal d'action sociale,
AED,DERACHE-DUCARIN S.A.S.,,62210,AVION,1,321423535,Président,DUCARIN,M,Dominique Gerard Francis,,418579165,41857916500014,BD MAURICE THOREZ,4511Z,Commerce de voitures et de véhicules automobiles légers,,11848593,39,1998-04-01,Société par actions simplifiée,240000
AED,DIS.ELEC,,62210,AVION,1,321203224,Co-gérant,FREYMANN,M,Jean Michel,,483494191,48349419100024,RUE DU GENERAL DELESTRAINT,4669A,Commerce de gros (commerce interentreprises) de matériel électrique,321785558,,10,2005-07-26,Société à responsabilité limitée,150000
AED,ENTREPRISE CANNATA SA,,62210,AVION,1,321430119,Président,CANNATA,M,Bruno,,351455209,35145520900012,277 BD HENRI MARTEL,4331Z,Travaux de plâtrerie,,14518660,117,1989-07-01,Société par actions simplifiée,448000
AED,GOMMAGE,,62210,AVION,1,321283055,Gérant,YOSBERGUE,M,Pierre,,411425010,41142501000021,205 RUE DU 2 FEVRIER 1965,3811Z,Collecte des déchets non dangereux,,1071285,18,1997-03-06,Société à responsabilité limitée,22500
AED,ASS LOCALE ADMR CANTON VIMY ENVIRONS,,62580,BAILLEUL SIR BERTHOULT,1,321601599,,,,,,315433128,31543312800040,6 RUE HENIN BEAUMONT,8899B,Action sociale sans hébergement n.c.a.,,,100,1979-01-01,Association déclarée,
AED,AIDE A DOMICILE EN MILIEU RURAL,,62450,BAPAUME,1,321506061,,,,,,308909886,30890988600035,42 RUE D ARRAS,8810A,Aide à domicile,321506295,,50,1900-01-01,Association déclarée,
