Référence;Désignation;Sous catégorie;Fabriquant ;commentaire ;Prix d'achat;Fournisseur
100311;Affûtage lame carbure de tungstène 60 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102260;27,1;LA PLATEFORME DU BÂTIMENT SIEGE
100308;Affûtage lame carbure de tungstène 24 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102024;20,1;LA PLATEFORME DU BÂTIMENT SIEGE
100310;Affûtage lame carbure de tungstène 48 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102148;24,1;LA PLATEFORME DU BÂTIMENT SIEGE
100309;Affûtage lame carbure de tungstène 36 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102136;22,1;LA PLATEFORME DU BÂTIMENT SIEGE
112232;Affûtage lame carbure de tungstène 32 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102132;21,4;LA PLATEFORME DU BÂTIMENT SIEGE
112238;Affûtage lame carbure de tungstène 54 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102154;27;LA PLATEFORME DU BÂTIMENT SIEGE
112240;Affûtage lame carbure de tungstène 64 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102264;28,1;LA PLATEFORME DU BÂTIMENT SIEGE
112239;Affûtage lame carbure de tungstène 56 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102256;27;LA PLATEFORME DU BÂTIMENT SIEGE
112237;Affûtage lame carbure de tungstène 52 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102152;25,1;LA PLATEFORME DU BÂTIMENT SIEGE
112236;Affûtage lame carbure de tungstène 42 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102142;23,5;LA PLATEFORME DU BÂTIMENT SIEGE
112231;Affûtage lame carbure de tungstène 30 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102130;20,8;LA PLATEFORME DU BÂTIMENT SIEGE
112230;Affûtage lame carbure de tungstène 28 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102028;20,8;LA PLATEFORME DU BÂTIMENT SIEGE
112229;Affûtage lame carbure de tungstène 18 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102018;16,2;LA PLATEFORME DU BÂTIMENT SIEGE
112228;Affûtage lame carbure de tungstène 14 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102014;16,2;LA PLATEFORME DU BÂTIMENT SIEGE
112244;Affûtage lame carbure à gouge 66 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102566;29,5;LA PLATEFORME DU BÂTIMENT SIEGE
112243;Affûtage lame carbure de tungstène 100 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab1022100;37,7;LA PLATEFORME DU BÂTIMENT SIEGE
112242;Affûtage lame carbure de tungstène 90 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102290;35,1;LA PLATEFORME DU BÂTIMENT SIEGE
112241;Affûtage lame carbure de tungstène 68 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102268;28,2;LA PLATEFORME DU BÂTIMENT SIEGE
112234;Affûtage lame carbure de tungstène 38 dents;CONSOMMABLES OEP;ASM ADIS 95;ref fab102138;22,5;LA PLATEFORME DU BÂTIMENT SIEGE
46664;Foret marteau SDS + X5L pour perçage béton L. 165 x ø 10 mm;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y265073;10,92;LA PLATEFORME DU BÂTIMENT SIEGE
46669;Foret marteau SDS + X5L pour perçage béton L. 215 x ø 12 mm;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y265079;13,73;LA PLATEFORME DU BÂTIMENT SIEGE
46667;Foret marteau SDS + X5L pour perçage béton L. 215 x ø 8 mm;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y265068;11,55;LA PLATEFORME DU BÂTIMENT SIEGE
46665;Foret marteau SDS + X5L pour perçage béton L. 165 x ø 12 mm;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y265078;11,76;LA PLATEFORME DU BÂTIMENT SIEGE
46641;PORTE TREPAN QUEUE CANNEL. LONG 200 HAWERA;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y265212;40,46;LA PLATEFORME DU BÂTIMENT SIEGE
46661;Foret marteau SDS + X5L pour perçage béton L. 115 x ø 8 mm;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y265066;9,78;LA PLATEFORME DU BÂTIMENT SIEGE
46674;Foret multi-construction Ø 7 x h. 5 x L. 100 mm 24 g;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y202061;4,89;LA PLATEFORME DU BÂTIMENT SIEGE
46656;Pic SDS+ à technologie RTec L. 250 mm avec 15% de rendement en plus;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y227535;18,2;LA PLATEFORME DU BÂTIMENT SIEGE
53956;SCIE-TREPAN HSS PROGRESSOR 48 MM;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y227651;27,56;LA PLATEFORME DU BÂTIMENT SIEGE
53943;SCIE TREPAN HSS PROGRESSOR 24 MM;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y227636;17,58;LA PLATEFORME DU BÂTIMENT SIEGE
53944;SCIE TREPAN HSS PROGRESSOR 73 MM;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y227664;36,3;LA PLATEFORME DU BÂTIMENT SIEGE
53955;Scie cloche PROGRESSOR ø 44 mm fixation rapide sur adaptateur 6 pans ou SDS denture HSS bi-métal;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y227649;25,38;LA PLATEFORME DU BÂTIMENT SIEGE
53945;SCIE-TREPAN HSS PROGRESSOR 76 MM;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y227665;38,38;LA PLATEFORME DU BÂTIMENT SIEGE
53947;SCIE-TREPAN HSS PROGRESSOR 83 MM;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y227667;41,5;LA PLATEFORME DU BÂTIMENT SIEGE
53957;SCIE-TREPAN HSS PROGRESSOR 25 MM;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y227637;18,72;LA PLATEFORME DU BÂTIMENT SIEGE
53950;SCIE-TREPAN HSS PROGRESSOR 64 MM;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y227659;32,14;LA PLATEFORME DU BÂTIMENT SIEGE
53952;SCIE-TREPAN HSS PROGRESSOR 127 MM;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y227679;102,96;LA PLATEFORME DU BÂTIMENT SIEGE
53946;SCIE-TREPAN HSS PROGRESSOR 79 MM;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y227666;40,77;LA PLATEFORME DU BÂTIMENT SIEGE
46650;TREPAN CONIQUE SDS +/MAX - 90 MM HAWERA;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y265216;70,72;LA PLATEFORME DU BÂTIMENT SIEGE
46649;TREPAN CONIQUE SDS +/MAX - 80 MM HAWERA;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y265205;66,56;LA PLATEFORME DU BÂTIMENT SIEGE
46651;TREPAN CONIQUE SDS +/MAX - 110 MM HAWERA;CONSOMMABLES OEP;BOSCH/HAWERA;ref fabF00Y265217;153,92;LA PLATEFORME DU BÂTIMENT SIEGE
46668;Foret marteau SDS + X5L pour perçage béton L. 215 x ø 10 mm;OUTILLAGE ELECTROPORTATIF;BOSCH/HAWERA;ref fabF00Y265074;12,38;LA PLATEFORME DU BÂTIMENT SIEGE
46642;Foret centreur  L. 125 x l. 204 x h. 28 mm ø perçage 11 mm 80 g;OUTILLAGE ELECTROPORTATIF;BOSCH/HAWERA;ref fabF00Y265211;9,88;LA PLATEFORME DU BÂTIMENT SIEGE
53953;Scie cloche PROGRESSOR ø 67 mm fixation rapide sur adaptateur 6 pans ou SDS denture HSS bi-métal;OUTILLAGE ELECTROPORTATIF;BOSCH/HAWERA;ref fabF00Y227661;31,1;LA PLATEFORME DU BÂTIMENT SIEGE
46647;Trépan conique SDS+ L. 80 x l. 130 x h. 80 mm  ø 66 mm 950 g;OUTILLAGE ELECTROPORTATIF;BOSCH/HAWERA;ref fabF00Y265203;60,32;LA PLATEFORME DU BÂTIMENT SIEGE
46648;TREPAN CONIQUE SDS +/MAX - 70 MM HAWERA;OUTILLAGE ELECTROPORTATIF;BOSCH/HAWERA;ref fabF00Y265204;64,48;LA PLATEFORME DU BÂTIMENT SIEGE
46652;TREPAN CONIQUE SDS +/MAX - 125 MM HAWERA;OUTILLAGE ELECTROPORTATIF;BOSCH/HAWERA;ref fabF00Y265206;175,76;LA PLATEFORME DU BÂTIMENT SIEGE
83102;Lame de scie trépan bimétal PROGRESSOR Ø51 mm;OUTILLAGE ELECTROPORTATIF;BOSCH/HAWERA;ref fabF00Y227652;29,02;LA PLATEFORME DU BÂTIMENT SIEGE
62421;CLÉ NERVUS 5,5 MM;OUTILLAGE MANUEL HORS HILTI;BOST GARNACHE INDUSTRIES SAS FS;ref fabSC.92.5,5;3,3;LA PLATEFORME DU BÂTIMENT SIEGE
62420;CLÉ NERVUS 5 MM;OUTILLAGE MANUEL HORS HILTI;BOST GARNACHE INDUSTRIES SAS FS;ref fabSC.92.5;3,1;LA PLATEFORME DU BÂTIMENT SIEGE
146763;Code HPV centaure;MATERIEL DE CHANTIER MECANIQUE;CENTAURE CDH GROUP;ref fab;9999,99;LA PLATEFORME DU BÂTIMENT SIEGE
143310;lot PRO 54 - 3 et 5 marches;MATERIEL DE CHANTIER MECANIQUE;CENTAURE CDH GROUP;ref fab220027;209;LA PLATEFORME DU BÂTIMENT SIEGE
75449;BRASSEUR D'AIR VMO 600;MATERIEL DE CHANTIER MECANIQUE;DANTHERM;ref fabVMO600;305;LA PLATEFORME DU BÂTIMENT SIEGE
75446;VENTILATEUR V300;MATERIEL DE CHANTIER MECANIQUE;DANTHERM;ref fabV300;250;LA PLATEFORME DU BÂTIMENT SIEGE
72864;DESHUMIDIFICATEUR PROFESSIONNEL DR21E;OUTILLAGE DU PEINTRE;DANTHERM;ref fabDR21E;445;LA PLATEFORME DU BÂTIMENT SIEGE
72865;DESHUMIDIFICATEUR PROFESSIONNEL DR48E 46,7 L/JOUR;OUTILLAGE DU PEINTRE;DANTHERM;ref fabDR48E;749;LA PLATEFORME DU BÂTIMENT SIEGE
37739;MECHE A FRAISER DIAM 4MM;CONSOMMABLES OEP;DENUZIERE;ref fab7540540;14,6;LA PLATEFORME DU BÂTIMENT SIEGE
29445;Coffret de 7 scies cloches ø de 19 à 64 mm prof. 26 mm;CONSOMMABLES OEP;DENUZIERE;ref fab7123000;16,2;LA PLATEFORME DU BÂTIMENT SIEGE
63436;SCIE CLOCHE 76MM + FORET + MANDRIN;CONSOMMABLES OEP;DENUZIERE;ref fab7123410;27,5;LA PLATEFORME DU BÂTIMENT SIEGE
33868;Coffret 1 tournevis + 1 porte filière + 1 porte taraud + 9 tarauds M3 à M12 + 9 filières M3 à M12;CONSOMMABLES OEP;DENUZIERE;ref fab44576013;30,2;LA PLATEFORME DU BÂTIMENT SIEGE
101778;Mesure combinée Ruban/Laser 5m/40m;OEP SANS FIL;DENUZIERE;ref fab4800720;61,36;LA PLATEFORME DU BÂTIMENT SIEGE
113980;Mesure télémètre / ruban - 40M/5M;OEP SANS FIL;DENUZIERE;ref fab4800710;73,14;LA PLATEFORME DU BÂTIMENT SIEGE
56766;EQUERRE DEPLIANTE ALU MACON ODM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0630245;27,46;LA PLATEFORME DU BÂTIMENT SIEGE
74923;LEVE CHAUFFE-EAU 150 KG;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab8837610;391,14;LA PLATEFORME DU BÂTIMENT SIEGE
65874;AGRAFES JT21 EN 6 MM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0160726;5,5;LA PLATEFORME DU BÂTIMENT SIEGE
65875;AGRAFES JT21 EN 8 MM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0160728;5,2;LA PLATEFORME DU BÂTIMENT SIEGE
65876;AGRAFES JT21 EN 10 MM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0160729;5,15;LA PLATEFORME DU BÂTIMENT SIEGE
65878;Agrafes en acier galvanisé T50 pour travaux extérieurs l. 10 mm boîte de 1250 pièces;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0160810;6,5;LA PLATEFORME DU BÂTIMENT SIEGE
65877;AGRAFES T50 EN 8 MM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab160808;6,5;LA PLATEFORME DU BÂTIMENT SIEGE
65879;AGRAFES T50 EN 12 MM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0160812;6,5;LA PLATEFORME DU BÂTIMENT SIEGE
65880;Agrafes T50 L. 14 mm boîte de 1250 pièces;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0160814;6,5;LA PLATEFORME DU BÂTIMENT SIEGE
65873;AGRAFEUSE CLOUEUSE ELEC PRO ET501;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab160547;51,9;LA PLATEFORME DU BÂTIMENT SIEGE
128301;Agrafeuse Electrique sans fil E21 3,6V  - Agrafes 6 à 10 mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab160432;49,9;LA PLATEFORME DU BÂTIMENT SIEGE
95486;Agrafeuse électrique sans fil T50DCD;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab160549;99;LA PLATEFORME DU BÂTIMENT SIEGE
65871;AGRAFEUSE ARROW JT21C CHROMEE;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0160512;28,75;LA PLATEFORME DU BÂTIMENT SIEGE
65872;Agrafeuse pour câble T25 ø 6 mm gris compatible avec les agrafes CAVALIERS T25;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab160526;35,9;LA PLATEFORME DU BÂTIMENT SIEGE
63443;Agrafeuse T50 pour agrafes 6 à 14 mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0160500;47,5;LA PLATEFORME DU BÂTIMENT SIEGE
19590;Pied à coulisse 1/20 - 150 mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab630186;20,1;LA PLATEFORME DU BÂTIMENT SIEGE
19569;DOUBLE METRE BOIS GRAVE;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab4110080;7,25;LA PLATEFORME DU BÂTIMENT SIEGE
70529;BOITE DE 5000 AGRAFES N34 - 6 MM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0160110;15,8;LA PLATEFORME DU BÂTIMENT SIEGE
29441;Boîte à coupe pour plinthe de L. 400 mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab10033;17,1;LA PLATEFORME DU BÂTIMENT SIEGE
29442;BOITE A COUPE POUR CORNICHE 400MM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0010041;23,7;LA PLATEFORME DU BÂTIMENT SIEGE
29439;BOITE A COUPE MULTIPLIS 300MM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab10030;9,3;LA PLATEFORME DU BÂTIMENT SIEGE
67328;BOITE A ONGLET 350 MM ODM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0010028;5,3;LA PLATEFORME DU BÂTIMENT SIEGE
65882;Agrafes CAVALIERS T25 L. 10 mm boîte de 1000 pièces;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab160840;5,9;LA PLATEFORME DU BÂTIMENT SIEGE
65883;Agrafes CAVALIERS T25 L. 14 mm boîte de 1000 pièces;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab160844;5,9;LA PLATEFORME DU BÂTIMENT SIEGE
29447;LOT CHASSE GOUPIL 2-3-4-5-6MM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab6390955;9;LA PLATEFORME DU BÂTIMENT SIEGE
53038;Code HPV - DENUZIERE;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab;9999,99;LA PLATEFORME DU BÂTIMENT SIEGE
118772;Cordeau traceur 30m;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab8810021;8,5;LA PLATEFORME DU BÂTIMENT SIEGE
113979;Couteau aluminium haute sécurité;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab2100075;13,2;LA PLATEFORME DU BÂTIMENT SIEGE
70964;Lot de 6 cutters bi-matière ergonomiques et maniables L. 18 mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab1270156;19,1;LA PLATEFORME DU BÂTIMENT SIEGE
62850;CUTTER BIMAT 25 MM +10 LAMES;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab1270025;9,99;LA PLATEFORME DU BÂTIMENT SIEGE
129005;Cutter inox ultra slim 9 mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab1270490;3,95;LA PLATEFORME DU BÂTIMENT SIEGE
29449;Réglet acier recto/verso 300 x 13 mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab4800100;4;LA PLATEFORME DU BÂTIMENT SIEGE
29444;Fausse équerre menuisier talon bois 250 mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab2630060;17,1;LA PLATEFORME DU BÂTIMENT SIEGE
37976;Crayon à mine grasse noir pour multi-surfaces - 25cm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab5280160;5;LA PLATEFORME DU BÂTIMENT SIEGE
19573;Équerre de menuisier L. 300 mm avec talon en aluminium;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab2630310;14;LA PLATEFORME DU BÂTIMENT SIEGE
26404;Crayon à charpentier L. 18 cm boîte de 12 crayons;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab5280089;4,7;LA PLATEFORME DU BÂTIMENT SIEGE
19568;Compas à ressort porte-crayon 150 mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab6600170;14,6;LA PLATEFORME DU BÂTIMENT SIEGE
79528;Mine graphite crayon Lyra Dry PROFI;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab5280604;8,2;LA PLATEFORME DU BÂTIMENT SIEGE
95487;Crayon graphite télescopique Lyra Dry PROF;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab4498101;14;LA PLATEFORME DU BÂTIMENT SIEGE
66047;EQUERRE A ONGLETS PLIANTE;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0080100;37,3;LA PLATEFORME DU BÂTIMENT SIEGE
114843;Pochette 4 crayons de maçon mine dur 4h;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab5280260;5;LA PLATEFORME DU BÂTIMENT SIEGE
118374;Plomb de macon n°6;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab4130100;11;LA PLATEFORME DU BÂTIMENT SIEGE
118375;Plomb de macon n°10;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab4130120;19,3;LA PLATEFORME DU BÂTIMENT SIEGE
36293;HUILE COUPE ENTIERE BURETTE 125 ML;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab7380700;7,25;LA PLATEFORME DU BÂTIMENT SIEGE
32677;Grattoir pour peinture et bois L. 21,3 x l. 6,2 cm avec lame interchangeable de L. 6 cm en acier;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab21288;9;LA PLATEFORME DU BÂTIMENT SIEGE
37828;Lame de grattoir en acier peinture et bois interchangeable de L. 6 cm manche synthétique;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab21292;3,3;LA PLATEFORME DU BÂTIMENT SIEGE
4772;GRIFFE DE ZINGUEUR - POINTE CARBURE;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0010471;18,5;LA PLATEFORME DU BÂTIMENT SIEGE
32115;CLE UNIVERSELLE 4451;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab3830401;20,1;LA PLATEFORME DU BÂTIMENT SIEGE
129006;10 lames de cutter 9 mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab4680015;4,4;LA PLATEFORME DU BÂTIMENT SIEGE
72650;Lames de cutter L. 18 mm 3 boîtes de 10 lames;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab1270103;18,1;LA PLATEFORME DU BÂTIMENT SIEGE
132983;Massette antirebond 920g - 52 mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab4590315;22,5;LA PLATEFORME DU BÂTIMENT SIEGE
79190;Lot mesure 5m + cutter quick back 18 mm + 10 lames razor black;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab4780150;29,9;LA PLATEFORME DU BÂTIMENT SIEGE
70963;LOT DE 6 MESURES 5X19MM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab4804516;28,08;LA PLATEFORME DU BÂTIMENT SIEGE
112382;Lot de 6 mesures BI-STOP 5 mètres;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab4790506;29,9;LA PLATEFORME DU BÂTIMENT SIEGE
114005;Mesure ABS 5m X 25mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab4809176;11;LA PLATEFORME DU BÂTIMENT SIEGE
114006;Mesure ABS 8m X 25mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab4809186;15,4;LA PLATEFORME DU BÂTIMENT SIEGE
147665;Pelle tout acier 240mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab;9,5;LA PLATEFORME DU BÂTIMENT SIEGE
26478;Colle universelle 200mm sachet 1kg;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab00360V;26,7;LA PLATEFORME DU BÂTIMENT SIEGE
142170;Presse pince ressort acier 50mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab5450420;4,75;LA PLATEFORME DU BÂTIMENT SIEGE
26477;Colle universelle ø 12 mm 15 bâtons de 300 g pour pistolet à colle;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab00352V;11,2;LA PLATEFORME DU BÂTIMENT SIEGE
26745;Ensemble pistolet à colle avec avance automatique 40 W bâtons de ø 12 mm  + cartouche de colle 1 kg;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab01298V;39,8;LA PLATEFORME DU BÂTIMENT SIEGE
65881;POINTES T50BN EN 15 MM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab0160615;9,25;LA PLATEFORME DU BÂTIMENT SIEGE
58496;PORTE-OUTILS 11 POCHES EN NYLON;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab2624125;26,2;LA PLATEFORME DU BÂTIMENT SIEGE
72649;PORTE OUTILS AVEC CEINTURE - 5 COMPARTIMENTS;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab2620030;26,4;LA PLATEFORME DU BÂTIMENT SIEGE
19598;FER DE RECHANGE POUR D336T;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab1810214;11,1;LA PLATEFORME DU BÂTIMENT SIEGE
19593;RABOT SEMELLE TOLE 44 MM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab1810151;17,1;LA PLATEFORME DU BÂTIMENT SIEGE
19599;FER DE RECHANGE POUR D110T;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab181215;10,3;LA PLATEFORME DU BÂTIMENT SIEGE
19594;RABOT PETITE SEMELLE TOLE 42 MM;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab1810161;16,1;LA PLATEFORME DU BÂTIMENT SIEGE
29400;Scie à métaux basique L. 300 mm 45° et 90° tension permanente de la lame 35 kg;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab8953450;8,6;LA PLATEFORME DU BÂTIMENT SIEGE
112381;Scie à métaux monture aluminium lame 300 mm;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab8320190;17,8;LA PLATEFORME DU BÂTIMENT SIEGE
113964;Carte de 10 lames scie à métaux bi-métal;OUTILLAGE MANUEL HORS HILTI;DENUZIERE;ref fab8320224;16,7;LA PLATEFORME DU BÂTIMENT SIEGE
