cd "N° SIRET","Code Client","Code Client Partenaire","Apporteur","Email"
"19020009700011",,"C048PCURIE","Boulanger Pro","gest.0020009z@ac-amiens.fr"
"19781632500017",,"C048COLSIM","Boulanger Pro","laurence.lamy1@ac-versailles.fr"
"19781632500017",,"C048COLSTS","Boulanger Pro","laurence.lamy1@ac-versailles.fr"
"24310063300011",,"C048SICOVA","Boulanger Pro","sylvie.bautista@sicoval.fr"
"24620029900013",,"C048CAHC","Boulanger Pro",
"24340081900013",,"C048COMHER","Boulanger Pro","lromero@agglohm.net"
"24590075800054",,"C048CCFLYS","Boulanger Pro","anais.verdru@cc-flandrelys.fr"
"24700070600066",,"C048CCRIOZ","Boulanger Pro","avaudrey@cc-pays-riolais.fr"
"24820005700037",,"C048QUERCY","Boulanger Pro","dominique.kesler@quercycaussadais.fr"
"24820010700014",,"C048CCQRG","Boulanger Pro","ccqrga.compta@orange.fr"
"20006340200016",,"C048COMM20","Boulanger Pro","gdonche@gmail.com"
"21260013400010",,"C048COMARP","Boulanger Pro","mairiearpavon@wanadoo.fr"
"21420020600016",,"C048COMM18","Boulanger Pro","mairie.boisset42@wanadoo.fr"
"21470040300014",,"C048COMBRA","Boulanger Pro","ressources@brax47.fr"
"21350037400011",,"C048CBREAL","Boulanger Pro","mairie@brealsousmontfort.fr"
"21740067000014",,"C048MACHAV","Boulanger Pro","mairie@chavanod.fr"
"21250149800019",,"C048COMM16","Boulanger Pro","brancher.daniel@orange.fr"
"21940033000011",,"C048COFON","Boulanger Pro",
"21210284200011",,"C048COMFRA","Boulanger Pro","mairiefrancheville21@gmail.com"
"21830061400011",,"C048MAIFRE","Boulanger Pro","finances.factures@ville-frejus.fr"
"21940034800013",,"C048COMFRE","Boulanger Pro","mairie@fresnes94.fr"
"21020342800011",,"C048COMM17","Boulanger Pro","communication@ville-guise.fr"
"21680116700018",,"C048COMGUN","Boulanger Pro","mairie.gundolsheim@vialis.net"
"21930047200194",,"C048COMM12","Boulanger Pro","bruno.golfier@ville-montfermeil.fr"
"21100260500015",,"C048NOGENT","Boulanger Pro","comptabilite@ville-nogent-sur-seine.fr"
"21670405600011",,"C048COMROE","Boulanger Pro","mairie@roeschwoog.eu"
"21260325200124",,"C048STRAMB","Boulanger Pro","contact@ville-st-rambert.fr"
"21380485900014",,"C048COMSEY","Boulanger Pro","informatique@seyssinet-pariset.fr"
"21920073000014",,"C048COMM14","Boulanger Pro","mediatheque@ville-suresnes.fr"
"21260364100011",,"C048COMM11","Boulanger Pro","secretariatmairievassieux@orange.fr"
"21310572900015",,"C048COMVEN","Boulanger Pro","contact@mairie-venerque.fr"
"21940078500016",,"C048COMVIL","Boulanger Pro","roger.flocan@grandorlyseinebievre.fr"
"21950680500015",,"C048COMM19","Boulanger Pro","ndarin@ville-villiers-le-bel.fr"
"21760759700010",,"C048COMM22","Boulanger Pro","mairie-yville@wanadoo.fr"
"21330519600015",,"C048COMTAI","Boulanger Pro","mairie@taillan-medoc.fr"
"51522334500015",,"C048CPAMBE","Boulanger Pro","logistique.cpam@assurance-maladie.fr"
"22850001300658",,"C048CDEVEN","Boulanger Pro","maria.guichard@vendee.fr"
"40259164800041",,"C048CONESP","Boulanger Pro","b.perceval@cen-bn.fr"
"13001262800066",,"C048DRIHL","Boulanger Pro","anthony.bonnafous@developpement-durable.gouv.fr"
"18007003900078",,"C048INRA","Boulanger Pro","vincent.andreoletti@inra.fr"
"18008904700013",,"C048INRIA","Boulanger Pro","factures_demat@inria.fr"
"18003604802409",,"C048INSPAR","Boulanger Pro","lea.etcheverry@inserm.fr"
"19381912500017",,"C048POLYTG","Boulanger Pro","remi.boullargeat@grenoble.inp.fr"
"25620210200016",,"C048POLEME","Boulanger Pro","lise.bulteel@pm-cote-opale.fr"
"19420094500013",,"C048ENSM42","Boulanger Pro","compta@emse.fr"
"19753459700012",,"C048ENSPAR","Boulanger Pro","celine.barlerin@ens.fr"
"19911568400011",,"C048POLYTE","Boulanger Pro","adelaide.dunet@polytechnique.edu"
"19911568400011",,"C048POLYTE","Boulanger Pro","adelaide.dunet@polytechnique.edu"
"44068389400016",,"C048GROUPE","Boulanger Pro",
"77925545400018",,"C048GROUP8","Boulanger Pro","saintjopdc@wanadoo.fr"
"20002812400028",,"C048HEAR","Boulanger Pro","financesmarches@hear.fr"
"18009202500089",,"C048IMTLIL","Boulanger Pro","sylvie.denier@imt-lille-douai.fr"
"26240565700053",,"C048EHPADP","Boulanger Pro","ehpad.brantome@sil.fr"
"26760191200012",,"C048EHPA13","Boulanger Pro","m.r.beaufils@orange.fr"
"26570018700015",,"C048EHPADI","Boulanger Pro","carole.viville57@orange.fr"
"26690018200087",,"C048HOPNEU","Boulanger Pro","achat@chg-neuville.fr"
"19341385300014",,"C048LYCVIN","Boulanger Pro","gest.034185w@ac-montpellier.fr"
"19750697500014",,"C048LYCBAT","Boulanger Pro","stephanie.bazin@ac-paris.fr"
"19740003900016",,"C048LYCEEG","Boulanger Pro","roseline.garcin@ac-grenoble.fr"
"19693446700016",,"C048LYCCSI","Boulanger Pro","isabelle.merle1@ac-lyon.fr"
"19240150300011",,"C048LYCBEA","Boulanger Pro","ce.0241137f@ac-bordeaux.fr"
"19650027600015",,"C048LYCDUP","Boulanger Pro",
"19180024200015",,"C048LYCMOU","Boulanger Pro","ce.0180024d@ac-orleans-tours.fr"
"19590110300018",,"C048LYCPER","Boulanger Pro","ce.0590110z@ac-lille.fr"
"19160049300016",,"C048LYCROS","Boulanger Pro","beatrice.grenoux@ac-poitiers.fr"
"19763005600012",,"C048LYCEEM","Boulanger Pro","berenice.gallois@developpement-durable.g"
"19740051800019",,"C048LYCEE5","Boulanger Pro","delphine.bornet@ac-grenoble.fr"
"19550025100010",,"C48LYCMAR","Boulanger Pro","yamina.ladjani@ac-nancy-metz.fr"
"19550025100010",,"C048LYCMAR","Boulanger Pro","yamina.ladjani@ac-nancy-metz.fr"
"19071351100011",,"C048XAVMAL","Boulanger Pro","intendance.0071351f@ac-grenoble.fr"
"19750783300014",,"C048LYCEE4","Boulanger Pro","nicolas.barbier@ac-paris.fr"
"19870013000018",,"C048LYCSAN","Boulanger Pro","ce.0870013s@ac-limoges.fr"
"19030924500016",,"C048LYCVAL","Boulanger Pro","int.0030924n@ac-clermont.fr"
"19690021100018",,"C048LYCDOI","Boulanger Pro","intendant.0693619j@ac-lyon.fr"
"19840218200028",,"C048MONGIN","Boulanger Pro","pascal.buron01@educagri.fr"
"21620910600014",,"C048MABET","Boulanger Pro",
"21130008200016",,"C048AURONS","Boulanger Pro","dgs@aurons13.fr"
"21770169700013",,"C048MAIEME","Boulanger Pro",
"21010004600015",,"C048MAIAMB","Boulanger Pro","accueil@mairie-amberieuenbugey.fr"
"21770018600018",,"C048MAIBAI","Boulanger Pro","contact@bailly-romainvilliers.fr"
"21470032000010",,"C048MAIBEN","Boulanger Pro","mairie@ville-bon-encontre.fr"
"21010053300012",,"C048MAIBRE","Boulanger Pro",
"21840026500011",,"C048MAICAD","Boulanger Pro","comptabilite@mairie-cadenet.fr"
"21620193900016",,"C048MACALA","Boulanger Pro","mediatheque-secretariat@mairie-calais.fr"
"21690275900010",,"C048MAIDEC","Boulanger Pro","si@mairie-decines.fr"
"21210330300013",,"C048MAIFOI","Boulanger Pro","mairie.labergementfoigney@orange.fr"
"21950280400012",,"C048MAIGOU","Boulanger Pro","lounis.hattab@ville-goussainville.fr"
"21780481400010",,"C048MAIPEC","Boulanger Pro","raf.ejs@ville-lepecq.org"
"21340135900012",,"C048MAILES","Boulanger Pro","philippe.val@lespignan.fr"
"21770255400015",,"C048MALIVR","Boulanger Pro","compta-mairie-livry@wanadoo.fr"
"21770255400015",,"C603MALIVR","Boulanger Pro","compta-mairie-livry@wanadoo.fr"
"21740158700035",,"C048MAIMAC","Boulanger Pro","gstehle@machilly.fr"
"21340166400015",,"C048MONTBL","Boulanger Pro","mairie.montblanc@wanadoo.fr"
"21590419400010",,"C048MAIMOU","Boulanger Pro","contact@mairie-mouchin.fr"
"21440110100016",,"C048MAINOR","Boulanger Pro","accueil@nort-sur-erdre.fr"
"21910463500012",,"C048MAONCY","Boulanger Pro","mairie.oncysurecole@gmail.com"
"21750001600019",,"C048MAIPAR","Boulanger Pro","laurent.cassel@paris.fr"
"21400227100010",,"C048MAIPIS","Boulanger Pro","veronique.destenave@pissos.fr"
"21920064900016",,"C048MAICLO","Boulanger Pro","f.cabos@saintcloud.fr"
"21710425600011",,"C048MASTGI","Boulanger Pro","mairiestgilles71@orange.fr"
"21940069400010",,"C048MAISTM","Boulanger Pro","melanie.rahali@ville-saint-maurice.fr"
"21260325200124",,"C048MAIRAM","Boulanger Pro","contact@ville-st-rambert.fr"
"21440172100011",,"C048MALUCE","Boulanger Pro","a.allain@sainte-luce-loire.com"
"21740281700019",,"C048MAITHO","Boulanger Pro","culture@ville-thonon.fr"
"21440204200110",,"C048MATHOU","Boulanger Pro","pascal.viaud@mairie-thouare.fr"
"21770468300283",,"C603MAITOR","Boulanger Pro","smaurice@mairie-torcy.org"
"21380548400010",,"C048VILLAN","Boulanger Pro","compta@villard-de-lans.fr"
"21860294400017",,"C048MEDVOU","Boulanger Pro","mairie@vouille86.fr"
"21590651200011",,"C048MAIWAV","Boulanger Pro","st.wsd@orange.fr"
"21920060700014",,"C048MAIROB","Boulanger Pro","eric.lefur@plessis-robinson.com"
"21920060700014",,"C048MAIROB","Boulanger Pro","eric.lefur@plessis-robinson.com"
"26590802000018",,"C048MAIHOU","Boulanger Pro","compta@ville-houplines.fr"
"21760748000019",,"C048VITTEF","Boulanger Pro","mlecompte@vittefleur.fr"
"21590143000011",,"C048CHAPEL","Boulanger Pro","BERNARD.POISSONNIER@NEUF.FR"
"21590355000014",,"C048VILLOM","Boulanger Pro",
"31737349600023",,"C048CA0015","Boulanger Pro","economat@stjoseph-lemans.fr"
"78381866900013",,"C048OGEC1","Boulanger Pro","compta@sacrecoeur-stpol.com"
"78362708600011",,"C048MONCAT","Boulanger Pro","sebastien.abbaye@orange.fr"
"13000798200106",,"C048ARSPAC","Boulanger Pro","ars-paca-sante-environnement@ars.sante.fr"
"17540111600561",,"C048TGIVAL","Boulanger Pro","chg.tgi-briey@justice.fr"
"13001835100010",,"C048UNIBOR","Boulanger Pro",
"13002358300011",,"C048UNIVLI","Boulanger Pro","muriel.vernay@univ-lille.fr"
"19440984300019",,"C048UNIVE4","Boulanger Pro","yann.pelloquin@univ-nantes.fr"
"19931238000017",,"C048UNIV13","Boulanger Pro","dir-daps@univ-paris13.fr"
"43351389200029",,"C048CHRON1","Boulanger Pro","magasin_1001@chronodrive.com"
"43351389200011",,"C048CHRON4","Boulanger Pro","magasin_1002@chronodrive.com"
"43351389200045",,"C048CHRO12","Boulanger Pro","magasin_1003@chronodrive.com"
"43351389200052",,"C048CHRON3","Boulanger Pro","magasin_1005@chronodrive.com"
"43351389200086",,"C048CHRO10","Boulanger Pro","magasin_1006@chronodrive.com"
"43351389200078",,"C048CHRO21","Boulanger Pro","magasin_1007@chronodrive.com"
"43351389200094",,"C048CHRO23","Boulanger Pro","magasin_1008@chronodrive.com"
"43351389200102",,"C048CHRO24","Boulanger Pro","magasin_1009@chronodrive.com"
"43351389200144",,"C048CHRO17","Boulanger Pro","magasin_1010@chronodrive.com"
"43351389200136",,"C048CHRO39","Boulanger Pro","magasin_1011@chronodrive.com"
"43351389200128",,"C048CHRO22","Boulanger Pro","magasin_1012@chronodrive.com"
"43351389200110",,"C048CHRO18","Boulanger Pro","magasin_1013@chronodrive.com"
"43351389200169",,"C048CHRO15","Boulanger Pro","magasin_1015@chronodrive.com"
"43351389200177",,"C048CHRO11","Boulanger Pro","magasin_1016@chronodrive.com"
"43351389200185",,"C048CHRON5","Boulanger Pro","magasin_1017@chronodrive.com"
"43351389200201",,"C048CHRON7","Boulanger Pro","magasin_1018@chronodrive.com"
"43351389200219",,"C048CHRO40","Boulanger Pro","magasin_1019@chronodrive.com"
"43351389200193",,"C048CHRO14","Boulanger Pro","magasin_1020@chronodrive.com"
"43351389200227",,"C048CHRO26","Boulanger Pro","magasin_1021@chronodrive.com"
"43351389200235",,"C048CHRO16","Boulanger Pro","magasin_1022@chronodrive.com"
"43351389200243",,"C048CHRON9","Boulanger Pro","magasin_1023@chronodrive.com"
"43351389200284",,"C048CHRO25","Boulanger Pro","magasin_1024@chronodrive.com"
"43351389200276",,"C048CHRON2","Boulanger Pro","magasin_1025@chronodrive.com"
"43351389200292",,"C048CHRON8","Boulanger Pro","magasin_1026@chronodrive.com"
"43351389200318",,"C048CHRO41","Boulanger Pro","magasin_1030@chronodrive.com"
"43351389200342",,"C048CHRO30","Boulanger Pro","magasin_1031@chronodrive.com"
"43351389200334",,"C048CHRO31","Boulanger Pro","magasin_1032@chronodrive.com"
"43351389200326",,"C048CHRO32","Boulanger Pro","magasin_1033@chronodrive.com"
"43351389200177",,"C048CHRO42","Boulanger Pro","magasin_1034@chronodrive.com"
"43351389200359",,"C048CHRO33","Boulanger Pro","magasin_1035@chronodrive.com"
"43351389200367",,"C048CHRO27","Boulanger Pro","magasin_1036@chronodrive.com"
"43351389200375",,"C048CHRO36","Boulanger Pro","magasin_1038@chronodrive.com"
"43351389200441",,"C048CHRO43","Boulanger Pro","magasin_1039@chronodrive.com"
"43351389200565",,"C048CHRO44","Boulanger Pro","magasin_1040@chronodrive.com"
"43351389200417",,"C048CHRO45","Boulanger Pro","magasin_1041@chronodrive.com"
"43351389200409",,"C048CHRO34","Boulanger Pro","magasin_1042@chronodrive.com"
"43351389200425",,"C048CHRO46","Boulanger Pro","magasin_1044@chronodrive.com"
"43351389200524",,"C048CHRO47","Boulanger Pro","magasin_1045@chronodrive.com"
"43351389200433",,"C048CHRO48","Boulanger Pro","magasin_1046@chronodrive.com"
"43351389200458",,"C048CHRO49","Boulanger Pro","magasin_1047@chronodrive.com"
"43351389200466",,"C048CHRO50","Boulanger Pro","magasin_1048@chronodrive.com"
"43351389200607",,"C048CHRO51","Boulanger Pro","magasin_1049@chronodrive.com"
"43351389200557",,"C048CHRO52","Boulanger Pro","magasin_1050@chronodrive.com"
"43351389200490",,"C048CHRO53","Boulanger Pro","magasin_1051@chronodrive.com"
"43351389200615",,"C048CHRO54","Boulanger Pro","magasin_1053@chronodrive.com"
"43351389200474",,"C048CHRO55","Boulanger Pro","magasin_1054@chronodrive.com"
"43351389200581",,"C048CHRO56","Boulanger Pro","magasin_1055@chronodrive.com"
"43351389200540",,"C048CHRO57","Boulanger Pro","magasin_1057@chronodrive.com"
"43351389200516",,"C048CHRO58","Boulanger Pro","magasin_1059@chronodrive.com"
"43351389200623",,"C048CHRO60","Boulanger Pro","magasin_1060@chronodrive.com"
"43351389200532",,"C048CHRO61","Boulanger Pro","magasin_1061@chronodrive.com"
"43351389200599",,"C048CHRO62","Boulanger Pro","magasin_1063@chronodrive.com"
"43351389200573",,"C048CHRO63","Boulanger Pro","magasin_1064@chronodrive.com"
"43351389200656",,"C048CHRO64","Boulanger Pro","magasin_1065@chronodrive.com"
"43351389200680",,"C048CHRO65","Boulanger Pro","magasin_1068@chronodrive.com"
"43351389200706",,"C048CHRO66","Boulanger Pro","magasin_1071@chronodrive.com"
"43351389200789",,"C048CHRO67","Boulanger Pro","magasin_1074@chronodrive.com"
"43351389200755",,"C048CHRO68","Boulanger Pro","magasin_1076@chronodrive.com"
"43351389200748",,"C048CHRO69","Boulanger Pro","magasin_1077@chronodrive.com"
"43351389200797",,"C048CHRO70","Boulanger Pro","magasin_1082@chronodrive.com"
"43351389200805",,"C048CHRO71","Boulanger Pro","magasin_1083@chronodrive.com"
"50167104400060",,"C04813ATA","Boulanger Pro",
"50167104400078",,"C04813ATA3","Boulanger Pro",
"50167104400052",,"C04813ATA2","Boulanger Pro",
"50167104400045",,"C04813ATA4","Boulanger Pro",
"50167104400037",,"C04813ATA1","Boulanger Pro",
"75291524900011",,"C0482PLUS","Boulanger Pro","2PLUSDEBIENETRE@FREE.fr"
"80495405500013",,"C0483CMCON","Boulanger Pro","3CM-CONNECT@ORANGE.FR"
"83174416400011",,"C048ABC72","Boulanger Pro","eric.fournier@abcinformatique72.com"
"97150567200040",,"C048ACC1","Boulanger Pro","accueil.acc@cabinet-acc.fr"
"50438324100016",,"C048ACIENE","Boulanger Pro","contact@aci-energie.fr"
"38874117500052",,"C048ACIA","Boulanger Pro","mailgeneral@acia.fr"
"45294738500038",,"C048ACILYO","Boulanger Pro","PR@MA-CAVE-A-VIN.FR"
"40813389000058",,"C048ACSON","Boulanger Pro",
"53185247300010",,"C048AD2I","Boulanger Pro","ad2i-elec@orange.fr"
"53394979800011",,"C048ADLCME","Boulanger Pro","CCAGNET@W3C-CONSULTING.FR"
"78805803000016",,"C048ADOMA","Boulanger Pro","christelle.metal@adoma.fr"
"82089811200017",,"C048ADTLUX","Boulanger Pro","danrelmy@gmail.com"
"37784998900035",,"C048ADVAFC","Boulanger Pro","cama@afc-informatique.fr"
"37784998900035",,"C048ADVAFC","Boulanger Pro","cama@afc-informatique.fr"
"47834418700016",,"C048AFPA","Boulanger Pro","helene.bouquet@afpa.fr"
"44531243200013",,"C048AFPI","Boulanger Pro",
"20003038500013",,"C048AGGLOP","Boulanger Pro","mary.voisin@agglopolys.fr"
"50819845400029",,"C603AJBAT","Boulanger Pro","aj.batiment@laposte.net"
"83470770500010",,"C048ALYB","Boulanger Pro","contact@alyb.fr"
"48466886800025",,"C603AMGC","Boulanger Pro","kamgc@free.fr"
"49467045800020",,"C048AMIEDE","Boulanger Pro","menuiserie.amiedeco@gmail.com"
"38139499800029",,"C048APPERT","Boulanger Pro","martin.appert@wanadoo.fr"
"41312289600041",,"C048AQUA20","Boulanger Pro","administratif@aqua2000.fr"
"35294843400019",,"C048ARAYMO","Boulanger Pro","louis.collardeau@araymond.Com"
"57213329600085",,"C603ARDEX","Boulanger Pro","julie.druart@ardex-france.fr"
"38375928900234",,"C048ARIUS","Boulanger Pro","france.rst.comptabilite@bnpparibas.com"
"80928818600012",,"C048ARTIZ","Boulanger Pro","max.zana@free.fr"
"20004405500016",,"C048ARTOI6","Boulanger Pro","contact@artoiscomm.fr"
"45189913200018",,"C048ASLELE","Boulanger Pro","asl.electricite@modulonet.fr"
"77560915900022",,"C048ASSLOZ","Boulanger Pro","direction@batipaume.com"
"26750045200011",,"C048APHP75","Boulanger Pro","relations.fournisseurs.sap@aphp.fr"
"84080905700010",,"C048AVRIL","Boulanger Pro","contact@atelieravriletfils.fr"
"35058073400043",,"C048ATMP1","Boulanger Pro","courrierhyeres@atmp83.fr"
"35058073400050",,"C048ATMP2","Boulanger Pro","courrierlaseyne@atmp83.fr"
"84163166600010",,"C048AUFMOR","Boulanger Pro","aufaure.morgan@gmail.com"
"33005710000027",,"C048CG0025","Boulanger Pro","administration@la-tour-carree.com"
"30605009700030",,"C048AZDEPA","Boulanger Pro",
"49223811800029",,"C048BS","Boulanger Pro",
"48535376700018",,"C048BCLDE","Boulanger Pro","cppo@wanadoo.fr"
"66202971900041",,"C048BLC","Boulanger Pro",
"44106537200027",,"C048BLINKE","Boulanger Pro","jerome@blinkerfrance.com"
"79955568500012",,"C048BOMULT","Boulanger Pro","bomultitechnique@gmail.com"
"44047588700020",,"C048BOIENE","Boulanger Pro","maxence.pottier@dalkia.fr"
"53814308200021",,"C048BONATT","Boulanger Pro","VICKY.BOUCLET@BONATTI.IT"
"49824131400018",,"C048BOUCHA","Boulanger Pro","laurent.nollet@beoplast.fr"
"34738457000300",,"C048BOULSA","Boulanger Pro",
"33995725000014",,"C048BOUTR","Boulanger Pro",
"77931435000017",,"C048BOVICO","Boulanger Pro","bovi-coop-01@cmre.fr"
"83313180800010",,"C048BRAVIN","Boulanger Pro","b.comme.bistrot@gmail.com"
"58205614900120",,"C048BRGM","Boulanger Pro","s.trouve@brgm.fr"
"20006898900140",,"C048CADINA","Boulanger Pro","p.montaut-texier@dinan-agglomeration.fr"
"43465124600010",,"C048CAISS1","Boulanger Pro","aureliane.estadieu@ca-aquitaine.fr"
"49411680900018",,"C048CAPSO","Boulanger Pro","valerie.caparros@capson.fr"
"20007121500012",,"C048CCCHAV","Boulanger Pro","a.manneron@ccvcommunaute.fr"
"20006959900013",,"C048PRJCDC","Boulanger Pro","prj.targon@cdc-entre2mers.fr"
"20006951600074",,"C048CCSEUL","Boulanger Pro","contact@cdc-stm.fr"
"26770156300012",,"C048CCAS77","Boulanger Pro","vbreton@briecomterobert.fr"
"26691041300019",,"C048CCASCO","Boulanger Pro","social@ville-corbas.fr"
"26381022800019",,"C048MAISAS","Boulanger Pro","cperez@sassenage.fr"
"26830042300038",,"C048CCASDR","Boulanger Pro","rpa.draguignan@ville-draguignan.fr"
"26940032100015",,"C048CCAS94","Boulanger Pro","isabelle.trehou@leplessistrevise.fr"
"26240306600059",,"C048CCAS24","Boulanger Pro","accueil@ccas-perigueux.fr"
"11000201100044",,"C048CCPD06","Boulanger Pro","ccpd-sec-vintimille@interirur.gouv.fr"
"26540016800018",,"C048CHSTNI","Boulanger Pro","achats@ch-luneville.fr"
"50423203400018",,"C048CHALLA","Boulanger Pro","challamel.p@icloud.com"
"18140004500025",,"CO48CAC","Boulanger Pro","benedicte.ledoux@normandie-chambagri.fr"
"18140004500025",,"C048CAC","Boulanger Pro","benedicte.ledoux@normandie.chambagri.fr"
"43351389200391",,"C048CHRO37","Boulanger Pro",
"43351389200151",,"C048CHRO19","Boulanger Pro",
"43351389200011",,"C048CHRO59","Boulanger Pro","mrakotoarimanana@chonodrive.com"
"50313074200029",,"C048CLI","Boulanger Pro","khaled@cli-trading.fr"
"77567246200626",,"C048CMPP38","Boulanger Pro","saitouaret@eu-asso.fr"
"50060594400031",,"C048COBO","Boulanger Pro","COBO.INFORMATIQUE@WANADOO.FR"
"31239540300032",,"C048CODIMA","Boulanger Pro","office@codimag.fr"
"24740011200063",,"C048COMCO2","Boulanger Pro","c.patat@ccpaysdecruseilles.org"
"53974628900138",,"C048COMPA3","Boulanger Pro","nvarlet@csav.fr"
"39672031000137",,"C048COMBAR","Boulanger Pro","cdaroles@comtessedubarry.com"
"13002089400015",,"C048COMUEU","Boulanger Pro","agence-comptable@univ-cotedazur.fr"
"38011842200035",,"COR8CONALU","Boulanger Pro","thery.ganachaud@ouvrard-batiment.com"
"38011842200035",,"C048CONALU","Boulanger Pro","thery.ganachaud@ouvrard-batiment.com"
"50077248800036",,"C048COPIN","Boulanger Pro","michael@copin-electro.fr"
"45650485100019",,"C048CREDI1","Boulanger Pro","olivia.gancarz@cdn.fr"
"31188978600027",,"C048CROSNI","Boulanger Pro","f.fredom@crosnier.eu"
"56206764500068",,"C048CTS","Boulanger Pro","sorel@ctssas.com"
"50292099400014",,"C048MEURI","Boulanger Pro",
"40816473900026",,"C603DMP","Boulanger Pro","dmpcompta@orange.fr"
"38338136500048",,"C048DASA","Boulanger Pro","comptabilite.fournisseurs@korus.fr"
"52261304100014",,"C048DBTCE","Boulanger Pro","fvillanueva@dbt.fr"
"39126974300020",,"C048DEGRA","Boulanger Pro","contact@degraeve-pro.fr"
"80298304900015",,"C048BRUMEN","Boulanger Pro","debrode.bruno.menuiserie@orange.fr"
"53512225300011",,"C603DECONO","Boulanger Pro","decorationnouvelle@email.com"
"39214883900013",,"C048DELCR","Boulanger Pro",
"48773439400033",,"C048DEMATH","Boulanger Pro","francesca.sergeant@demathieu-bard.fr"
"52053036100010",,"C048DESBUI","Boulanger Pro","borion.jeanp@designs-buils.com"
"38134797000018",,"C048DICKS","Boulanger Pro",
"53180722000011",,"C048DIGCOM","Boulanger Pro","csaintonge@vente-privee.com"
"17350120600010",,"C048DISPR","Boulanger Pro","sebastien.pillot@justice.fr"
"51909934500026",,"C048DISPRO","Boulanger Pro","SLOUCHET@PGAMOTORS.COM"
"44160032700056",,"C048GOURM","Boulanger Pro",
"40331969200022",,"C048DOMAX","Boulanger Pro",
"34426061700040",,"C048ROESCH","Boulanger Pro","dominiqueroesch@sfr.fr"
"43493110100027",,"C048DOMSE","Boulanger Pro",
"35341331300019",,"C048DRTV","Boulanger Pro",
"39811107000015",,"C048DRUEZ","Boulanger Pro",
"40437129600017",,"C048DUBOIB","Boulanger Pro","vvd17@orange.fr"
"48787934800018",,"C048DUBOIS","Boulanger Pro",
"42453571400044",,"C048DUQSTE","Boulanger Pro","duquenoy-stephan@orange.fr"
"35620077400012",,"C048DURIS","Boulanger Pro","PDUCARIN@DURISOTTI.COM"
"79955146000022",,"C048DUTYFR","Boulanger Pro","al.dutyfree.seine@gmail.com"
"52118688200028",,"C048MULLE","Boulanger Pro","ebenisterie.muller@gmail.com"
"44482959200039",,"C048EKINOP","Boulanger Pro","vallain@ekinops.net"
"35257457800022",,"C048ELECT1","Boulanger Pro",
