"TYPE";"N°";"Ref Produit";"Produit principal";"Quantité";"Min";"Max";"option_incluse";"option_incluse_obligatoire";"Afficher sur le site";"Ordre";"Lignes de produits visible";"visible_sur_pdf";"Prix d'achat dont ecotaxe";"Fournisseur"
"PRODUIT PRINCIPAL";26;"28525HBG92451HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";3566,67;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";27;"28495HBG92450HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";362,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";28;"28496HBG92450HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";362,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";29;"28497HBG92450HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";362,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";30;"28498HBG92450HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";362,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";31;"28499HBG92450HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";362,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";32;"28500HBG92450HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";362,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";33;"28501HBG92450HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";362,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";34;"28502HBG92450HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";362,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";35;"28503HBG92450HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";362,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";36;"28504HBG92450HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";362,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";37;"28505HBG92450HBG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";362,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";38;"18287COP92452COP";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";250;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";39;"28530COP92452COP";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";250;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";40;"22318CHI92456CHI";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";2495,83;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";41;"28541CHI92456CHI";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";2765,83;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";42;"28542VOG92457VOG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";1254,17;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";43;"28543VOG92457VOG";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";1287,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";44;"28586OBE92463OBE";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";1328,33;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";45;"28587OBE92463OBE";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";1385;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";46;"28588OBE92463OBE";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";1347,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";47;"28589OBE92463OBE";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";1404,17;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";48;"20702RAF92474RAF";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";1908,33;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";49;"28641RAF-PACK92474RAF";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";1962,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";50;"28642RAF-PACK92474RAF";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";1962,5;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";51;"28648CHI";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";121,89;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";52;"17939LEC";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";833,33;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";53;"28652LEC91120LEC";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";1124,17;"HEXAMED MATERIEL MEDICAL"
"PRODUIT PRINCIPAL";54;"28653LEC91120LEC";"oui";1;1;1;"non";"non";"oui";10;"oui";"oui";1375;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";1;"HX-Liv-Chrono60-5-10kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";13,92;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";2;"HX-Liv-MRCI60-50-70kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";55,32;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";3;"HX-Liv-MRCI60-50-70kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";55,32;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";4;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";5;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";6;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";7;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";8;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";9;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";10;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";11;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";12;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";13;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";14;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";15;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";16;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";17;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";18;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";19;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";20;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";21;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";22;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";23;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";24;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";25;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";26;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";27;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";28;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";29;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";30;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";31;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";32;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";33;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";34;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";35;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";36;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";37;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";38;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";39;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";40;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";41;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";42;"HX-Liv-MRCI60-70-150kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";76,26;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";43;"HX-Liv-MRCI60-70-150kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";76,26;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";44;"HX-Liv-MRCI60-70-150kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";76,26;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";45;"HX-Liv-MRCI60-70-150kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";76,26;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";46;"HX-Liv-MRCI60-70-150kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";76,26;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";47;"HX-Liv-MRCI60-70-150kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";76,26;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";48;"HX-Liv-Chrono60-5-10kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";13,92;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";49;"HX-Liv-Chrono60-5-10kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";13,92;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";50;"HX-Liv-Chrono60-5-10kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";13,92;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";51;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";52;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";53;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"LIVRAISON";54;"HX-Liv-Chrono60-0-5kg";"non";1;1;1;"non";"non";"oui";30;"oui";"oui";9,82;"HEXAMED MATERIEL MEDICAL"
"FRAIS";2;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";3;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";5;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";6;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";7;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";8;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";9;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";10;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";11;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";12;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";13;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";14;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";15;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";16;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";17;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";18;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";19;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";20;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";21;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";22;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";23;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";24;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";25;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";26;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";27;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";28;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";29;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";30;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";31;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";32;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";33;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";34;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";35;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";36;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";37;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";40;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";41;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";42;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";43;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";44;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";45;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";46;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";47;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";48;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";49;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";50;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";52;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";53;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
"FRAIS";54;"Frais60";"non";1;1;1;"non";"non";"non";9999;"non";"non";35;"CLEODIS"
