ref;fournisseur;site_associe;designation;Prix achat dont ecotaxe;loyer;description;url_image
15222IDM;HEXAMED MATERIEL MEDICAL;hexamed;Appui-tête pour divan d'examen Promotal avec sellerie anatomique uniquement;179,17;3,72;"<p><strong>Appui-tête fixe Promotal.</strong></p><p><span style=""color: #333333;""><strong>Compatible uniquement avec les divans équipés d'une <span style=""color: #ff0000;"">sellerie anatomique</span></strong></span><strong><em style=""color: #ff0000;"">.</em></strong></p><p><em style=""color: #ff0000;""><br /></em></p><p><span style=""color: #ff0000;""><em>A commander en même temps que le divan d'examen.</em></span></p>";https://www.hexamed-leasing.fr/17393-home_default/appui-tete-promotal.jpg
15223IDM;HEXAMED MATERIEL MEDICAL;hexamed;Rallonge de dossier pour divan d'examen Promotal avec sellerie plate uniquement;201,67;4,25;"<p><strong>Rallonge de dossier pour divan d'examen Promotal,</strong> pour selleries plates.</p><p>Plusieurs coloris au choix.</p><p> </p><p><span style=""color: #ff0000;""><em>Non compatible avec les selleries de type anatomique.</em></span></p>";https://www.hexamed-leasing.fr/17394-home_default/rallonge-de-dossier-promotal.jpg
15224IDM90696IDM;HEXAMED MATERIEL MEDICAL;hexamed;Porte rouleau réglable pour divan d'examen Promotal - Tête;60,58;1,39;"<p><strong>Porte rouleau réglable Promotal.</strong></p><p>Diamètre 200 mm.</p><p><strong><br /></strong></p><p><span style=""text-decoration: underline;"">Modèles au choix :</span></p><p>- 15224IDM : Côté tête : 350 à 800 mm</p><p>- 15225IDM : Côté pieds : 480 à 610 mm</p><p> </p><p><span style=""color: #ff0000;""><em>A commander en même temps que le divan.</em></span></p>";https://www.hexamed-leasing.fr/17434-home_default/porte-rouleau-reglable-promotal-cote-tete-ou-pied.jpg
15225IDM90696IDM;HEXAMED MATERIEL MEDICAL;hexamed;Porte rouleau réglable pour divan d'examen Promotal - Pieds;35,01;0,88;"<p><strong>Porte rouleau réglable Promotal.</strong></p><p>Diamètre 200 mm.</p><p><strong><br /></strong></p><p><span style=""text-decoration: underline;"">Modèles au choix :</span></p><p>- 15224IDM : Côté tête : 350 à 800 mm</p><p>- 15225IDM : Côté pieds : 480 à 610 mm</p><p> </p><p><span style=""color: #ff0000;""><em>A commander en même temps que le divan.</em></span></p>";https://www.hexamed-leasing.fr/17434-home_default/porte-rouleau-reglable-promotal-cote-tete-ou-pied.jpg
15226IDM;HEXAMED MATERIEL MEDICAL;hexamed;Bac plastique avec tuyau d'écoulement pour divan d'examen Promotal Duolys;212,5;4,38;"<p><strong>Bac en plastique</strong> (6 litres) <strong>sur rail avec tuyau d’écoulement</strong> (150 cm).</p><p>Pour <strong>divan Promotal Duolys</strong> uniquement.</p><p> </p><p><em>Grille anti-éclaboussure non incluse, disponible en option (voir onglet ""Accessoires"").</em></p>";https://www.hexamed-leasing.fr/17276-home_default/bac-plastique-avec-tuyau-d-ecoulement-promotal.jpg
15228IDM;HEXAMED MATERIEL MEDICAL;hexamed;Goeppels pour fauteuils Promotal Ambeo, Elansa et divan Promotal Duolys;379,17;7,66;"<p><strong>Goeppels pour fauteuils Promotal Ambeo et Elansa et divan Promotal Duolys</strong>.</p><p><span style=""line-height: 1.5em;""><br /></span></p><p><span style=""line-height: 1.5em;""><span style=""text-decoration: underline;"">Conditionnement :</span> la paire.</span></p>";https://www.hexamed-leasing.fr/17277-home_default/paire-de-goeppels-promotal.jpg
15232IDM90699IDM;HEXAMED MATERIEL MEDICAL;hexamed;Paire de rails avec étaux pour divan Promotal Duolys - 2061-78;246,67;5,05;"<p><strong>Paire de rails 25 x 10 pour divan Duolys Promotal.</strong></p><p><strong></strong>Avec étaux diamètre 16 mm à 18 mm.</p><p> </p><p><span style=""text-decoration: underline;"">Modèles au choix :</span></p><p>- 2061-78 : Pour divan Duolys 2060-10, 2060-30, 2064-10 et 2064-30 (remplace les étaux)</p><p>- 2065-78 : Pour divan Duolys 2065-10 et 2065-30</p>";https://www.hexamed-leasing.fr/17279-home_default/paire-de-rails-avec-etaux-diam-16-a-18mm-promotal.jpg
15233IDM90699IDM;HEXAMED MATERIEL MEDICAL;hexamed;Paire de rails avec étaux pour divan Promotal Duolys - 2065-78;342,5;6,94;"<p><strong>Paire de rails 25 x 10 pour divan Duolys Promotal.</strong></p><p><strong></strong>Avec étaux diamètre 16 mm à 18 mm.</p><p> </p><p><span style=""text-decoration: underline;"">Modèles au choix :</span></p><p>- 2061-78 : Pour divan Duolys 2060-10, 2060-30, 2064-10 et 2064-30 (remplace les étaux)</p><p>- 2065-78 : Pour divan Duolys 2065-10 et 2065-30</p>";https://www.hexamed-leasing.fr/17279-home_default/paire-de-rails-avec-etaux-diam-16-a-18mm-promotal.jpg
15235IDM90700IDM;HEXAMED MATERIEL MEDICAL;hexamed;Divan d'examen mixte électrique Promotal Duolys (3 moteurs) - Roulettes, étriers sur étaux;3200;65,29;"<p style=""text-align:left;""><span style=""line-height:1.5em;"">Le </span><strong style=""line-height:1.5em;"">DUOLYS</strong><span style=""line-height:1.5em;""> est un divan réglable à hauteur variable.</span></p>
<p style=""text-align:justify;"">C'est un divan d'examen<strong> polyvalent</strong> pour tout praticien, qui convient aussi bien à la gente féminine que masculine, ce divan d'examen réglable électriquement <strong>DUOLYS</strong> bénéficie d'une <strong>qualité</strong> remarquable.</p>
<p style=""text-align:justify;"">Réglable facilement et sans effort en hauteur, de 49 à 95 cm, avec une <strong>commande manuelle</strong>, ce divan professionnel pour médecins généralistes ou spécialistes en gynécologie, est conçu avec une<strong> structure en acier solide et fiable</strong>. Les possibilités de réglages indépendants des 2 dossiers sont multiples avec une inclinaison au choix jusqu'à 105°.</p>
<p style=""text-align:justify;"">La position de travail du praticien est ainsi améliorée ainsi que le <strong>confort</strong> du patient, avec une capacité de charge pouvant atteindre 200kg.</p>
<p style=""text-align:justify;"">La sécurité est ainsi maximale et la conception d'une <strong>robustesse absolue</strong>. La stabilité éprouvée du divan d'examen électrique mixte <strong>DUOLYS</strong> est assurée par une cinématique à 2 bras, et les nombreux réglages, selon le gabarit du patient, peuvent être optimisés facilement avec une fonction proclive et declive qui permet d'incliner ou de décliner le divan à volonté de 19° de chaque côté, pour une position de travail adéquate.</p>
<p style=""text-align:justify;"">Les 2 dossiers du divan d'examen mixte réglable électriquement <strong>DUOLYS</strong> sont inclinables de même que le dossier extérieur qui est également réglable par un double vérin à gaz. Le dossier central est lui aussi inclinable de + 110° pour un confort appréciable et moins d'effort pour le praticien.</p>
<p style=""text-align:justify;"">La sellerie d'assise est dépourvue de couture pour des finitions haut de gamme et le revêtement étanche, est garanti anti-feu pour plus de sécurité. Un système Block'n Roll disponible sur certains modèles de la gamme <strong>DUOLYS</strong> permet d'intégrer des roulettes escamotables pour déplacer le divan d'examen plus aisément et sans effort.</p>
<p style=""text-align:justify;"">De même, <strong>3 moteurs</strong> assurent les fonctions d'élévation, proclive et declive, grâce à une commande manuelle. La technologie développée par le constructeur est ainsi garantie pour des produits professionnels de qualité, adaptés à tous les spécialistes pour équiper leurs cabinets.</p>
<p style=""text-align:justify;"">2 supports rouleau papier sont intégrés au divan d'examen mixte <strong>DUOLYS</strong>, de même qu'un bac amovible sur rail en plastique d'une capacité de 6L. La sellerie de 73cm est d'une largeur idéale pour un examen confortable, et est traitée avec une protection antibactérienne pour une hygiène optimale. Les renforts latéraux composés de mousse assurent un maintien ferme et agréable pour le patient, et un espace de 12cm de dégagement au sol est prévu pour le passage d'un lève-malade.</p>
<p style=""text-align:left;""> </p>
<p><span style=""text-decoration:underline;"">Modèles au choix :</span></p>
<p>- Réf 15238IDM : patins, étriers intégrés escamotables</p>
<p>- Réf 15239IDM : roulettes, étriers intégrés escamotables</p>
<p>- Réf 15235IDM : roulettes, étriers sur étaux</p>
<p>- Réf 15237IDM : roulettes, appui-jambes sur étaux<br /><br /></p>
<p><em>Informations sur la garantie Standard : En cas de panne ou de problème durant la période de garantie, les frais de transport du matériel jusqu'au SAV du fabricant ou de déplacement d’un technicien sont à la charge du client. Seules les pièces et la main d’oeuvre sont prises en charge par la garantie fabricant.</em></p>
<p></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""> ________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;""><span style=""color:#ff0000;text-decoration:underline;"">Transport du mobilier :</span></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour toute livraison en RDC merci d'ajouter une des deux prestations de la fiche référence 91336RES.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">  ________________________________________________________________________________________________________________</span></p>
<div></div>";https://www.hexamed-leasing.fr/19590-home_default/divan-d-examen-electrique-mixte-duolys-promotal.jpg
15235IDM-BIGDEAL90700IDM-BIGDEAL;HEXAMED MATERIEL MEDICAL;hexamed;Divan d'examen mixte Promotal Duolys électrique (3 moteurs)  + 1 tabouret offert - BIG DEAL - Roulettes, étriers sur étaux;3200;65,29;"<p align=""center""><span style=""color:#ffffff;background-color:#f5092f;font-size:12pt;""><strong><strong>     Offre spéciale BIG DEAL j<strong><strong>usqu'au 27/11/2020<strong> <strong><strong>     </strong></strong></strong></strong></strong></strong></strong></span></p>
<p align=""center""></p>
<p style=""text-align:left;""><span style=""line-height:1.5em;"">Le </span><strong style=""line-height:1.5em;"">DUOLYS</strong><span style=""line-height:1.5em;""> est un divan réglable à hauteur variable.</span></p>
<p style=""text-align:justify;"">C'est un divan d'examen<strong> polyvalent</strong> pour tout praticien, qui convient aussi bien à la gente féminine que masculine, ce divan d'examen réglable électriquement <strong>DUOLYS</strong> bénéficie d'une <strong>qualité</strong> remarquable.</p>
<p style=""text-align:justify;"">Réglable facilement et sans effort en hauteur, de 49 à 95 cm, avec une <strong>commande manuelle</strong>, ce divan professionnel pour médecins généralistes ou spécialistes en gynécologie, est conçu avec une<strong> structure en acier solide et fiable</strong>. Les possibilités de réglages indépendants des 2 dossiers sont multiples avec une inclinaison au choix jusqu'à 105°.</p>
<p style=""text-align:justify;"">La position de travail du praticien est ainsi améliorée ainsi que le <strong>confort</strong> du patient, avec une capacité de charge pouvant atteindre 200kg.</p>
<p style=""text-align:justify;"">La sécurité est ainsi maximale et la conception d'une <strong>robustesse absolue</strong>. La stabilité éprouvée du divan d'examen électrique mixte <strong>DUOLYS</strong> est assurée par une cinématique à 2 bras, et les nombreux réglages, selon le gabarit du patient, peuvent être optimisés facilement avec une fonction proclive et declive qui permet d'incliner ou de décliner le divan à volonté de 19° de chaque côté, pour une position de travail adéquate.</p>
<p style=""text-align:justify;"">Les 2 dossiers du divan d'examen mixte réglable électriquement <strong>DUOLYS</strong> sont inclinables de même que le dossier extérieur qui est également réglable par un double vérin à gaz. Le dossier central est lui aussi inclinable de + 110° pour un confort appréciable et moins d'effort pour le praticien.</p>
<p style=""text-align:justify;"">La sellerie d'assise est dépourvue de couture pour des finitions haut de gamme et le revêtement étanche, est garanti anti-feu pour plus de sécurité. Un système Block'n Roll disponible sur certains modèles de la gamme <strong>DUOLYS</strong> permet d'intégrer des roulettes escamotables pour déplacer le divan d'examen plus aisément et sans effort.</p>
<p style=""text-align:justify;"">De même, <strong>3 moteurs</strong> assurent les fonctions d'élévation, proclive et declive, grâce à une commande manuelle. La technologie développée par le constructeur est ainsi garantie pour des produits professionnels de qualité, adaptés à tous les spécialistes pour équiper leurs cabinets.</p>
<p style=""text-align:justify;"">2 supports rouleau papier sont intégrés au divan d'examen mixte <strong>DUOLYS</strong>, de même qu'un bac amovible sur rail en plastique d'une capacité de 6L. La sellerie de 73cm est d'une largeur idéale pour un examen confortable, et est traitée avec une protection antibactérienne pour une hygiène optimale. Les renforts latéraux composés de mousse assurent un maintien ferme et agréable pour le patient, et un espace de 12cm de dégagement au sol est prévu pour le passage d'un lève-malade.</p>
<p style=""text-align:left;""><span style=""line-height:1.5em;""> </span></p>
<p><span style=""text-decoration:underline;"">Modèles au choix :</span></p>
<p>- Réf 15238IDM : patins, étriers intégrés escamotables</p>
<p>- Réf 15239IDM : roulettes, étriers intégrés escamotables</p>
<p>- Réf 15235IDM : roulettes, étriers sur étaux</p>
<p>- Réf 15237IDM : roulettes, appui-jambes sur étaux</p>
<p> </p>
<p><em>Garantie : 2 ans pour le châssis, 1 an pour la sellerie (sauf mauvais usage).<br />Informations sur la garantie Standard : En cas de panne ou de problème durant la période de garantie, les frais de transport du matériel jusqu'au SAV du fabricant ou de déplacement d’un technicien sont à la charge du client. Seules les pièces et la main d’oeuvre sont prises en charge par la garantie fabricant.<br /></em></p>
<p> </p>
<p style=""text-align:center;""><span style=""color:#ff0000;""> ________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;""><span style=""color:#ff0000;text-decoration:underline;"">Transport du mobilier :</span></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour toute livraison en RDC merci d'ajouter une des deux prestations de la fiche référence 91336RES.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">  ________________________________________________________________________________________________________________</span></p>
<div></div>";https://www.hexamed-leasing.fr/29864-home_default/divan-d-examen-electrique-mixte-duolys-promotal.jpg
15237IDM90700IDM;HEXAMED MATERIEL MEDICAL;hexamed;Divan d'examen mixte électrique Promotal Duolys (3 moteurs) - Roulettes, appui-jambes sur étaux;3375;68,74;"<p style=""text-align:left;""><span style=""line-height:1.5em;"">Le </span><strong style=""line-height:1.5em;"">DUOLYS</strong><span style=""line-height:1.5em;""> est un divan réglable à hauteur variable.</span></p>
<p style=""text-align:justify;"">C'est un divan d'examen<strong> polyvalent</strong> pour tout praticien, qui convient aussi bien à la gente féminine que masculine, ce divan d'examen réglable électriquement <strong>DUOLYS</strong> bénéficie d'une <strong>qualité</strong> remarquable.</p>
<p style=""text-align:justify;"">Réglable facilement et sans effort en hauteur, de 49 à 95 cm, avec une <strong>commande manuelle</strong>, ce divan professionnel pour médecins généralistes ou spécialistes en gynécologie, est conçu avec une<strong> structure en acier solide et fiable</strong>. Les possibilités de réglages indépendants des 2 dossiers sont multiples avec une inclinaison au choix jusqu'à 105°.</p>
<p style=""text-align:justify;"">La position de travail du praticien est ainsi améliorée ainsi que le <strong>confort</strong> du patient, avec une capacité de charge pouvant atteindre 200kg.</p>
<p style=""text-align:justify;"">La sécurité est ainsi maximale et la conception d'une <strong>robustesse absolue</strong>. La stabilité éprouvée du divan d'examen électrique mixte <strong>DUOLYS</strong> est assurée par une cinématique à 2 bras, et les nombreux réglages, selon le gabarit du patient, peuvent être optimisés facilement avec une fonction proclive et declive qui permet d'incliner ou de décliner le divan à volonté de 19° de chaque côté, pour une position de travail adéquate.</p>
<p style=""text-align:justify;"">Les 2 dossiers du divan d'examen mixte réglable électriquement <strong>DUOLYS</strong> sont inclinables de même que le dossier extérieur qui est également réglable par un double vérin à gaz. Le dossier central est lui aussi inclinable de + 110° pour un confort appréciable et moins d'effort pour le praticien.</p>
<p style=""text-align:justify;"">La sellerie d'assise est dépourvue de couture pour des finitions haut de gamme et le revêtement étanche, est garanti anti-feu pour plus de sécurité. Un système Block'n Roll disponible sur certains modèles de la gamme <strong>DUOLYS</strong> permet d'intégrer des roulettes escamotables pour déplacer le divan d'examen plus aisément et sans effort.</p>
<p style=""text-align:justify;"">De même, <strong>3 moteurs</strong> assurent les fonctions d'élévation, proclive et declive, grâce à une commande manuelle. La technologie développée par le constructeur est ainsi garantie pour des produits professionnels de qualité, adaptés à tous les spécialistes pour équiper leurs cabinets.</p>
<p style=""text-align:justify;"">2 supports rouleau papier sont intégrés au divan d'examen mixte <strong>DUOLYS</strong>, de même qu'un bac amovible sur rail en plastique d'une capacité de 6L. La sellerie de 73cm est d'une largeur idéale pour un examen confortable, et est traitée avec une protection antibactérienne pour une hygiène optimale. Les renforts latéraux composés de mousse assurent un maintien ferme et agréable pour le patient, et un espace de 12cm de dégagement au sol est prévu pour le passage d'un lève-malade.</p>
<p style=""text-align:left;""> </p>
<p><span style=""text-decoration:underline;"">Modèles au choix :</span></p>
<p>- Réf 15238IDM : patins, étriers intégrés escamotables</p>
<p>- Réf 15239IDM : roulettes, étriers intégrés escamotables</p>
<p>- Réf 15235IDM : roulettes, étriers sur étaux</p>
<p>- Réf 15237IDM : roulettes, appui-jambes sur étaux<br /><br /></p>
<p><em>Informations sur la garantie Standard : En cas de panne ou de problème durant la période de garantie, les frais de transport du matériel jusqu'au SAV du fabricant ou de déplacement d’un technicien sont à la charge du client. Seules les pièces et la main d’oeuvre sont prises en charge par la garantie fabricant.</em></p>
<p></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""> ________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;""><span style=""color:#ff0000;text-decoration:underline;"">Transport du mobilier :</span></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour toute livraison en RDC merci d'ajouter une des deux prestations de la fiche référence 91336RES.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">  ________________________________________________________________________________________________________________</span></p>
<div></div>";https://www.hexamed-leasing.fr/19590-home_default/divan-d-examen-electrique-mixte-duolys-promotal.jpg
15237IDM-BIGDEAL90700IDM-BIGDEAL;HEXAMED MATERIEL MEDICAL;hexamed;Divan d'examen mixte Promotal Duolys électrique (3 moteurs)  + 1 tabouret offert - BIG DEAL - Roulettes, appui-jambes sur étaux;3375;68,74;"<p align=""center""><span style=""color:#ffffff;background-color:#f5092f;font-size:12pt;""><strong><strong>     Offre spéciale BIG DEAL j<strong><strong>usqu'au 27/11/2020<strong> <strong><strong>     </strong></strong></strong></strong></strong></strong></strong></span></p>
<p align=""center""></p>
<p style=""text-align:left;""><span style=""line-height:1.5em;"">Le </span><strong style=""line-height:1.5em;"">DUOLYS</strong><span style=""line-height:1.5em;""> est un divan réglable à hauteur variable.</span></p>
<p style=""text-align:justify;"">C'est un divan d'examen<strong> polyvalent</strong> pour tout praticien, qui convient aussi bien à la gente féminine que masculine, ce divan d'examen réglable électriquement <strong>DUOLYS</strong> bénéficie d'une <strong>qualité</strong> remarquable.</p>
<p style=""text-align:justify;"">Réglable facilement et sans effort en hauteur, de 49 à 95 cm, avec une <strong>commande manuelle</strong>, ce divan professionnel pour médecins généralistes ou spécialistes en gynécologie, est conçu avec une<strong> structure en acier solide et fiable</strong>. Les possibilités de réglages indépendants des 2 dossiers sont multiples avec une inclinaison au choix jusqu'à 105°.</p>
<p style=""text-align:justify;"">La position de travail du praticien est ainsi améliorée ainsi que le <strong>confort</strong> du patient, avec une capacité de charge pouvant atteindre 200kg.</p>
<p style=""text-align:justify;"">La sécurité est ainsi maximale et la conception d'une <strong>robustesse absolue</strong>. La stabilité éprouvée du divan d'examen électrique mixte <strong>DUOLYS</strong> est assurée par une cinématique à 2 bras, et les nombreux réglages, selon le gabarit du patient, peuvent être optimisés facilement avec une fonction proclive et declive qui permet d'incliner ou de décliner le divan à volonté de 19° de chaque côté, pour une position de travail adéquate.</p>
<p style=""text-align:justify;"">Les 2 dossiers du divan d'examen mixte réglable électriquement <strong>DUOLYS</strong> sont inclinables de même que le dossier extérieur qui est également réglable par un double vérin à gaz. Le dossier central est lui aussi inclinable de + 110° pour un confort appréciable et moins d'effort pour le praticien.</p>
<p style=""text-align:justify;"">La sellerie d'assise est dépourvue de couture pour des finitions haut de gamme et le revêtement étanche, est garanti anti-feu pour plus de sécurité. Un système Block'n Roll disponible sur certains modèles de la gamme <strong>DUOLYS</strong> permet d'intégrer des roulettes escamotables pour déplacer le divan d'examen plus aisément et sans effort.</p>
<p style=""text-align:justify;"">De même, <strong>3 moteurs</strong> assurent les fonctions d'élévation, proclive et declive, grâce à une commande manuelle. La technologie développée par le constructeur est ainsi garantie pour des produits professionnels de qualité, adaptés à tous les spécialistes pour équiper leurs cabinets.</p>
<p style=""text-align:justify;"">2 supports rouleau papier sont intégrés au divan d'examen mixte <strong>DUOLYS</strong>, de même qu'un bac amovible sur rail en plastique d'une capacité de 6L. La sellerie de 73cm est d'une largeur idéale pour un examen confortable, et est traitée avec une protection antibactérienne pour une hygiène optimale. Les renforts latéraux composés de mousse assurent un maintien ferme et agréable pour le patient, et un espace de 12cm de dégagement au sol est prévu pour le passage d'un lève-malade.</p>
<p style=""text-align:left;""><span style=""line-height:1.5em;""> </span></p>
<p><span style=""text-decoration:underline;"">Modèles au choix :</span></p>
<p>- Réf 15238IDM : patins, étriers intégrés escamotables</p>
<p>- Réf 15239IDM : roulettes, étriers intégrés escamotables</p>
<p>- Réf 15235IDM : roulettes, étriers sur étaux</p>
<p>- Réf 15237IDM : roulettes, appui-jambes sur étaux</p>
<p> </p>
<p><em>Garantie : 2 ans pour le châssis, 1 an pour la sellerie (sauf mauvais usage).<br />Informations sur la garantie Standard : En cas de panne ou de problème durant la période de garantie, les frais de transport du matériel jusqu'au SAV du fabricant ou de déplacement d’un technicien sont à la charge du client. Seules les pièces et la main d’oeuvre sont prises en charge par la garantie fabricant.<br /></em></p>
<p> </p>
<p style=""text-align:center;""><span style=""color:#ff0000;""> ________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;""><span style=""color:#ff0000;text-decoration:underline;"">Transport du mobilier :</span></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour toute livraison en RDC merci d'ajouter une des deux prestations de la fiche référence 91336RES.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">  ________________________________________________________________________________________________________________</span></p>
<div></div>";https://www.hexamed-leasing.fr/29864-home_default/divan-d-examen-electrique-mixte-duolys-promotal.jpg
15238IDM90700IDM;HEXAMED MATERIEL MEDICAL;hexamed;Divan d'examen mixte électrique Promotal Duolys (3 moteurs) - Patins, étriers intégrés;2983,33;61,03;"<p style=""text-align:left;""><span style=""line-height:1.5em;"">Le </span><strong style=""line-height:1.5em;"">DUOLYS</strong><span style=""line-height:1.5em;""> est un divan réglable à hauteur variable.</span></p>
<p style=""text-align:justify;"">C'est un divan d'examen<strong> polyvalent</strong> pour tout praticien, qui convient aussi bien à la gente féminine que masculine, ce divan d'examen réglable électriquement <strong>DUOLYS</strong> bénéficie d'une <strong>qualité</strong> remarquable.</p>
<p style=""text-align:justify;"">Réglable facilement et sans effort en hauteur, de 49 à 95 cm, avec une <strong>commande manuelle</strong>, ce divan professionnel pour médecins généralistes ou spécialistes en gynécologie, est conçu avec une<strong> structure en acier solide et fiable</strong>. Les possibilités de réglages indépendants des 2 dossiers sont multiples avec une inclinaison au choix jusqu'à 105°.</p>
<p style=""text-align:justify;"">La position de travail du praticien est ainsi améliorée ainsi que le <strong>confort</strong> du patient, avec une capacité de charge pouvant atteindre 200kg.</p>
<p style=""text-align:justify;"">La sécurité est ainsi maximale et la conception d'une <strong>robustesse absolue</strong>. La stabilité éprouvée du divan d'examen électrique mixte <strong>DUOLYS</strong> est assurée par une cinématique à 2 bras, et les nombreux réglages, selon le gabarit du patient, peuvent être optimisés facilement avec une fonction proclive et declive qui permet d'incliner ou de décliner le divan à volonté de 19° de chaque côté, pour une position de travail adéquate.</p>
<p style=""text-align:justify;"">Les 2 dossiers du divan d'examen mixte réglable électriquement <strong>DUOLYS</strong> sont inclinables de même que le dossier extérieur qui est également réglable par un double vérin à gaz. Le dossier central est lui aussi inclinable de + 110° pour un confort appréciable et moins d'effort pour le praticien.</p>
<p style=""text-align:justify;"">La sellerie d'assise est dépourvue de couture pour des finitions haut de gamme et le revêtement étanche, est garanti anti-feu pour plus de sécurité. Un système Block'n Roll disponible sur certains modèles de la gamme <strong>DUOLYS</strong> permet d'intégrer des roulettes escamotables pour déplacer le divan d'examen plus aisément et sans effort.</p>
<p style=""text-align:justify;"">De même, <strong>3 moteurs</strong> assurent les fonctions d'élévation, proclive et declive, grâce à une commande manuelle. La technologie développée par le constructeur est ainsi garantie pour des produits professionnels de qualité, adaptés à tous les spécialistes pour équiper leurs cabinets.</p>
<p style=""text-align:justify;"">2 supports rouleau papier sont intégrés au divan d'examen mixte <strong>DUOLYS</strong>, de même qu'un bac amovible sur rail en plastique d'une capacité de 6L. La sellerie de 73cm est d'une largeur idéale pour un examen confortable, et est traitée avec une protection antibactérienne pour une hygiène optimale. Les renforts latéraux composés de mousse assurent un maintien ferme et agréable pour le patient, et un espace de 12cm de dégagement au sol est prévu pour le passage d'un lève-malade.</p>
<p style=""text-align:left;""> </p>
<p><span style=""text-decoration:underline;"">Modèles au choix :</span></p>
<p>- Réf 15238IDM : patins, étriers intégrés escamotables</p>
<p>- Réf 15239IDM : roulettes, étriers intégrés escamotables</p>
<p>- Réf 15235IDM : roulettes, étriers sur étaux</p>
<p>- Réf 15237IDM : roulettes, appui-jambes sur étaux<br /><br /></p>
<p><em>Informations sur la garantie Standard : En cas de panne ou de problème durant la période de garantie, les frais de transport du matériel jusqu'au SAV du fabricant ou de déplacement d’un technicien sont à la charge du client. Seules les pièces et la main d’oeuvre sont prises en charge par la garantie fabricant.</em></p>
<p></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""> ________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;""><span style=""color:#ff0000;text-decoration:underline;"">Transport du mobilier :</span></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour toute livraison en RDC merci d'ajouter une des deux prestations de la fiche référence 91336RES.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">  ________________________________________________________________________________________________________________</span></p>
<div></div>";https://www.hexamed-leasing.fr/19590-home_default/divan-d-examen-electrique-mixte-duolys-promotal.jpg
