Code NAF,Raison Sociale,Groupe,Adresse,Code Postal,Ville,Tel Standard,Secteurs,Type,Observations
,ADDITEAM,, 3 Avenue Créativité ,59650,Villeneuve d'Ascq,+33 3 20 71 07 07,Services - Conseil|,prospect ,
,ADEO SERVICES,,Rue Chanzy - Lezennes _x000D_,59712,,0359315300,Centrales d’Achat|Distribution/,prospect ,Rencontré en avril 2010_x000D_A relancer régulièrement en fonction des besoins.
,AFG,,"8, Rue du Docteur Ducrocquet",59700,Marcq en Baroeul,+33 3 20 98 08 43,SSII|Services - Conseil/,prospect ,"Recrute un Ingénieur d'Etude Décisionnel H/F, un Ingénieur Etudes J2EE H/F et un Ingénieur Etudes .Net H/F  14/03/2011"
,AGENCE DE PAPIERS DE PRESSE,,7 RUE LADRIE,59290,Wasquehal,+33 3 28 33 75 50,,prospect ,17/05/11 : eu melle charpentier au tel - fait un recrutement en dbt 2011 et RAS avant 2012._x000D_a rappeller en fin d'année pour suivi activité
,AJILON IT CONSULTING,,Parc de la Haute Borne 1 r Héloïse BP 20473 59658 VILLENEUVE D ASCQ CEDEX ,,VILLENEUVE D ASCQ,03 20 19 76 76,Services - Conseil|,prospect ,INGENIEUR SYSTEME UNIX LINUX H/F _x000D_INGENIEUR SYSTEME WINDOWS H/F_x000D_DBA ORACLE H/F_x000D_ADMINISTRATEUR SYSTEME LINUX H/F_x000D_ANALYSTE EXPLOITATION H/F
,AKANTIS,,Parc d'activité les peupliers,59420,Mouvaux,+33 3 28 38 81 90,,prospect ,
,ALATAVIA,,,59000,Lille,,Marketing|Services - Conseil/,prospect ,Pas de budget pour recrutement
,ALEO INDUSTRIE,,ZA de salomé - rue de la republique,59496,Salome,,,prospect ,
,ALKERN,,Siége Social_x000D_ZI Parc de la Motte au Bois_x000D_Rue André Bigotte - BP 59_x000D_62440 Harnes,,62440 Harnes,+33 3 21 79 34 30,Matériaux de construction|BTP - Construction/,prospect ,TECHNICO COMMERCIAL - PRESCRIPTION H/F_x000D_ACHETEUR Débutant H/F_x000D__x000D_Jamais de cabinet de recrutement. décision groupe.
,ALPHA MOBILE SYSTEM,,,59700,Marcq en Baroeul,+33 3 28 34 25 00,,prospect ,MR ET MME aeck = GERANT
7010Z,ALSTOM POWER SERVICE,,rue de berzin_x000D_CRT 2,59818,LESQUIN,+33 3 20 87 22 37,Electricité-Eclairage|Industrie/,prospect ,"*Alstom, un des leaders mondiaux dans les infrastructures de transport ferroviaire, de production et de transmission d'électricité.  _x000D__x000D_16/05/11 : contact standard : c'est le siège à Courneuve qui s'occupe des rh, 01 49 92 45 67_x000D_27/05/11 : contact Mme TOUILLET, m'explique que c'est  Mr LEROYER qui s'occupe de la cellule recrutements et partenaires, travail avec des cabR et agence interim_x000D_direct :  01 49 92 49 53, portable : 06 85 76 03 81, thierry.leroyer@power.alstom.com_x000D_env mail > rel_x000D_31/05/11 : mail de Mr LEROYER : travail déja avec des cabR, mais nous il nous référence. > relancer fin d'année_x000D_24/01/12 : renv mail"
,ALTAO,,,59800,Lille,0320065044,Compagnies d’Assurances-Courtiers|Banque - Finance - Assurance/,prospect ,Recrutement réguliers de consultants et de medecins mais pas besoin d'externaliser.
,ALTEN,,4 Avenue Horizon_x000D__x000D_,59650,Villeneuve d'Ascq,+33 3 20 30 25 25,Ingénierie-Bureau d’Etudes|Services - Conseil/,prospect ,"_x000D_20/05/11 : contact Mme PEDREIRA drh :  font rarrement appel à des cabR, propre service rh, des évènements recrutements à venir, dans le rouge jusqu’à la fin du mois, doit quitter le groupe_x000D__x000D__x000D_"
,ALTIMA,,33 rue Dupleix_x000D__x000D_,59100,Roubaix,+33 3 28 33 08 30,Internet-Télécommunications|Services - Conseil/,prospect ,"http://www.nordjob.com/entreprise/4249/Altima.htm_x000D__x000D_26/05/11 : c'est Mme FORGER qui s'occupe des rh, env mail mforget@altima.fr > rel_x000D_26/05/11 : ne passe pas par des cabR, partageait les locaux avec nous"
,AMAZONE SERVICES,,5 RUE DU COLIBRI,59650,Villeneuve d'Ascq,+33 3 20 82 46 71,Nettoyage industriel-Sécurité|Services - Conseil/,prospect ,"Nord entreprendre promotion 2003_x000D_""ce sont les personnes qui font les fonctions , et pas l'inverse"" -"
,AMMEUX FRANCE,,Lieudit la Gare  ,59470,Esquelbecq,+33 3 28 65 98 30,Négoce-Commerce de gros industriel|Distribution/,prospect ,Travaille exclusivement avec Leader intérim sur Hazebrouck. Essayer de la rappeler pour l'avoir en ligne directement.
,ANSITIC SYSTEMS,,RUE DES FAMARDS _x000D_,59812,,03 20 87 66 96,Industrie|,prospect ,
,APROLIS,,rue de Gamand_x000D_CRT 1,59817,Lesquin,+33 3 59 22 90 01,Location Véhicules-Divers|Services - Conseil/,prospect ,"loueur de matériels de manutention (chariots élévateurs..)_x000D_groupe national_x000D_recrute dans d'autres departements _x000D__x000D_09/05/11 : appellé au 01 43 99 89 00 > me dit qu'il ne prenne pas les appels entrant sur Lesquin._x000D_ Me donne un Nom + @ : corinne.villers@aprolis.com_x000D_16/05/11 : contact stand : md VILLèRS ne prends pas les appels entrant, revoie mail_x000D_18/05/11 : contact stand : md VILLèrS ne prends pas les appels entrant, revoie mail_x000D_> env mail tous les 3 jour"
,APSIDE NORD,,,,Lille,03 20 79 83 30,SSII|Services - Conseil/,prospect ,CONSULTANT AMOA  H/F _x000D_CHEF DE PROJET / CONSULTANT EN ORGANISATION H/F _x000D_NGENIEUR D'ETUDES DECISIONNEL H/F _x000D_ANALYSTE PROGRAMMEUR MAINFRAME H/F
,AQUILAB,,"407 rue Salvador Allende, ",59120,Loos,+33 3 69 61 51 51,Services - Conseil|,prospect ,"* développe et commercialise ses solutions logicielles sur les marchés français et internationaux_x000D_* http://www.aquilab.com/fr/recrutement_x000D__x000D_05/07/11 : Mr BOUREL(rh) : Recrutement interne , aucunes diificultés,env mail : philippe.bourel@aquilab.com > rel fin d'année pour voir si c'est toujours vrai _x000D_01/12/11 : Mme BLOCK assitante rh : les recrutement sur 2012 sont gelés_x000D_05/04/12: mme block est en rdv, la rappeler à partir du 10/04_x000D_12/04/12: pas de rec en 2012, tt est gelé, relancer fin 2012"
,ARCELORMITTAL,,rue des famards_x000D_Fretin CRT 1,59818,LESQUIN,+33 3 20 00 78 20,Métallurgie-Sidérurgie|Industrie/,prospect ,"fabrication de produits (lamelles,poutres..) à base d'acier et d'aluminium_x000D_effectif de 11 à 20_x000D__x000D_10/05/11 : contact standard : c'est le siège qui gère tous 03 26 84 65 65_x000D_10/05/11 : le siège me donne un contact sur Lille : Mr PLANCQ nicolas.plancq@arcelormittal.com_x000D_10/05/11 : Mr PLANCQ : la conjucture économique fait qu'il  ne sont pas en période de recrutement, passe par des sites @ gratuits ou pole emploi + agence interim pour ouvriers, intéressé d'avoir nos coordonnées. Bon contact"
,ARDO VIOLAINES,,,62138,Violaines,03 20 29 30 30_x000D_,,prospect ,171 personnes_x000D_rdv mr niklaszewski le 03/05/2011
,ARJO EQUIPEMENTS HOSPITALIERS,,,,RONCQ,+33 3 20 28 13 13,,prospect ,en cours de prospec
,ARJO HUNTLEIGH,,,,,0320281313,,prospect ,
,ASSONANCE,,,,,+33 3 20 28 05 05,Call Centers|Services - Conseil/,prospect ,
,ASSYSTEME,,,78180,Montigny le Bretonneux,+33 1 34 52 50 00,Conseil|Services - Conseil/~Conseil|Services - Conseil/,prospect ,"*""Assystem est un groupe international d'ingénierie et de conseil en innovation. Au cœur de l'industrie depuis plus de quarante ans, le groupe accompagne ses clients dans le développement de leurs produits et dans la maîtrise de leurs investissements industriels tout au long du cycle de vie""_x000D__x000D_http://www.nordjob.com/assystem/_x000D__x000D_8/06/11, Mme JACQ  : supervise les recrutements, ont une équipe de 50 chargés de recherche + font appel à des cabR pour des postes internatioanux et très préciS"
4672Z,ATINOX,,rue du pic au vent_x000D_Bât. CRT Espace Services CRT 1_x000D_BP 242,59812,LESQUIN,+33 3 28 16 71 40,Métallurgie-Sidérurgie|Industrie/,prospect ,"> Commerce de gros (commerce interentreprises) de minerais et métaux_x000D__x000D_maison mère = SADEL à Nazareth en Belgique. s'occupe de tous les recrutements._x000D_(Sadel nv. Industriezone ""De Prijkels E17"" Venecoweg 35 - 9810 NAZARETH - BELGIUM Tel. +32 9 381 89 10 - Fax. +32 9 380 18 42_x000D__x000D_10/05/11 : contact siège: entreprise en Belgique, 4 personne sur Lesquin, pas de besoins,_x000D_"
3312Z,ATOUT FROID,,3 rue du Mt de Terre_x000D_,59818,LESQUIN,+33 3 20 62 18 10,Services - Conseil|,prospect ," * équipements pour camions frigorifiques_x000D__x000D_19/05/11 : contact stand : DG gère plusieurs sté, vac, rel juin, Mr RILLON ?_x000D_09/06/11: injoingnable"
,AUCHAN FRANCE,,,,VILLENEUVE D ASCQ,03 28 37 69 89,Distribution|,prospect ,TRAFIC MANAGER / WEB ANALYST H/F
,AUCHAN SERIVES CENTRAUX,,200 rue de la recherche,59650,Villeneuve d'Ascq,+33 3 28 37 67 00,Distribution|,prospect ,"recrute : http://www.nordjob.com/auchan/_x000D__x000D_19/05/11 :Mme WARNIER  s'occupe du pôle support, envoyer plaquette pour être référencé, passe par des cabR pour des postes mais essaye d'internaliser au maximun > rel juillet_x000D_27/06/11 : Mme WARNIER : ne souhaite pas faire appel à d'autres cabR, contacter le pôle ""dsi"" Mme Moumbolo Inès  pour les postes info_x000D_29/06/11 : Mme MOUMBOLO : elle travaille avec un cabR juste pour les recrutements des directeurs de projets.pour le reste, tous ce fait en interne. J'envoie nos cc à Mme MOUMBOLO si elle a des urgences, imoumbolo@auchan.fr; son drh est Mr WANHERSLE._x000D_26/01/11 : Mme WARNIER : elle m'explique que c'est Mme SABI Kathy qui s'occupe des partenariats avec les cabinets de recrutement. Il ont déjà un réseaux de partenaires avec lesquels ça fonctionne très bien, me suggère de rentrer en contact avec elle. env mail csaby@auchan.fr_x000D_30/01/11 : mail de Catherine SABY qui m'explique qu'il ont déja des partenaires > rel début juin_x000D_"
,AUTOCARS SCHOONAERT,,1 Rue des Ecluses _x000D_,59143,Holque,+33 3 21 88 15 82_x000D_,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,
,AVENIR GROUP INTERNATIONAL,,"52, Parc Activité Haute Rive_x000D_59553 CUINCY",59553,Cuincy,+33 3 27 95 88 77,Mécanique-Machines Outils|Industrie/~Mécanique-Machines Outils|Industrie/,prospect ,"* acti : robotique / automate_x000D_* http://www.avenir-group.fr/_x000D__x000D_13/10/11 Mme WATIER ; s'occupe du recrutement, env mail et rel s+1, marie-noelle.watier@avenir-group.fr_x000D_17/11/11 : Mme WATIER ; travaille avec des cabR, agences interim, annonces, actuellement un cabR est missioné pour ce poste (chargé d'affaires), ne souhaite pas ouvrir à d'autres cabR, rel mi décembre pour connaîttre l'avancement_x000D_13/12/11 : Mme WATIER : intéressée par notre démarche t notre approche, mais elle n'a pas de visibilité sur les difficultés recontrés sur les recrutements, elle travaille sur CV tèque + c'est sa direction qui valide un partenariat, renv mail, rel fin janvier_x000D_26/01/12 : Mme WATIER : toujours pas de visibilité, reviendra vers moi_x000D__x000D__x000D__x000D_"
,AVEZ EMBALLAGES,,Rue des Filateurs_x000D_Parc du Beck,59150,Wattrelos,+ 33 3 20 75 03 05,Industrie|,prospect ,"*fabrication d'emballages en fer balnc_x000D__x000D__x000D_09/06/11 contact stand : travail avec un cabR, difficilement joignable, pas de recutements prévus, env mai info@avez-fr.com > rel rentrée"
,AXA BANQUE,,,,,+33 3 28 45 20 00,Compagnies d’Assurances-Courtiers|Banque - Finance - Assurance/,prospect ,
,AXECIBLES,,87 Rue du Molinel_x000D_,59700,Marcq en Baroeul,+33 3 20 75 71 68.,Services - Conseil|,prospect ,Appelé le 05/04_x000D_Pas de reponse_x000D_
4322B,AXIMA - ACTIS,,rue du Mt de Sainghin_x000D_FRETIN CRT 2_x000D_,59818,LESQUIN,+33 3 28 55 16 80,Distribution spécialisée|Distribution/,prospect ,"activité ? peu d'infos, peut être alarmes incendie, extincteurs..._x000D__x000D_11/05/11 : contact stand : me dit que c'est le siège à Nantes (siège 02 40 41 00 00 )  qui gère ou Mr DUBOIS Mikael en interne? rappeler demain_x000D_12/05/11 : contact stand lesquin :Mr DUBOIS n'est pas souvent au bureau, rap_x000D_13/05/11 : contact stand lesquin : pas dispo, env mail michael.dubois@aximaseitha-gdfsuez.com_x000D_19/05/11 : contact siège : contrat cadre"
3320B,AXIMA SEITHA GDF SUEZ,,rue du mt de Sainghin_x000D_FRETIN CRT 2,59818,LESQUIN,+33 3 20 97 60 28,Mécanique-Machines Outils|Industrie/,prospect ,"* conçoit, assemble, met en route et assure le service des installations dans les domaines d'activité suivants : Réfrigération industrielle ,Réfrigération commerciale , Production et purification de CO2 alimentaire  , Compression de gaz  , Climatisation , Cuisines professionnelles_x000D__x000D_12/05/11 : contact stand : c'est le siège qui gère 03 88 19 19 00,_x000D_12/05/11 : contact siège : il y a des rh de proximité, passe par des cab R en dernier recours, recrute souvent, Mlle FANET: directe 01 42 31 64 49_x000D_06/06/11 : contact Mlle FANET : ""vous n'ètes pas les seul à appeler, vous n'ètes pas ma priorité, je ne suis pas au bureau du mois de mai"" > ENV MAIL christelle .fanet@aximaseitha-gdfsuez.com_x000D_recrute : http://www.nordjob.com/axima/   _x000D__x000D_> rel rentrée"
,B ET R INGENIERIE,,Terre-Plein Guillain_x000D_,59140,Dunkerque,+33 3 28 09 92 01,BUREAU D ETUDES,prospect ,Appelé le12/04_x000D_Mme FACHE
,B2S,,,,,+33 3 27 32 52 00,Call Centers|Services - Conseil/,prospect ,envoyé mail - à relancer
,BAILLY COUROUBLE,,Parcles Moulins de la Lys _x000D_,59116,Houplines,+33 3 20 14 91 49,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,Recrute Affréteur Confirmé 14/03/2011
,BANQUE ACCORD,,,,LILLE,0328385800,Banque-Etablissement Financier- Crédit Bail|Banque - Finance - Assurance/,prospect ,à recontacter autour du 10/04 pour prise de rdv_x000D_eu autel en mars et planning très chargé.
,BANQUE POPULAIRE NORD,,,,BONDUES,03 66 33 36 10,Banque - Finance - Assurance|,prospect ,Directeur d'Agence Bailleul - H/F_x000D_Conseiller de Clientèle Entreprises Valenciennes H/F
,BATI CONCEPT,,10 Rue Crombions ,62840,Fleurbaix,03 21 65 62 33,BTP - Construction|,prospect ,RESPONSABLE LOGISTIQUE H/F	FLEURBAIX_x000D_COMMERCIAL MAISON INDIVIDUELLE H/F_x000D_ASSISTANT DE GESTION BTP H/F
,BAUDELET,,,,,0328439220,Energie-Environnement|Industrie/,prospect ,très peu de recrutelent en externe car qualification faibles_x000D_mauvaise experience avec Mickael Page que recrutement d'un directeur commercial_x000D_ok pour rappelller fin d'année_x000D__x000D_rendez vous le 10/02 à 09H30
,BAYER SANTE,,Parc Eurasanté 220 av Recherche ,59120,Loos,+33 3 28 16 34 00,Pharmacie-Parapharmacie-Biotechnologies|Industrie/,prospect ,
,BELLIER ET COMPAGNIE,,1000 RUE LOUIS BREGUET_x000D_62100 CALAIS,62100,Calais,+33 3 21 19 00 50,Textile-Habillement-Chaussures|Industrie/,prospect ,
,BERNARD SAS,,1 r Reckem ,59960,Neuville en Ferrain,03 20 11 55 55,,prospect ,
,BEUGIN INDUSTRIE,,,,,,,prospect ,
,BIGARD,,Val de Nievre,80420,Flixecourt,03 22 39 97 00,Distribution|,prospect ,uniquement sur candidature spontanée car appartiennent à un grand groupe_x000D_Jamais travaillé avec un cabinet de recrutement.
,BIGBEN INTERACTIVE,,Rue de la Voyette _x000D_,59818,lesquin,+33 3 20 90 72 00,Négoce-Commerce de gros industriel|Distribution/,prospect ,"Le Groupe est actuellement positionné sur quatre activités différentes :_x000D_•La conception et la vente d'accessoires pour consoles de jeu vidéo :_x000D_•La distribution exclusive de logiciels de jeu vidéo _x000D_•L'activité des Audio et Cadeaux d'entreprises, activité qui était à l'origine du Groupe _x000D_•La distribution non exclusive de consoles et logiciels de jeu vidéo (vente en gros)_x000D__x000D_Appelé le 13/05 : contact Mme GHEERARDYN resp RH, pas de besoin car peu de recutrements (il y a en a eu 2 sur 5ans), le groupe attire = pas de problème de recrutements > rel à la rentrée_x000D__x000D_28/10/11 > j'ai vu sur pole emploi que l'entreprise recruté un responsable des ventes export (  CGHEERARDYN@BIGBEN.FR) (050171U)_x000D_02/11/11 : Mme GHEERARDYN : la politique de recrutement n'a pas changé, renv mail"
,BILLARD TOULET,,37 /1 Chemin de la  Chanterelle ,59910,Bondues,+33 3 20 46 25 54,Produits de Loisirs-Jouets-Jeux|Industrie/,prospect ,Connaissance de julie deffontaine_x000D_pau de recrutement et recrute par lui même
,BIO 3G,,"3, Rue Basse Madeleine_x000D_",22230,MERDRIGNAC,+33 2 96 67 41 41,,prospect ,"> BIO3G se compose de quatre gammes de produits complémentaires inter agissant entre elles : secteur agricole_x000D__x000D_20/5/11 : contact Mme FOSSEY : recrute en interne, sous traite de temps en temps,lui  env mail > rel mi-juin_x000D_"
,BIZZBEE,,152 Avenue Alfred Motte ,59100,Roubaix,+33 3 20 99 36 36,Distribution spécialisée|Distribution/,prospect ,Recrute un vendeur et un Responsable de Magasin
,BOFROST,,123 r Famards _x000D_,59273,Fretin,+33 3 20 16 81 80,Distribution|,prospect ,Ne travaillent qu'avec Nordjob. pas ouvert à autre chose!_x000D__x000D_10/10 : m^me réponse. très sympathique mais pas besoin de réessayer!!!
,BOMBARDIER TRANSPORT CRESPIN,,,59154,Blanc Misseron Anf,+33 3  27 23 53 00,Industrie|,prospect ,"* Bombardier fabrique des avions et des trains à la fine pointe de la technologie qui facilitent le déplacement des gens et des biens_x000D_* http://www.bombardier.com/_x000D__x000D_(r acheteur projet)_x000D_11/10/11 : le service est recrutement est structuré par métier,c'est Mr Smuczynski  qui s'occupe du R de l'acheteur                               12/10/11 : Mr smuczynski  : souhaite un mail ; thomas.smuczynski@fr.transport.bombardier.com > me recontacte si ok                                                  24/10/11 : """" : a une réunion avec son drh le 25/10/11 me rappelle pour m'informer d'une décision_x000D_02/11/11 :"""" : vont recruter par leur propres moyens > rel s+4 pour connaître l'avancement_x000D_08/12/11 : """"i : a trouvé, garde mes cc > rel février 2012 pour savoir s'il y a des créations de postes_x000D_17/02/12 : """": accords cadres avec agence interim . Il fera appel appel à nous 'il  y a un ""pic"" de recrtuement car aujourd'hui tous ce déroule très bien avec les partenaire, très bon contact,"
,BOSAL DISTRIBUTION,,,62400,Béthune,+33 3 21 61 62 63,Automobile-Moto-Cycles-Equipementiers|Industrie/,prospect ,ok pour travailler avec nous en juin mais pb conjoncturel. à rappeller
,BOSSU CUVELIER,,Rue de Berzin - Z_I_ de Lesquin ,59810,Lesquin,+33 3 20 96 68 00,BTP - Construction|,prospect ,"04/01 :_x000D_eu siège de bonneuil : 01 43 99 69 00 _x000D_RRH groupe Nord de la france = Carole LIDON et son assistante = Aurélie Aronis_x000D_C'est elle qui s'occupe du recrutement pour toutes les filiales => très occupée_x000D__x000D_mme masse - DRH vient de partir ( mme masse)_x000D_mme henin : est arrivée en septemebre 2011_x000D__x000D_mme henin a demissionné fin décembre à fin de période d'essai_x000D__x000D_PDG = Mr Massoneau, le plus souvent à Boneuil, appartient au groupe Descourt et Cabaut (siège Lyon)_x000D_"
,BOULANGER,,Rue de la Haie Plouvier  Crt de Lesquin ,59273,Fretin,+33 3 20 49 46 46,Distribution spécialisée|Distribution/,prospect ,eu mme hennette au tel le 04/04/2011. c'est mme cardon qui rencontre les cabinest._x000D_Affilié à un cabinet pour recrutements cmmerciaux. et pas de recrutements externalisés sur 2011.
,BRADY GROUPE SAS,,45 Avenue Europe,59223,Roncq,+33 3 20 01 06 06,Industrie|,prospect ,Appelé le 05/04_x000D_Mlleanne lise deroive_x000D_RDV le 19/04 à 15h.
,BRENNTAG NORD,,66 rue du Mont à Leux_x000D_ZI de la Martinoire_x000D_,59150,Wattrelos,+33 3 20 26 34 73,Distribution spécialisée|Distribution/,prospect ,"* distribue des produits chimiques industriels et spécialités._x000D_couvrent des industries telles que l'alimentaire, la cosmétique, la détergence, la pharmacie...._x000D__x000D_07/06/11 : contact Mme MICUCCI : pour les commerciaux le recrutement se fait par un cabR qui à été choisi par le siège à Lyon, pour les ouvriers c'est une agence interim, Mme MICUCCI s'occupe aussi du recrutement du site des Ardennes (recherche une assistante co), intéressé de nous rencontrer pour échangerr. bon contact. rdv le 24/06/11 à 14h30_x000D_"
,BRICO DEPOT,,siege,91310,Leuville sur Orge,+33 1 69 63 05 00,Hyper-Super-Grands Magasins|Distribution/,prospect ,"_x000D_24/05/11 contact service RH, Madame LAIM : travail déjà avec des cabR ou ca se passe très bien, lui envoyer un mail, mlaim@bricodepot.fr, année 2011 bouclée, souhaite nous connaitre, rel fin d'année > rel fin d'année_x000D__x000D_15/11/11: pas de visibilité pour 2012, si elle a des besoin sollicitent les cabR dans la boucle, rel 2012"
,BRIGESTONNE (MANUF),,,,BETHUNE,+33 3 .21.64.77.33,,prospect ,"_x000D_(recrtute juriste)_x000D_17/08/11 : contact Mme WICQUART elle a géré le recrutement avec le DRH, fait appelle à des cabR pour des DAF ou DAP, me propose de la rappeler mi octobre elle aura eu les budgets _x000D_20/10/11 : """"pas de recrutement et pas de visibilité pour la fin d'année elle sera plus en mesure de me renseigner fin janvier_x000D_02/02/12 : """" : pas de budget pour ce semestre, recrute que sur les fonctions opération, renv mail sylvie.wicquart@bridgestione.eu ; rel juin_x000D_19/06: rapp merc 20/06 matin, pas dispo_x000D_20/06: pas d'autorisation d'embauche pour 2012, très fermé, n'ont pas le budget ni l'autorisation!!! la rappeler à partir du 15 janvier 2013.sinon très gentille.."
,BRIOCHE PASQUIER NORD,,r Georges Lamiot 62690 AUBIGNY EN ARTOIS ,62290,AUBIGNY EN ARTOIS,+33 3 21 21 95 00,Agroalimentaire-Tabac|Industrie/,prospect ,appelé en juillet et voulait que rappelle en septemebre car pas de besoin_x000D_peu de recrutement - envoyé carte de visite pour rappel
,BRIQUETTERIES DU NORD,,9ème rue -Port fluvial_x000D_BP 84,59003,LILLE,0320170100,Matériaux de construction|BTP - Construction/,prospect ,
,BROSETTE C.D.N,,bd du petit quinquin_x000D_CRT 1_x000D_BP 145,59811,LESQUIN,+33 3 20 16 53 00,,prospect ,"*Brossette est une société spécialisée dans la distribution aux professionnels de produits sanitaire, de matériel de chauffage et de plomber_x000D__x000D_contact stand : siège à Lyon qui gère les R, 04 72 72 00 00"
,BRUNET DENTELLES,,r Gustave Courbet 62100 CALAIS ,62100,Calais,+33 3 21 46 01 40,Textile-Habillement-Chaussures|Industrie/,prospect ,reste 1 personne - établissement ent rain de fermer
4669B,BT FRANCE,,Centre de Gros n°2_x000D_2 rue du fort_x000D_CRT 3,59818,LESQUIN,+33 3 20 86 21 67,Location Véhicules-Divers|Services - Conseil/,prospect ,"> BT France est la filiale du groupe TMHE (Toyota Material Handling Europe), constructeur de chariots élévateurs et spécialiste de la manutention. _x000D_4/05 : c'est le siège social (77) qui gère le recrutement : 01 64 77 85 00  _x000D__x000D_09/05 :  accords cadres / recherche un poste sur le 01 : du mal à trouver /  interessé pour avoir nons coordonnées / ophelie.boiseau@bt-france.com  : envoie mail_x000D__x000D_16/05 : Mme boisseau :  travaille avec interim + pole emploi. Très peu de budget  et de recrutements cadres"
1610B,BUREAU FRANCAIS DE L'ENVIRONNEMENT,,rue du fort_x000D_CRT 3,59818,Lesquin,+33 3 20 64 08 27,Bois-Meubles|Industrie/,prospect ,"imprégnation du bois_x000D__x000D_10/05/11 : contact standard : c'est Mr DERUELLE qui gère les R, maureen.bfh59@orange.fr_x000D_rap avant 9h pour l'avoir en direct, env mail coordonnées_x000D_"
,BUZZ MEDIA,,	250B Rue du Flocon _x000D_,59200,Tourcoing,+33 3 20 76 26 50,Services - Conseil|,prospect ,Recrute un Attaché Commercial 14/03/2011
,BYBEN,,,,,03 20 01 33 01,,prospect ,11 personnes mi 2009._x000D_Pas de recrutement car pas de place.
,C2B INTERACTIVE,,27 rue edouard delesalle,59000,Lille,+33 3 59 03 20 64,,prospect ,"* agence web_x000D__x000D_* rdv le 16/09 avec Mme BOUTTE : entreprise en restructaration, recruterai : dev (php, magento), dir technique,chef de projet, consultant e-commerce_x000D_12/10/11 : pas d'avancement_x000D_15/11/11 : Mme BOUTTE : plus de recrtutements"
,CADELIANCE,,18 Rue Hergé_x000D__x000D__x000D_,59650,Villeneuve d'Ascq,+33 3 20 19 11 00,Services - Conseil|,prospect ,"* concepteur - éclairagiste : http://www.candeliance-semu.fr/plan-dacces.php_x000D__x000D_15/06/11 : Mme DUFFOREAU : mauvaise situtation économique, prend des bts + cabR en cas de diff_x000D__x000D_"
,CADES AMADEUS,,Avenue de l'Europe_x000D_B.P. 24 - 59435 Roncq,59435,RONCQ,+33 3 20 76 24 60,Verre-Céramiques|Industrie/,prospect ,ne veut pas de conbtact direct._x000D_envoi de mail
,CAMPEOL,,,62220,Carvin,0321087000,Distribution spécialisée|Distribution/,prospect ,
