"societe";"ref";"date";"produit";"date2";"compte_absystech_before";"compte_absystech_after";"type";"quantite";" prix ";"id_facture_ligne";"type_facture"
"NORD MED";"FLI19070034";01/07/2019;"Compte Microsoft Office 365 Plan E3 - Licence d'abonnement mensuel sans engagement avec support technique illimité pour l'ensemble des fonctionnalités basiques de la suite Office - 1 utilisateur - Hébergé - Agréé Microsoft Microsoft OneNote/Publisher (Windows only) - Single Language (comprend Word, Excel, PowerPoint, Outlook, OneNote, Publisher, OneDrive Entreprise, Skype Entreprise)";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 24.70 ";43287;"facture_periodique"
"Novastream";"FLI19070035";01/07/2019;"CHROME : Surveillance par monitoring pro-actif 24h/24. Maintenance préventive/curative en Garantie Intervention par un ingénieur sous 4h/Garantie rétablissement sous 48h du Lundi au Vendredi de 9h à 18h + best effort. Mises à jour de sécurité du système d";01/07/2019;"LOCATION HEBERGEMENT";"MAINTENANCE INFRA";"service";"1.00";" 200.00 ";43290;"facture_periodique"
"Novastream";"FLI19070035";01/07/2019;"SILICIUM : Spare de chrome. Surveillance par monitoring pro-actif 24h/24. Mises à jour de sécurité du système d'exploitation et serveurs logiciels installés.";01/07/2019;"LOCATION HEBERGEMENT";"MAINTENANCE INFRA";"service";"1.00";" 60.00 ";43291;"facture_periodique"
"PAPP4";"FLI19070036";01/07/2019;"Microsoft Office 365 Business - Licence d'abonnement - 1 utilisateur - Offre sans engagement - Agréé Microsoft - MOLP: Open Business - Open (Comprend Word, Excel, Outlook, PowerPoint et OneNote) Support hotline AbsysTech illimité";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 12.80 ";43293;"facture_periodique"
"SAFER Hauts de France";"FLI19070037";01/07/2019;"AbsysTech Cloud Backup Pack Business - Jusque 1To de données stockées - Disponible Windows, Mac et Linux - Données stockées dans le Cloud sur un serveur en France - Cryptage 448 bits - Support par ticket hotline - Support téléphonique - Pas de limite du nombre de postes sauvegardés - Accès aux options Serenity et Boost recovery - Forfait ajustable (par mois)";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 50.00 ";43296;"facture_periodique"
"SAFER Hauts de France";"FLI19070037";01/07/2019;"Licence 1 poste avec option Serenity (par mois)";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"2.00";" 6.00 ";43297;"facture_periodique"
"SOC EXPLOITATION ETS PALLEN";"FLI19070038";01/07/2019;"Abonnement mensuel Cloudbackup 100Go 1 utilisateur";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 25.00 ";43300;"facture_periodique"
"SOC EXPLOITATION ETS PALLEN";"FLI19070038";01/07/2019;"Location mensuelle d'un serveur DELL avec 2 disques 500 Go, 8 Go de RAM et Windows serveur 2016";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 150.00 ";43301;"facture_periodique"
"SOC EXPLOITATION ETS PALLEN";"FLI19070039";01/07/2019;"Microsoft Office 365 E3 comprenant Office, Exchange ainsi que le support technique (hors utilisation des logiciels) s'y afférent";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"4.00";" 25.70 ";43303;"facture_periodique"
"SORELI";"FLI19070040";01/07/2019;"Prestation d'assistance en régie pour un forfait de 3h30, tous les vendredis de 8h30 à 12h, à 1242.50¤ HT par mois";01/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"1.00";" 1242.50 ";43305;"facture_periodique"
"SORELI";"FLI19070041";01/07/2019;"Compte Microsoft Office 365 Business Premium - Licence d'abonnement mensuelle sans engagement avec support technique illimité pour l'ensemble des fonctionnalités basiques de la suite Office - 1 utilisateur - hébergé - agréé Microsoft - Microsoft OneNote/Publisher (Windows only) - Single Language (comprend Word, Excel, PowerPoint, Outlook, OneNote, Publisher, OneDrive Entreprise, Skype Entreprise)";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"46.00";" 15.50 ";43307;"facture_periodique"
"SORELI";"FLI19070042";01/07/2019;"Infogérance Kaspersky Antivirus - Pilotage et supervision de l'état des antivirus sur console de management centralisée";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"50.00";" 0.50 ";43312;"facture_periodique"
"SORELI";"FLI19070042";01/07/2019;"Kaspersky Endpoint Security for Business - Select - Postes de travail et serveurs - Par mois / engagement mensuel (Tranche 50 à 99 licences)";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"50.00";" 2.33 ";43313;"facture_periodique"
"SORELI";"FLI19070042";01/07/2019;"Kaspersky Endpoint Security for Business - Select - Postes de travail et serveurs - Par mois / engagement mensuel  [prorata Juin 2019 ]";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"50.00";" 1.94 ";43314;"facture_periodique"
"SORELI";"FLI19070042";01/07/2019;"Infogérance Kaspersky Antivirus - Pilotage et supervision de l'état des antivirus sur console de management centralisée [prorata juin 2019]";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"50.00";" 0.41 ";43315;"facture_periodique"
"Teta";"FLI19070043";01/07/2019;"Mois d'hébergement serveur dédié inventaire2016.absystech.net (gallium EC2)";01/07/2019;"LOCATION HEBERGEMENT";"MAINTENANCE INFRA";"service";"1.00";" 100.00 ";43323;"facture_periodique"
"THEYS ASSAINISSEMENT";"FLI19070044";01/07/2019;"Controller Unifi - Interface web centralisée - Hébergement sur le Cloud privé d'AbsysTech - Administration générale par AbsysTech - Monitoring des équipements Unifi (switch, routeur, borne Wi-Fi, etc.) - Politique de sécurité - Prévention d'intrusion - Qualité de service (QoS) avec réservation de la bande passante - Gestion des mots de passe - Gestion des accès utilisateurs - Mise à jour firmwares des équipements - Génération identifiants et mots de passe pour l'administrateur interne";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 31.00 ";43325;"facture_periodique"
"Transalog";"FLI19070045";01/07/2019;"Abonnement mensuel Microsoft Office 365 Business Essentials Support technique AbsysTech illimité - Engagement 36 mois";01/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"32.00";" 7.75 ";43327;"facture_periodique"
"VMD";"FLI19070046";01/07/2019;"Accès distant sécurisé par le biais d'un lien VPN dédié associé au routeur USG (Offre sans engagement venant remplacer les anciens liens VPN mis en place en juin 2018, devis ADLI18060008)";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"2.00";" 20.00 ";43330;"facture_periodique"
"VMD";"FLI19070046";01/07/2019;"Maintenance et infogérance du routeur USG - Comprend les mises à jour mensuelles software du système";01/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 5.00 ";43331;"facture_periodique"
