Référence;Désignation;Sous catégorie;Fabriquant ;commentaire ;Prix d'achat;Fournisseur
06016C2003;Affleureuse-defonceuse sans fil GKF 18V-8 solo + 1x base plongeante + 1x guide parallèle + 1x Pince de serrage 8mm + 1x Clé plate+ 3x adaptateurs poussière L;AFFLEUREUSE;BOSCH;;439;
06016A0000;Affleureuse GLF 55-6 (C);AFFLEUREUSE;BOSCH;;125;
06016C6000;Affleureuse sans fil GLF 18V-8 solo base fixe en aluminium + 1x Guide coulissant =1x Butée parallèle + 1x Adaptateur poussière +1x Pince de serrage 8 mm + 1x Clé plate (C);AFFLEUREUSE;BOSCH;;225;
06016C6001;Affleureuse sans fil GLF 18V-8 solo base fixe en aluminium + 1x Guide coulissant =1x Butée parallèle + 1x Adaptateur poussière +1x Pince de serrage 8 mm + 1x Clé plate L;AFFLEUREUSE;BOSCH;;269;
0601482500;Agrapheuse bois sans fil GTH 18V-38 M Solo (C);AGRAPHEUSE;BOSCH;;645;
0601482501;Agrapheuse bois sans fil GTH 18V-38 M Solo L;AGRAPHEUSE;BOSCH;;679;
1600A02GG1;Module émetteur GCT 30-42 + 3 bandes élastiques (C);ASPIRATEUR;BOSCH;;49;
1600A02GF1;Système auto-start GCA 30-42 + module émetteur GCT 30-42 + 3 bandes élastiques (C);ASPIRATEUR;BOSCH;;169;
0615990M3B;Aspirateur sans fil GAS 18V-1 + batterie GBA 1x2,0Ah + chargeur GAL 18V-40 (C);ASPIRATEUR;BOSCH;;225;
06019E3003;Aspirateur sans fil GAS 12V + batteries GBA 2x3,0 + chargeur GAL 12V-40 L;ASPIRATEUR;BOSCH;;245;
06019E3001;Aspirateur sans fil GAS 12V solo L;ASPIRATEUR;BOSCH;;129;
06019E3000;Aspirateur sans fil GAS 12V solo (C) ;ASPIRATEUR;BOSCH;;105;
06019C6200;Aspirateur sans fil GAS 18V-1 solo (C);ASPIRATEUR;BOSCH;;115;
06019C6302;Aspirateur sans fil GAS 18V-10L solo + acc système (C);ASPIRATEUR;BOSCH;;185;
06019K2000;Aspirateur sans fil GAS 18V-12 MC solo (C);ASPIRATEUR;BOSCH;;549;
060197B0W0;Aspirateur GAS 20 L SFC (C);ASPIRATEUR;BOSCH;;309;
060197B1W0;Aspirateur GAS 20 L SFC (C);ASPIRATEUR;BOSCH;;319;
0601979148;Aspirateur GAS 25 L SFC (C);ASPIRATEUR;BOSCH;;469;
06019C32W0;Aspirateur GAS 35 L AFC (C) ;ASPIRATEUR;BOSCH;;719;
06019C30W0;Aspirateur GAS 35 L SFC+ (C) ;ASPIRATEUR;BOSCH;;629;
06019C31W0;Aspirateur GAS 35 M AFC (C) ;ASPIRATEUR;BOSCH;;865;
06019C33W0;Aspirateur GAS 55 M AFC (C) ;ASPIRATEUR;BOSCH;;1055;
06019C36W0;Aspirateur GAS 35 H AFC (C);ASPIRATEUR;BOSCH;;1035;
060197C100;Aspirateur GAS 12-25 PL (C);ASPIRATEUR;BOSCH;;239;
06019E5100;Aspirateur GAS 15 PS (C);ASPIRATEUR;BOSCH;;225;
1600Z0002X;Batterie GBA 12V 1x2,0Ah (C) ;BATTERIE;BOSCH;;49;
1600A00X79;Batterie GBA 12V 1x3,0Ah ©;BATTERIE;BOSCH;;69;
1600A00X7H;Batterie GBA 12V 1x6,0Ah (C);BATTERIE;BOSCH;;89;
1600Z00036;Batterie GBA 18V-LI 1x2,0Ah (C);BATTERIE;BOSCH;;69;
1600Z00038;Batterie GBA 18V 1x4,0Ah (C);BATTERIE;BOSCH;;85;
1600A002U5;Batterie GBA 18V 1x5,0Ah (C);BATTERIE;BOSCH;;95;
1600A02A2S;Set Multiple batteries GBA 18V 6x4,0Ah L;BATTERIE;BOSCH;;469;
1600A016GB;Batterie ProCORE18V 1x4,0Ah (C);BATTERIE;BOSCH;;105;
1600A016GK;Batterie ProCORE18V 1x8,0Ah (C);BATTERIE;BOSCH;;185;
1600A02X00;Batterie ProCORE18V+ 1x8,0Ah (C);BATTERIE;BOSCH;;209;
1600A016GU;Batterie ProCORE18V 1x12,0Ah (C);BATTERIE;BOSCH;;279;
1600A02A2T;Set Multiple batterie ProCORE18V 4x4,0Ah + batterie ProCORE18V 2x8,0Ah L;BATTERIE;BOSCH;;755;
1600A02A2U;Set Multiple batterie ProCORE18V 4x5,5Ah L;BATTERIE;BOSCH;;589;
1600Z0003B;Batterie GBA 36V 1x2,0Ah (C);BATTERIE;BOSCH;;169;
1600A00L1M;Batterie GBA 36V 1x6,0Ah (C);BATTERIE;BOSCH;;265;
1600A02149;Batterie ProCORE18V 1x5,5Ah (C);BATTERIE  ;BOSCH;;159;
06019E0103;Boulonneuse sans fil GDS 12V-115 + batteries GBA 2x3,0Ah + chargeur GAL 12V-40 L;BOULONNEUSE ;BOSCH;;279;
06019E0102;Boulonneuse sans fil GDS 12V-115 solo L;BOULONNEUSE ;BOSCH;;189;
06019E0101;Boulonneuse sans fil GDS 12V-115 solo  (C);BOULONNEUSE ;BOSCH;;165;
06019J0301;Boulonneuse sans fil GDS 18V-210 C solo + module bluetooth GCY 42 L;BOULONNEUSE ;BOSCH;;275;
06019J0300;Boulonneuse sans fil  GDS 18V-210 C solo (C);BOULONNEUSE ;BOSCH;;239;
06019D8202;Boulonneuse sans fil GDS 18V-300 + batteries ProCORE18V 2x4,0Ah + chargeur GAL 18V-40 L;BOULONNEUSE ;BOSCH;;505;
06019D8201;Boulonneuse sans fil GDS 18V-300 solo L;BOULONNEUSE ;BOSCH;;279;
06019D8200;Boulonneuse sans fil GDS 18V-300 solo (C);BOULONNEUSE ;BOSCH;;259;
06019L5002;Boulonneuse sans fil GDS 18V-330 HC + batteries ProCORE18V 2x4,0Ah + chargeur GAL 18V-40 + module bluetooth CoMo L;BOULONNEUSE ;BOSCH;;539;
06019L5003;Boulonneuse sans fil GDS 18V-330 HC + GBA 2x5,0Ah + GAL 18V-40 L;BOULONNEUSE ;BOSCH;;485;
06019L5000;Boulonneuse sans fil GDS 18V-330 HC solo (C);BOULONNEUSE ;BOSCH;;259;
06019L5001;Boulonneuse sans fil GDS 18V-330 HC solo + module bluetooth CoMo L;BOULONNEUSE ;BOSCH;;299;
06019K4002;Boulonneuse sans fil GDS 18V-450 HC + batteries ProCORE18V 2x4,0Ah + chargeur GAL 18V-40 + module bluetooth CoMo L;BOULONNEUSE ;BOSCH;;549;
06019K4003;Boulonneuse sans fil GDS 18V-450 HC + batteries GBA 2x5,0Ah + chargeur GAL 18V-40 L;BOULONNEUSE ;BOSCH;;499;
06019K4000;Boulonneuse sans fil GDS 18V-450 HC solo (C);BOULONNEUSE ;BOSCH;;279;
06019K4001;Boulonneuse sans fil GDS 18V-450 HC solo + module bluetooth CoMo L;BOULONNEUSE ;BOSCH;;319;
06019K4102;Boulonneuse sans fil GDS 18V-450 PC + batteries ProCORE18V 2x4,0Ah + chargeur GAL 18V-40 + module bluetooth CoMo L;BOULONNEUSE ;BOSCH;;549;
06019K4103;Boulonneuse sans fil GDS 18V-450 PC + batteries GBA 2x5,0Ah + chargeur GAL 18V-40 L;BOULONNEUSE ;BOSCH;;499;
06019K4100;Boulonneuse sans fil GDS 18V-450 PC solo (C);BOULONNEUSE ;BOSCH;;279;
06019K4101;Boulonneuse sans fil GDS 18V-450 PC solo + module bluetooth CoMo L;BOULONNEUSE ;BOSCH;;319;
06019J8303;Boulonneuse sans fil GDS 18V-1000 + batteries ProCORE18V 2x5,5Ah + chargeur GAL 1880 L;BOULONNEUSE ;BOSCH;;705;
06019J8302;Boulonneuse sans fil GDS 18V-1000 + batteries ProCORE18V 2x8,0Ah + chargeur GAL 1880 L;BOULONNEUSE ;BOSCH;;735;
06019J8301;Boulonneuse sans fil GDS 18V-1000 solo L;BOULONNEUSE ;BOSCH;;369;
06019J8300;Boulonneuse sans fil GDS 18V-1000 solo (C);BOULONNEUSE ;BOSCH;;345;
06019J8003;Boulonneuse sans fil GDS 18V-1000 C + batteries ProCORE18V 2x5,5Ah + chargeur GAL 1880 CV L;BOULONNEUSE ;BOSCH;;715;
06019J8002;Boulonneuse sans fil GDS 18V-1000 C + batteries ProCORE18V 2x8,0Ah + chargeur GAL 1880 CV + module bluetooth GCY 42 L;BOULONNEUSE ;BOSCH;;759;
06019J8001;Boulonneuse sans fil GDS 18V-1000 C solo + module bluetooth GCY 42 L;BOULONNEUSE ;BOSCH;;395;
06019J8000;Boulonneuse sans fil GDS 18V-1000 C solo (C);BOULONNEUSE ;BOSCH;;349;
06019J8503;Boulonneuse sans fil GDS 18V-1050 H + batterie ProCORE18V 2x5,5Ah + chargeur GAL 1880 L;BOULONNEUSE ;BOSCH;;705;
06019J8502;Boulonneuse sans fil GDS 18V-1050 H + batteries ProCORE18V 2x8,0Ah + chargeur GAL 1880 L;BOULONNEUSE ;BOSCH;;735;
06019J8501;Boulonneuse sans fil GDS 18V-1050 H solo L;BOULONNEUSE ;BOSCH;;369;
06019J8500;Boulonneuse sans fil GDS 18V-1050 H solo (C);BOULONNEUSE ;BOSCH;;345;
06019J8202;Boulonneuse sans fil GDS 18V-1050 HC + batteries ProCORE18V 2x8,0Ah + chargeur GAL 1880 CV + module bluetooth GCY 42 L;BOULONNEUSE ;BOSCH;;759;
06019J8201;Boulonneuse sans fil GDS 18V-1050 HC solo + module bluetooth GCY 42 L;BOULONNEUSE ;BOSCH;;395;
06019J8200;Boulonneuse sans fil GDS 18V-1050 HC solo (C);BOULONNEUSE ;BOSCH;;349;
0601444000;Boulonneuse sans fil GDS 18 E solo (C);BOULONNEUSE ;BOSCH;;679;
0601435103;Boulonneuse GDS 30;BOULONNEUSE ;BOSCH;;1319;
06019M1000;Boulonneuse sans fil GDS 18V-1600 HC solo (C);BOULONNEUSE ;BOSCH;;375;
06019M1001;Boulonneuse sans fil GDS 18V-1600 HC solo L;BOULONNEUSE ;BOSCH;;419;
06019M1002;Boulonneuse sans fil GDS 18V-1600 HC + batteries ProCORE18V 2x8,0Ah + module bluetooth GCY42 + chargeur GAL 1880 CV L;BOULONNEUSE ;BOSCH;;779;
06019L9000;Boulonneuse sans fil GDS 18V-750 C solo (C);BOULONNEUSE ;BOSCH;;319;
06019L9002;Boulonneuse sans fil GDS 18V-750 C + batteires ProCORE18V 2x8,0 Ah + chargeur GAL + module bluetooth CoMo L;BOULONNEUSE ;BOSCH;;699;
06019J2206;Boulonneuse 2 en 1 sans fil GDX 18V-200 + batteries GBA 2x4,0Ah + chargeur GAL 18V-40 LC;BOULONNEUSE ;BOSCH;;425;
06019J2204;Boulonneuse 2 en 1 sans fil GDX 18V-200 solo (C);BOULONNEUSE ;BOSCH;;209;
06019J2205;Boulonneuse 2 en 1 sans fil GDX 18V-200 solo L;BOULONNEUSE ;BOSCH;;235;
06019J0202;Boulonneuse 2 en 1 GDX 18V-210 C + batteries GBA 2x5,0Ah + chargeur GAL 18V-40 L;BOULONNEUSE ;BOSCH;;479;
06019J0203;Boulonneuse 2 en 1 sans fil GDX 18V-210 C + batteries ProCORE18V 2x4,0Ah + chargeur GAL 18V-40 + module bluetooth GCY 42 L;BOULONNEUSE ;BOSCH;;499;
06019J0201;Boulonneuse 2 en 1 sans fil GDX 18V-210 C solo + module bluetooth GCY 42 L;BOULONNEUSE ;BOSCH;;289;
06019J0200;Boulonneuse 2 en 1 sans fil GDX 18V-210 C solo (C);BOULONNEUSE ;BOSCH;;255;
601190100;Support pour carotteuse GCR 180 compatible avec GDB 180 WE (C);CARROTTEUSE;BOSCH;;945;
0601190200;Support pour carotteuse GCR 350 compatible avec GDB 350 WE (C);CARROTTEUSE;BOSCH;;1465;
0601189800;Carotteuse GDB 180 WE (Coffret);CARROTTEUSE;BOSCH;;1425;
0601189900;Carotteuse GDB 350 WE (C);CARROTTEUSE;BOSCH;;2199;
1600A019R3;Chargeur GAL 12V-40 (C);CHARGEUR;BOSCH;;55;
1600A011A9;Chargeur double baies GAX 18V-30 (C);CHARGEUR;BOSCH;;55;
1600A019RJ;Chargeur GAL 18V-40 (C);CHARGEUR;BOSCH;;59;
1600A00B8G;Chargeur GAL 1880 CV (C);CHARGEUR;BOSCH;;89;
1600A02T5G;Chargeur rapide GAL 18V-160 (C);CHARGEUR;BOSCH;;125;
1600A019S5;Chargeur connectable GAL 18V-160C (C);CHARGEUR;BOSCH;;129;
1600A019S6;Chargeur connectable GAL 18V-160C + module bluetooth GCY 42 (C);CHARGEUR;BOSCH;;149;
1600A01U9L;Chargeur multi-baies GAL 18V6-80 (C);CHARGEUR;BOSCH;;139;
1600A004ZS;Chargeur rapide GAL 3680 CV (C);CHARGEUR;BOSCH;;129;
06019B2904;Cisaille sans fil GUS 12V-300 + batteries GBA 2x2,0Ah L;CISAILLE;BOSCH;;275;
06019B2901;Cisaille sans fil GUS 12V-300 solo (C)  ;CISAILLE;BOSCH;;145;
06019B2905;Cisaille sans fil GUS 12V-300 solo  L ;CISAILLE;BOSCH;;169;
06019L7000;Cloueur béton sans fil GNB 18V-38 solo (C);CLOUEUR;BOSCH;;799;
06019L7001;Cloueur béton sans fil GNB 18V-38 solo XL;CLOUEUR;BOSCH;;839;
06019L7002;Cloueur béton sans fil GNB 18V-38 + batteries ProCORE18V 2x4,0Ah + chargeur GAL 18V-40 XL;CLOUEUR;BOSCH;;1069;
1600A02F4K;1000 clous béton NB-16 (longueur 16mm) (C);ACCESSOIRE OUTILLAGE;BOSCH;;129;
1600A02F4L;1000 clous béton  NB-19 (longueur 19mm) (C);ACCESSOIRE OUTILLAGE;BOSCH;;135;
1600A02F4M;1000 clous béton NB-25 (longueur 25mm) (C);ACCESSOIRE OUTILLAGE;BOSCH;;135;
1600A02F4N;1000 clous béton NB-32 (longueur 32mm) (C);ACCESSOIRE OUTILLAGE;BOSCH;;135;
1600A02F4P;1000 clous béton NB-38 (longueur 38mm) (C);ACCESSOIRE OUTILLAGE;BOSCH;;139;
1600A02F4R;1000 clous béton NK-38 (longueur 35mm) (C);ACCESSOIRE OUTILLAGE;BOSCH;;139;
1600A02F4S;1000 clous béton NM-13 (longueur 13mm) (C);ACCESSOIRE OUTILLAGE;BOSCH;;129;
1600A02F4T;1000 clous béton NM-16 (longueur 16mm) (C);ACCESSOIRE OUTILLAGE;BOSCH;;129;
1600A02F4U;1000 clous béton NM-19 (longueur 19mm) (C);ACCESSOIRE OUTILLAGE;BOSCH;;135;
0601481102;Cloueur bois de finition sans fil GNH 18V-64 + batteries ProCORE 2x4,0Ah + chargeur GAL 18V-40 L;CLOUEUR;BOSCH;;795;
0601481101;Cloueur bois de finition sans fil GNH 18V-64 solo L;CLOUEUR;BOSCH;;555;
0601481100;Cloueur bois de finition sans fil GNH 18V-64 solo (C);CLOUEUR;BOSCH;;539;
0601481003;Cloueur bois de finition sans fil GNH 18V-64 M + batteries ProCORE 2x4,0Ah + chargeur GAL 18V-40 L;CLOUEUR;BOSCH;;825;
0601481001;Cloueur bois de finition sans fil GNH 18V-64 M solo L;CLOUEUR;BOSCH;;589;
0601481000;Cloueur bois de finition sans fil GNH 18V-64 M solo (C);CLOUEUR;BOSCH;;569;
0601482000;Cloueur bois de finition sans fil GNH 18V-64-2 M solo (C);CLOUEUR;BOSCH;;645;
0601482001;Cloueur bois de finition sans fil GNH 18V-64-2 M solo L;CLOUEUR;BOSCH;;679;
0601482200;Cloueur bois de finition sans fil GNH 18V-64 MD solo (C);CLOUEUR;BOSCH;;655;
0601482201;Cloueur bois de finition sans fil GNH 18V-64 MD solo L;CLOUEUR;BOSCH;;689;
0601482400;Cloueur bois de finition sans fil GNH 18V-50 M solo (C);CLOUEUR;BOSCH;;635;
0601482401;Cloueur bois de finition sans fil GNH 18V-50 M solo (C);CLOUEUR;BOSCH;;669;
06018C1108;COMBO KIT 2 OUTILS FILAIRES : Meuleuse angulaire GWS 20-230 P + Meuleuse angulaire GWS 880 (coffret);COMBO KITS;BOSCH;;219;
06018C1109;COMBO KIT 2 OUTILS FILAIRES : Meuleuse angulaire GWS 22-230 P + Meuleuse angulaire GWS 880 (coffret);COMBO KITS;BOSCH;;259;
0601824805;COMBO KIT 2 OUTILS FILAIRES : Meuleuse angulaire GWS 22-230 P + Meuleuse angulaire GWS 1400 (C);COMBO KITS;BOSCH;;279;
0615A50054;COMBO KIT 2 OUTILS FILAIRES : Ponceuse plaquiste GTR 55-225 + Aspirateur GAS 35 L AFC (coffret);COMBO KITS;BOSCH;;869;
0615A5004R;COMBO KIT 2 OUTILS FILAIRES : Meuleuse angulaire GWS 14-125 + Système d'aspiration GDE 115/125 FC-T (C);COMBO KITS;BOSCH;;225;
0615A50051;COMBO KIT 3 OUTILS FILAIRES : Perforateur SDS Max GBH 5-40 DCE + Aspirateur GAS 35 M AFC + Système d'aspiration GDE 68 (coffret);COMBO KITS;BOSCH;;1359;
0615A50052;COMBO KIT 3 OUTILS FILAIRES :  Perforateur SDS Max GBH 8-45 DV + Aspirateur GAS 35 M AFC + Système d'aspiration GDE 68 (coffret);COMBO KITS;BOSCH;;1575;
0615A50059  ;COMBO KIT 3 OUTILS FILAIRES : Marteau-piqueur SDS Max GSH 11 E + Aspirateur GAS 35 M AFC + Système d'aspiration GDE max (coffret);COMBO KITS;BOSCH;;1469;
0615A50053;COMBO KIT 3 OUTILS FILAIRES : Marteau-piqueur SDS max GSH 5 CE + Aspirateur GAS 35 M AFC + Système d'aspiration GDE max (coffret);COMBO KITS;BOSCH;;1359;
0615990N2U;COMBO KIT 2 OUTILS 12V : Perceuse-Visseuse GSR 12V-15 + Meuleuse angulaire GWS 12V-76 + Batteries GBA 2x2,0Ah + Chargeur GAL 12V-40 L;COMBO KITS;BOSCH;;315;
0615990M1M;COMBO KIT 2 OUTILS 12V :  Perceuse-Visseuse GSR 12V-15 + Scie sauteuse GST 12V-70 + Batteries GBA 2x2,0Ah + Chargeur GAL 12V-40 L;COMBO KITS;BOSCH;;295;
0615A0017D;COMBO KIT 5 OUTILS 12V:  Perceuse-Visseuse GSR 12V-15 FC + Découpeur-ponceur GOP 12V-28 + Rabots GHO 12V-20 + Meuleuse angulaire GWS 12V-76 + Scie sauteuse GST 12V-70 + Batteries GBA 2x2,0Ah + 1x3,0Ah + Chargeur GAL 12V-40 XL;COMBO KITS;BOSCH;;885;
0615A0017C;COMBO KIT 5 OUTILS 12V: Perceuse-Visseuse GSR 12V-15 + Scie sauteuse GST 12V-70 + Découpeur-ponceur GOP 12V-28 + Scie circulaire GKS 12V-26 + Scie sabre GSA 12V-14 + Batteries GBA 3x3,0Ah + Chargeur GAL 12V-20 XL;COMBO KITS;BOSCH;;729;
0615990N1D;COMBO KIT 5 OUTILS 12V: Perceuse-Visseuse GSR 12V-15+ Découpeur-ponceur GOP 12V-28 + Visseuse à chocs GDR 12V-105 + Scie sabre GSA 12V-14 + Lampe GLI 12V-300 + XL;COMBO KITS;BOSCH;;549;
0615A5004N;COMBO KIT 2 OUTILS 18V : Scie plongeante GKT 18V-52 GC solo + Aspirateur GAS 18V-12 MC L;COMBO KITS;BOSCH;;869;
061191000K;COMBO KIT 2 OUTILS 18V : Perforateur SDS Plus GBH 18V-26 F solo + Système d'aspiration GDE 18V-16 L;COMBO KITS;BOSCH;;459;
0611921004;COMBO KIT 2 OUTILS 18V : Perforateur SDS Plus GBH 18V-28 CF solo + Système d'aspiration GDE 18V-16 L;COMBO KITS;BOSCH;;519;
0615990M1K;COMBO KIT 2 OUTILS 18V : Perceuse-Visseuse à percussion GSB 18V-21 + Scie sauteuse GST 18V-LI S + Batterie GBA 18V 2x4,0Ah + Chargeur GAL 18-40 SAC;COMBO KITS;BOSCH;;459;
