"SIRET";"NOM";"site web";"campagne";"contact1";"contact2";"contact3";"suivi1"
43968657700040;"Fujifilm Sonosite France SARL";"https://www.sonosite.com/fr/produit/sonosite-sii";"Santé GUY";;;;
43916290000013;"STERALIS";;"Santé GUY";;;;
47764954500035;"L3 Medical";"https://www.l3medical.fr/nouveaux-produits/";"Santé GUY";;;;
32396168000044;"Drager France";"https://www.draeger.com/fr_fr/Hospital/Productselector/Ventilation-and-Respiratory-Monitoring";"Santé GUY";;;;
"41868673900099";"Spengler SAS";;"Santé GUY";;;;
"31055877000049";"COMEG";"http://www.comegmedical.com";"Santé GUY";;;;
"33948877700048";"GAMBRO INDUSTRIES";"http://www.baxter.com";"Santé GUY";;;;
"34753529600029";"EUROSILICONE SAS";"http://eurosilicone.com";"Santé GUY";;;;
"35260020900071";"IMV TECHNOLOGIES";"https://www.imv-technologies.com/products-lines/semen-analysis-and-leja-slides";"Santé GUY";;;;
"35330557600012";"INTERVASCULAR SAS";"https://www.getinge.com/int/?source=maquet.com";"Santé GUY";;;;
39146137300097;"STERIS";"https://www.steris-healthcare.fr/";"Santé GUY";;;;
39480444700024;"EDAP-TMS FRANCE";"https://www.edap-tms.com/";"Santé GUY";;;;
49091807500048;"SOLUSCOPE";"http://soluscope.com";"Santé GUY";;;;
49337304700023;"FENWAL FRANCE SAS";"https://www.fresenius-kabi.com/fr/produits/technologies-de-transfusion";"Santé GUY";;;;
"49923501800011";"VIANT CHAUMONT SAS";"http://integer.net";"Santé GUY";;;;
"50860164800019";"HERDEGEN";"http://www.herdegen.fr";"Santé GUY";;;;
"60562044200034";"ETABLISSEMENTS ANTHOGYR";"https://www.anthogyr.fr/produits/numerique/cad-cam-simeda/la-cao-anthogyr-simeda";"Santé GUY";;;;
"73172007400087";"PRODUITS DENTAIRES PIERRE ROLLAND";"https://www.acteongroup.com/fr/produits/medical";"Santé GUY";;;;
"78201624000031";"SOC CONCEPTION APPLICAT TECHN ELECTRONIQ";"https://www.acteongroup.com/en/";"Santé GUY";;;;
"96750168500028";"FRESENIUS MEDICAL CARE - SMAD";"https://www.freseniusmedicalcare.com/en/healthcare-professionals/healthcare-professionals-overview/";"Santé GUY";;;;
"30057319300160";"CCF";"https://ccf-france.fr/wp-content/uploads/2019/10/CCF_Plaquette.pdf";"Partenaires GUY";"https://www.linkedin.com/in/thomas-meriaux-6656265b/?originalSubdomain=fr";"https://www.linkedin.com/in/mathieu-cabrera-a33b9398/?originalSubdomain=fr";;"sécurité"
"31280009700056";"COPY-SUD";"http://www.copy-sud-avignon.fr";"Partenaires GUY";"https://www.linkedin.com/in/philippe-gallucci-ab4b2a89/?originalSubdomain=fr";"https://www.linkedin.com/in/julien-jorda-562286b2/?originalSubdomain=fr";;"impression et sauvegarde"
"32696677700046";"ECONOCOM";"http://www.econocom.com/fr";"Partenaires GUY";;;;"https://www.econocom.com/fr/activites/technology-management-financing"
"32865814100010";"FEEDER";"https://www.feeder.fr/150-tablette-tactile-semie-durcie/150-durcie-semie-tablette-tactile/?p=1";"Partenaires GUY";"https://www.linkedin.com/in/philippegreard/?originalSubdomain=fr";"https://www.linkedin.com/in/rose-marie-terrasi-90650a16a/?originalSubdomain=fr";"https://www.linkedin.com/in/azia-brahmi-8b635811/?originalSubdomain=fr";"voir es eecrans eizo - tél avec le Dr des opérations - pas le moment de parler de cela car ils sont 6 sur 25 et fait le CA d'un coiffeur - ils ont déjà essayé de faire du leasing ou de la location financière mais ca ne marche pas - moi j'ai dit quand ca repartira !!"
"33378426200037";"E.S.I. FRANCE";"http://esipro.fr";"Partenaires GUY";"https://www.linkedin.com/in/eric-daubourg-53209018/?originalSubdomain=fr";"https://www.linkedin.com/in/laurent-novel-77a18177/?originalSubdomain=fr";"https://www.linkedin.com/in/r%25C3%25A9my-descotes-39021a107/?originalSubdomain=fr";
"33789187300040";"PACT INFORMATIQUE";"http://pactgroup.eu/pact-informatique.html";"Partenaires GUY";"mr bodokh ou mr guigui : les dirigeatns";"Médine Isker";"https://www.linkedin.com/in/anthony-de-almeida-11743711a/?originalSubdomain=fr";"on pratiqeu pas - j'ai personne à dispo - evoyer mail à transmettre -sauv archivage"
"34006217300109";"EXERTIS FRANCE";"https://www.exertis.fr/canal-b2b.php";"Partenaires GUY";"https://www.linkedin.com/in/fabianpiquet/?originalSubdomain=fr";"https://www.linkedin.com/in/anthony-ledez-a7731554/?originalSubdomain=fr";;"bientôt vte internet"
"34390282100044";"ARCHOS";"https://www.archos.com/fr/products/tablets/index.html";"Partenaires GUY";;;;"vte par grde distrib -vend par RvR ? Tel et tablet"
"34775475600026";"OFFICEXPRESS";"http://v3.officexpress.fr";"Partenaires GUY";"https://www.linkedin.com/in/thierry-chemla-59098243/?originalSubdomain=fr";;;"c'est avec mr chemla qu'il faut voir cela - qui est en chomage partiel"
"34810761600073";"ROVER";"http://www.roveronline.fr";"Partenaires GUY";;;;"ds groupe dexxon"
"35007498500135";"HITACHI VANTARA SAS";"https://www.hitachivantara.com/en-us/company/contact.html";"Partenaires GUY";;;;
"37784998900035";"ADVANCED FRANCE COMPOSANTS";"https://www.afc-informatique.fr/";"Partenaires GUY";"https://www.linkedin.com/in/erik-vincenti-61825375/?originalSubdomain=fr";;;"equipe sur site"
"37895520700071";"ACER COMPUTER FRANCE";"http://www.acer.com";"Partenaires GUY";"https://www.linkedin.com/in/laurent-diernaz-7513821/";;;
"38058683400034";"DEXXON GROUPE";"http://plus.dexxon.eu";"Partenaires GUY";"https://www.linkedin.com/in/sassan-shafiee-3086236/?originalSubdomain=fr";"https://www.linkedin.com/in/pablo-maceira-8559a036/?originalSubdomain=fr";;"cf rover"
"38082720400385";"LEXMARK INTERNATIONAL SAS";"https://www.lexmark.com/fr_fr.html";"Partenaires GUY";;;;
"38343221800048";"ASIALAND";"http://www.asialand.fr";"Partenaires GUY";"lim posun Dr Cal";;;
"38749579900067";"VISIATIV SOLUTIONS ENTREPRISE";"https://www.visiativ-solutions.fr/materiels/stations-cao/";"Partenaires GUY";"https://www.linkedin.com/in/fabrice-doucet-90113152/?originalSubdomain=fr";"https://www.linkedin.com/in/eric-stalter-b4109021/?originalSubdomain=fr";;"elle laisse un messgae à r doucet - travaille avec dispay qui permet de faire des prets"
"38818506800102";"MISMO";"https://boutique.mismo.fr/";"Partenaires GUY";"https://www.linkedin.com/in/alexandre-lebreton-7130b972/?originalSubdomain=fr";;;"les commerciaux font dejà - avec leasers du marché - quand le client le demande -il y a plusieurs resp commerciaux en fonction des marchés - ETI, pme, collectiv locales -  "
"38820459600034";"DYADEM";"https://www.dyadem.fr";"Partenaires GUY";;;;"contact cleodis en cours avec ph. Sevin"
"39993059300021";"SONY INTERACTIVE ENTERTAINMENT FRANCE SA";"http://www.sony.fr";"Partenaires GUY";;;;
"40209172200049";"PASSMAN";"http://www.passman-hotels.com/bornes-internet-tablettes/#materiel_borne_internet_tablette_pour_hotel";"Partenaires GUY";"https://www.linkedin.com/in/patrick-layani-36470549/?originalSubdomain=fr";"https://www.linkedin.com/in/yenkel-amsellem/?originalSubdomain=fr";;
"40222509800035";"EURO COMPUTER PERFORMANCE";"http://www.europ-computer.com/index.php";"Partenaires GUY";"patrice";;;"90% CA avec des revendeurs - qui pratiquent déjà locfi - 10% avec des professionnels qu'ils adressent directement - "
"41411534500046";"ACADIA INFORMATIQUE";"http://www.acadia-info.fr";"Partenaires GUY";;;;"ne vend qu'à des revendeurs"
"41507431900054";"MCA TECHNOLOGY";"http://www.mca-technology.fr";"Partenaires GUY";;;;"ne vend qu'à des revendeurs"
"42194541100047";"PROFESSIONAL COMPUTER ASSOCIES FRANCE";"https://www.pcafrance.com/catalogue.php?F0_FAM_ID=222";"Partenaires GUY";;;;"vend à rvr ?"
"42335560100034";"MAXDATA SARL";"http://maxdata.com";"Partenaires GUY";;;;
"48372812700018";"NDC PRO";"http://www.ndcpro.fr/distribution";"Partenaires GUY";"https://www.linkedin.com/in/namik-barchiche-767956b/?originalSubdomain=fr";"https://www.linkedin.com/in/francois-adler-557977123/?originalSubdomain=fr";"https://www.linkedin.com/in/cyrille-baranger-73860b1/?locale=fr_FR";
"48928896900038";"ANTEMETA";"http://www.antemeta.fr";"Partenaires GUY";"https://www.linkedin.com/in/etienne-lecoq-550b9b89/?originalSubdomain=fr";"https://www.linkedin.com/in/vincent-horr-21033a104/?originalSubdomain=fr";;
"49155907600030";"S CUBE";"https://www.s-cube.fr/notre-societe/";"Partenaires GUY";;;;"boite US on n'a pas la main"
"49754480900047";"ARP";"https://www.arp.fr/";"Partenaires GUY";;;;"voir bechtle - ils font partie du groupe bechtle 6Mds - leader de la distrib en Europe !!! - travaille avec Realease comme seul et unique leaser - et cela depuis le début d'année 2020 - ds groupe il y a Inmac Wstore - Comsoft - Arp."
"49834916600013";"INFIDIS";"https://www.infidis.com/partenaires/";"Partenaires GUY";"https://www.linkedin.com/in/jean-claude-potier/?originalSubdomain=fr";"https://www.linkedin.com/in/anasse-lagzouli/?originalSubdomain=fr";"https://www.linkedin.com/in/christophe-baffard/?originalSubdomain=fr";
"50787888200020";"FDP SOLUTIONS";"http://www.fdpsolutions.com/partenaires";"Partenaires GUY";"mr charles cohen";"david oliel : Dr Cal";;"vend administration"
"52201017200016";"CELERIS INFORMATIQUE";"http://www.celeris.fr";"Partenaires GUY";"https://www.lihttps://www.linkedin.com/in/erwan-quimbert-81674649/";;;
"62205841000078";"BROTHER FRANCE";"http://www.brother.fr";"Partenaires GUY";;;;
"69202695800276";"EPSON FRANCE";"https://www.epson.fr/";"Partenaires GUY";;;;
"82308762200010";"LENOVO GLOBAL TECHNOLOGY FRANCE SAS";;"Partenaires GUY";;;;
"33075220500030";"ACIPA";"http://www.acipa.fr/Liste_Articles.aspx?fam=MATZZL";"Partenaires GUY";"benoit lepere";"https://www.linkedin.com/in/fatima-khelouf-828a45103/?originalSubdomain=fr";;
"3,39862E+13";"MULTI GESTION SERVICES";"https://www.mgsinfo.com/materiel/";"Partenaires GUY";"mr fribourg  dirigeant ";"https://www.linkedin.com/in/jean-philippe-piquemal-64600974/?originalSubdomain=fr";"https://www.linkedin.com/in/mickael-ouguergouz-14515459/";"rappeler mr fribourg dirigeant apres le confinement - - ils ont 1 partenaire pour faire location"
"33421311300064";"SQUARE ENIX";"http://www.square-enix.com";"Partenaires GUY";;;;
"34481561800048";"OLISYS";"http://www.olisys.fr";"Partenaires GUY";"https://www.linkedin.com/in/nicolas-blasyk-20b7915a/?originalSubdomain=fr";"https://www.linkedin.com/in/michel-falcinelli-a30a1618/";;
"34483113600058";"KOMPOSITE";"http://www.komposite.fr";"Partenaires GUY";;;;
"35033397700055";"WORLD TRADE ET TECHNOLOGIES";"http://www.wtt.biz/";"Partenaires GUY";;;;
"34894020600058";"CUC - EXERTIS CONNECT";"http://www.cuc.fr";"Partenaires GUY";;;;
"38852190800045";"QUALIS voir groupe idemaps ";"https://idemaps.fr/#services";"Partenaires GUY";;;;"imprte xerox"
"38892943200036";"ACTUAL SYSTEMES";"https://store.actualsystemes.com/c504-cm780640079-m-r/pc-ecran-tout-en-un.htm";"Partenaires GUY";"https://www.linkedin.com/in/jm-scohy/?originalSubdomain=fr";;"https://www.linkedin.com/in/maria-chaveroux-2523957a/?originalSubdomain=fr";"grossiste - "
"38773977400108";"ZETES FRANCE";"http://www.zetes.com";"Partenaires GUY";;;;
"3,9349E+13";"GRAPH'IMAGE";"https://www.graph-image.fr/categorie-produit/systemes-de-decoupe/traceurs-de-decoupe-a-friction-summa/";"Partenaires GUY";"https://www.linkedin.com/in/denis-naccache-6b04b3b2/?originalSubdomain=fr";;"https://www.linkedin.com/in/oana-ianasi-156b4029/?originalSubdomain=fr";"grossiste"
"38919520700094";"SA COULEUR ET CONNECTION";"http://www.couleuretconnection.com";"Partenaires GUY";"https://www.linkedin.com/in/carl-morgadinho-aa9242a5/?originalSubdomain=fr";;;
"40272305000207";"AM TRUST";"http://www.amtrust.fr";"Partenaires GUY";"https://www.linkedin.com/in/martial-djeradi-a139bb1a/?originalSubdomain=fr";"https://www.linkedin.com/in/philippe-jeangrand-3772b9a3/?originalSubdomain=fr";;
"41983536800020";"PSI BORDEAUX";"https://www.psi.fr/entreprises/solutions/equipement/";"Partenaires GUY";"https://www.linkedin.com/in/fr%C3%A9d%C3%A9ric-goubert-49428273/?originalSubdomain=fr";;;"fait déjà avec des partenaires"
"42880026200043";"JLL INFORMATIQUE";"https://www.jll.net/financement/";"Partenaires GUY";;"https://www.linkedin.com/in/aur%25C3%25A9lie-lustremant-26a69b46/?originalSubdomain=fr";;"fait location avec constrctuers"
"42952677500052";"ALTERNATIVE PARTNER SOLUTIONS";"http://www.alternative-group.com";"Partenaires GUY";;;;
"44072747700034";"SMLB - ALTERNATIVE DISTRIBUTION";"https://www.smlb-next.com/nos-missions/";"Partenaires GUY";;;;"pousse des boites à moins de 500 €"
"44276847900044";"TIMCOD";"https://www.timcod.fr/produits/";"Partenaires GUY";;"https://www.linkedin.com/in/jacques-deckert/?originalSubdomain=fr";;"7 agences"
"45331209200027";"DIGIMATE";"??";"Partenaires GUY";;;;
"45055609700027";"SIS TECHNOLOGIES";"https://sis-t.com/#page-services";"Partenaires GUY";;"https://www.linkedin.com/in/fr%25C3%25A9d%25C3%25A9ric-tavares-82846136/?originalSubdomain=fr";"https://www.linkedin.com/in/jason-fouque-b64475158/?originalSubdomain=fr";
"45139221100111";"SOLUCEO DGPF";"https://store.soluceo.fr/";"Partenaires GUY";"https://www.linkedin.com/in/marcperard/?originalSubdomain=fr";"https://www.linkedin.com/in/guillaume-dubois-56954732/?originalSubdomain=fr";;"mail à guillaume dubois le dirigeant gdubois@soluceo.fr"
"48340231900022";"ATHESI";"https://www.athesi.fr/language/fr/categorie-produit/pda-terminaux-portables";"Partenaires GUY";"mr michelet";;;"mr michelet va me rappeler"
"48093736600023";"COM NETWORK";"http://www.com6.fr/solutions_de_financement.html";"Partenaires GUY";"https://www.linkedin.com/in/s%C3%A9bastien-lange-0b961632/?originalSubdomain=fr";;;"fait finctt"
"49128675300042";"BURALOG";"https://www.bimedia.com/fr";"Partenaires GUY";;;;
"49177641500052";"NUVIAS";"http://www.zycko.com";"Partenaires GUY";;;;
"50145872300027";"SOLUTIONDATA";"http://solutiondata.fr/";"Partenaires GUY";"https://www.linkedin.com/in/guillaume-alghisi/?originalSubdomain=fr";;;
"50491500000013";"ATF GAIA";"http://www.atf-gaia.fr";"Partenaires GUY";;;;"reconditionnt"
"50995504300021";"GLOBAL MULTIMEDIA";"http://www.global-multimedia.fr";"Partenaires GUY";;;;" "
"50275319700024";"ST ENGINEERING ANTYCIP";"https://www.antycipsimulation.com/design-retail/";"Partenaires GUY";;;;
"78895512800038";"SQP IMPRESSION UV";"http://swissqprint.fr";"Partenaires GUY";;;;"fabrc et distri impression"
"79170796100029";"PIVOTAL SOFTWARE FRANCE";"https://pivotal.io/labs";"Partenaires GUY";;;;
"80797447200027";"METALINE";"https://www.metaline.fr/groupe";"Partenaires GUY";;;;
"81049212400013";"PALANTIR TECHNOLOGIES FRANCE";"https://www.palantir.com/2018/10/fabrice-bregier-palantir-veut-etre-un-acteur-majeur-de-la-tech-francaise/";"Partenaires GUY";;;;
"81742401300016";"ELLYRON";"? ";"Partenaires GUY";;;;
"99841712500049";"SERVICES INFORMATIQUES GESTION CONSEIL";"http://www.sigec-bureautique.com";"Partenaires GUY";;;;
40204878900059;"Alcea";"https://www.alcea.fr/solution-surete/gestion-visiteurs/";"divers GUY Juin2020";;;;
45323163100020;"Benq France";" ";"divers GUY Juin2020";;;;
38929058600012;"Legrand SNC";"https://www.legrand.fr/pro/catalogue/34581-myhome-up-r-integration-et-contrôle";"divers GUY Juin2020";;;;
50446882800059;"Cap Visio";"https://www.cap-visio.com";"divers GUY Juin2020";;;;
75356322000015;"HPL";"https://www.tbi-direct.fr/ecran-tactile.html";"divers GUY Juin2020";;;;
44824608200045;"Promethean SAS";"https://prointeractive.fr/activpanel.html";"divers GUY Juin2020";;;;
51507858200035;"Visunext France";"https://www.visunext.fr/fr/";"divers GUY Juin2020";;;;
44895533600046;"E.A.V.S. Groupe";"https://www.eavs-groupe.fr/tableau-blanc-interactif-96-qwb100ws-ps-h01-qomo.html";"divers GUY Juin2020";;;;
42507286500024;"SAS Franchise International Developpement";"https://www.portables.org/tableaux-blancs-interactifs/4132-tableau-blanc-interactif-387pro.html";"divers GUY Juin2020";;;;
82534625700017;"DWPRO";"http://www.dwpro.fr/outils-collaboratifs/ecrans-tactiles/Samsung-Flip2-55";"divers GUY Juin2020";;;;
41790338200055;"Box Office";"https://www.welcomeoffice.com/Products/Search2.aspx?BKEYWORDS=%E9cran+interactif";"divers GUY Juin2020";;;;
57206768400017;"Robert Bosch France";"https://www.bosch-professional.com/fr/fr/instruments-de-mesure-101298-ocs-c/";"divers GUY Juin2020";"https://www.linkedin.com/in/jacques-de-go%C3%BCyon-matignon/?originalSubdomain=fr";;;
81016213100017;"OBD AUTO";"https://www.obdauto.fr/valise-diagnostic-multimarques-pour-automobile-c102x3408917";"divers GUY Juin2020";;;;
31685333200211;"Omron Electronics";"https://industrial.omron.fr/fr/products/ld-60-90";"divers GUY Juin2020";;;;
33240399700064;"MediaPerformances";;"divers GUY Juin2020";;;;
53237684500014;"Daltys France";;"divers GUY Juin2020";;;;
37787000100023;"BDA Distribution";;"divers GUY Juin2020";;;;
44147315400033;"Maxicoffee Grands Comptes";;"divers GUY Juin2020";;;;
77813044300071;"D8";;"divers GUY Juin2020";;;;
37844418600068;"Deho systems";"https://www.dehosystems.fr/controle-acces/lecteur-badge-rfid-zeus/";"divers GUY Juin2020";;;;
44255621300043;"Dormakaba France";"https://www.dormakaba.com/fr-fr/solutions-et-produits/solutions-et-produits/contrôle-d-accès-et-gestion-des-temps";"divers GUY Juin2020";;;;
44030528200087;"IDEMIA Identity & Security France";"https://www.idemia.com/fr/controle-dacces-et-gestion-horaire";"divers GUY Juin2020";;;;
32270709200258;"FAAC France";"https://faac.fr/produits/access-control/";"divers GUY Juin2020";;;;
58201234000029;"Cooper Capri SAS";" ";"divers GUY Juin2020";;;;
43021381900047;"Sommer France";;"divers GUY Juin2020";;;;
57205033402006;"Clear Channel France";;"divers GUY Juin2020";;;;
"47790008800048";"SOLUTECHNIC Paris Nord";"http://www.solutechnic.com/";"divers GUY Juin2020";"https://dirigeants.bfmtv.com/Laurent-METTENDORFF-4317468/";"https://www.linkedin.com/in/irene-about-70467047/";;
"43778545400020";"KARELIS - solutys";"http://karelis-systemes.com/gammes-produits/panel-pc-industriels/";"divers GUY Juin2020";"jean-philippe gallo ";"https://www.linkedin.com/in/nathalie-depoux/";;
"51084238800025";"IDCAPT (IDENTIFICATION & CAPTURE TECHNOLOGIE)";;"divers GUY Juin2020";;;;
"39207819200011";"ACAL BFI FRANCE SAS";"https://www.acalbfi.com/fr/c/CAT-08-05";"divers GUY Juin2020";"stefano gonzini";"https://www.linkedin.com/in/david-dufour-1a602513/?originalSubdomain=fr";"https://www.linkedin.com/in/louis-goyez-8a611870/?originalSubdomain=fr";
"42978007500017";"ACCRETECH EUROPE GMBH";"https://www.accretech.eu/fr/mesure-de-surface/";"divers GUY Juin2020";;;;"elle en parle au responsable qui rappelle si intéressé - il y a des comerciaux qui vendent mais le client achète la machine à l'Allemagne"
"73206027200281";"ADI-GARDINER";"https://www.adiglobal.fr/Catalog/shopproducts/306-Portiers-Interphonie/3153-Portiers-vid%C3%A9o";"divers GUY Juin2020";"christophe samson";"https://www.linkedin.com/in/emmanuelbaltyde/?locale=fr_FR";"https://www.linkedin.com/in/patrice-gaillard-39b7ab37/?originalSubdomain=fr";" font dans les tabacs et librairie presse / font tout avec Grenke - n'ont pas l'air de faire de la marque blanche : va passer le mail à 5 ou 6 personnes."
"48103917000016";"ALEDA SAS";"https://www.aleda.fr/";"divers GUY Juin2020";"https://www.linkedin.com/in/bruno-goldstein-927a4344/?originalSubdomain=fr";"https://www.linkedin.com/in/faouzi-lalouni-911830145/?originalSubdomain=fr";;
"62202906400046";"AMETEK SAS";"https://www.ametek.fr/products/productcategories/medical/measurementandtestequipment";"divers GUY Juin2020";"https://www.linkedin.com/in/patrickdury/?originalSubdomain=fr";"https://www.linkedin.com/in/isma%25C3%25ABl-fadili-894975a/?originalSubdomain=fr";;
"35126614300020";"APPLIC TECHN ETUDES REALIS MECAN ELEC SY";"https://www.atermes.fr/en/produits/atlantis";"divers GUY Juin2020";"https://www.linkedin.com/in/lionel-thomas-a036272a/?originalSubdomain=fr";;;"travaille pour ministere de la defense - "
"35231076700046";"AURES TECHNOLOGIES";"https://aures.com/fr/point-de-vente-equipment-solutions-systemes/ecrans-tactiles-afficheurs";"divers GUY Juin2020";"Gerard";"Putatti";"Dr Cal";"borne - travaille avec des rev - et pas avec utilist finaux"
"43985313600075";"ECOBUROTIC";"https://www.ecoburotic.fr/";"divers GUY Juin2020";"rodolphe fournier";"https://www.linkedin.com/in/mathieu-roger-0937a1b9/?originalSubdomain=fr";"donia manager comerciale";"imprimante - d'apres l'assitte fait loc mais pas trop c'est pas une habitude ds l'entreprise/ tel Mr roger l'entreprise est rentrée dans un groupe qui fait loc fi donc il attend de voir"
"38059048900064";"ELEC SYSTEM";"http://www.etn.fr";"divers GUY Juin2020";"Denis";"REVERET ";"Dr Cal";
"94625098200059";"ENDRESS + HAUSER";"https://www.fr.endress.com/fr/instrumentation-terrain-sur-mesure";"divers GUY Juin2020";;;;
"35357963400018";"EQUIPEMENTS SCIENTIFIQUES";"https://www.es-france.com/10267-modules-systemes-informatiques";"divers GUY Juin2020";"https://www.linkedin.com/in/philippe-guez-a6891b18/?originalSubdomain=fr";"https://www.linkedin.com/in/v%25C3%25A9ronique-subrebost-95289921/?originalSubdomain=fr";"https://www.linkedin.com/in/c%25C3%25A9line-c%25C3%25B4me-27611b14/?originalSubdomain=fr";"m'a claqué le tél - ils ont tout e qu'il faut"
"35187489600035";"EUROCOMPOSANT SA";"https://www.eurocomposant.fr/solutions-d-affichage.html";"divers GUY Juin2020";"https://www.linkedin.com/in/juberger/?originalSubdomain=fr";"https://www.linkedin.com/in/muriel-ferry-826102117/?originalSubdomain=fr";"Murielle Ferry DAF";"ne sont pas la bonne cible - mais vend du matériel !! Fin de la discussion"
"38824502900086";"FARNELL (FRANCE)";"https://fr.farnell.com/?_ga=2.69320976.1427061191.1585305261-2034522841.1585305261";"divers GUY Juin2020";;;;" en GB"
"61205149000037";"GAMIDA";"http://www.gamida.fr/";"divers GUY Juin2020";"Julien Montagna";;;
"38932706500063";"FLUKE FRANCE / voir GAMIDA";"https://www.flukebiomedical.com/products/biomedical-test-equipment";"divers GUY Juin2020";;;;
"34909683400081";"GARMIN FRANCE";"https://buy.garmin.com/en-US/US/in-the-air/helicopters/helicopters_radar_altimeters/cInTheAir-c10237-c10246-p1.html";"divers GUY Juin2020";;;;
"44947625800032";"GIGASET COMMUNICATIONS FRANCE SAS";"http://www.gigaset.com";"divers GUY Juin2020";;;;
